NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	122.277	57.313	20.945	38.684	0.428	0.866	20000.0
2	123.614	57.819	21.275	39.091	0.43	0.863	20000.0
3	123.37	57.658	21.237	38.872	0.427	0.866	30000.0
4	122.861	57.471	21.118	38.997	0.428	0.865	20000.0
5	123.944	57.345	21.664	38.893	0.426	0.867	40000.0
6	122.681	57.298	21.224	38.782	0.429	0.865	20000.0
7	122.224	57.03	21.203	38.648	0.426	0.867	50000.0
8	122.716	57.347	21.049	38.826	0.428	0.865	40000.0
9	123.991	57.954	21.465	39.392	0.431	0.86	50000.0
10	122.881	57.534	21.173	39.026	0.427	0.862	20000.0
11	123.011	57.435	20.966	38.783	0.429	0.865	40000.0
12	123.101	57.568	21.204	38.972	0.429	0.865	20000.0
13	123.826	57.765	21.506	39.326	0.432	0.861	50000.0
14	124.429	58.029	21.481	39.256	0.433	0.861	30000.0
15	124.315	57.999	21.371	39.247	0.432	0.862	30000.0
16	123.465	57.477	21.478	38.792	0.429	0.866	30000.0
17	122.858	57.653	21.141	39.199	0.435	0.862	30000.0
18	122.591	57.373	21.1	38.924	0.427	0.863	30000.0
19	122.428	57.133	21.086	38.556	0.423	0.867	70000.0
20	123.956	57.794	21.329	39.293	0.432	0.861	40000.0
21	123.627	57.367	21.218	39.148	0.427	0.864	30000.0
22	123.043	56.854	21.428	38.66	0.418	0.868	40000.0
23	123.155	57.927	21.139	39.258	0.434	0.86	20000.0
24	123.769	57.622	21.365	38.999	0.427	0.865	20000.0
25	123.41	57.483	21.281	39.194	0.423	0.864	20000.0
26	123.797	57.765	21.338	39.097	0.43	0.863	50000.0
27	124.304	58.086	21.496	39.547	0.434	0.86	20000.0
28	122.647	57.009	21.085	38.546	0.425	0.866	30000.0
29	123.344	57.824	21.298	39.134	0.43	0.862	30000.0
30	124.013	57.606	21.429	38.915	0.426	0.865	20000.0
31	123.014	57.377	21.081	38.715	0.427	0.866	30000.0
32	122.569	57.441	21.17	38.985	0.43	0.865	30000.0
33	123.139	57.394	21.278	38.931	0.427	0.864	30000.0
34	123.357	57.888	21.259	39.18	0.431	0.863	20000.0
35	124.281	58.059	21.557	39.424	0.432	0.86	30000.0
36	123.117	57.421	21.267	38.685	0.431	0.866	30000.0
