Samples	SBS96A	SBS96B
TCGA-2F-A9KO-01A-11D-A38G-08	474	0
TCGA-2F-A9KP-01A-11D-A38G-08	50	58
TCGA-2F-A9KQ-01A-11D-A38G-08	14	41
TCGA-2F-A9KR-01A-11D-A38G-08	130	52
TCGA-2F-A9KT-01A-11D-A38G-08	222	74
TCGA-2F-A9KW-01A-11D-A38G-08	25	71
TCGA-4Z-AA7M-01A-11D-A391-08	364	59
TCGA-4Z-AA7N-01A-11D-A391-08	8	8
TCGA-4Z-AA7O-01A-31D-A391-08	84	91
TCGA-4Z-AA7Q-01A-11D-A391-08	166	51
TCGA-4Z-AA7R-01A-11D-A391-08	234	79
TCGA-4Z-AA7S-01A-11D-A391-08	1	44
TCGA-4Z-AA7W-01A-11D-A391-08	462	0
TCGA-4Z-AA7Y-01A-11D-A391-08	212	28
TCGA-4Z-AA80-01A-11D-A391-08	196	158
TCGA-4Z-AA81-01A-11D-A391-08	118	57
TCGA-4Z-AA82-01A-11D-A391-08	42	55
TCGA-4Z-AA83-01A-11D-A391-08	27	46
TCGA-4Z-AA84-01A-11D-A391-08	237	187
TCGA-4Z-AA86-01A-11D-A391-08	162	29
TCGA-4Z-AA87-01A-11D-A391-08	118	77
TCGA-4Z-AA89-01A-11D-A391-08	96	22
TCGA-5N-A9KI-01A-31D-A42E-08	79	76
TCGA-5N-A9KM-01A-11D-A42E-08	33	159
TCGA-BL-A0C8-01A-11D-A271-08	48	66
TCGA-BL-A13I-01A-11D-A271-08	60	45
TCGA-BL-A13J-01A-11D-A271-08	52	29
TCGA-BL-A3JM-01A-12D-A21A-08	89	75
TCGA-BL-A5ZZ-01A-31D-A30E-08	60	70
TCGA-BT-A0S7-01A-11D-A10S-08	0	36
TCGA-BT-A0YX-01A-11D-A10S-08	524	4
TCGA-BT-A20J-01A-11D-A14W-08	319	79
TCGA-BT-A20N-01A-11D-A14W-08	98	115
TCGA-BT-A20O-01A-21D-A14W-08	80	79
TCGA-BT-A20P-01A-11D-A14W-08	41	23
TCGA-BT-A20Q-01A-11D-A14W-08	43	32
TCGA-BT-A20R-01A-12D-A16O-08	147	53
TCGA-BT-A20T-01A-11D-A14W-08	174	53
TCGA-BT-A20U-01A-11D-A14W-08	61	24
TCGA-BT-A20V-01A-11D-A14W-08	25	56
TCGA-BT-A20W-01A-21D-A14W-08	20	45
TCGA-BT-A20X-01A-11D-A16O-08	13	48
TCGA-BT-A2LA-01A-11D-A18F-08	53	94
TCGA-BT-A2LB-01A-11D-A18F-08	272	233
TCGA-BT-A2LD-01A-12D-A20D-08	16	75
TCGA-BT-A3PH-01A-11D-A21Z-08	386	0
TCGA-BT-A3PJ-01A-21D-A21Z-08	305	131
TCGA-BT-A3PK-01A-21D-A21Z-08	160	150
TCGA-BT-A42B-01A-32D-A23M-08	9	50
TCGA-BT-A42C-01A-11D-A23M-08	186	124
TCGA-BT-A42E-01A-11D-A23U-08	119	22
TCGA-BT-A42F-01A-11D-A23U-08	143	0
TCGA-C4-A0EZ-01A-21D-A10S-08	56	117
TCGA-C4-A0F0-01A-12D-A10S-08	17	64
TCGA-C4-A0F1-01A-11D-A10S-08	78	66
TCGA-C4-A0F6-01A-11D-A10S-08	102	71
TCGA-C4-A0F7-01A-11D-A10S-08	2	61
TCGA-CF-A1HR-01A-11D-A13W-08	182	45
