NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	52.847	101.008	11.186	65.24	1.024	0.669	20000.0
2	50.851	97.214	10.41	62.049	1.005	0.695	20000.0
3	52.07	100.313	11.074	64.817	1.018	0.67	20000.0
4	52.769	101.193	11.401	65.198	1.04	0.666	20000.0
5	51.398	98.623	10.579	63.086	1.032	0.682	20000.0
6	50.754	97.808	10.334	62.567	1.017	0.686	20000.0
7	52.256	100.239	11.202	64.945	1.02	0.671	40000.0
8	52.944	101.147	11.271	65.43	1.025	0.668	30000.0
9	52.016	100.24	10.663	63.98	1.052	0.667	30000.0
10	51.277	98.395	10.396	62.608	1.028	0.683	20000.0
11	52.515	100.421	11.2	64.71	1.022	0.676	20000.0
12	52.917	101.076	11.231	65.022	1.028	0.67	20000.0
13	53.018	101.412	11.279	65.889	1.029	0.662	20000.0
14	51.476	98.235	10.624	62.95	1.028	0.681	40000.0
15	52.658	100.785	11.161	65.143	1.023	0.671	20000.0
16	52.894	101.206	11.234	65.638	1.03	0.663	20000.0
17	53.22	101.225	11.353	65.654	1.029	0.665	30000.0
18	51.902	100.796	10.997	64.97	1.025	0.67	20000.0
19	53.005	101.188	11.421	65.721	1.03	0.666	30000.0
20	52.197	100.902	11.221	65.566	1.024	0.663	20000.0
21	53.024	100.875	11.348	65.192	1.024	0.67	30000.0
22	52.262	100.632	11.174	65.193	1.026	0.669	30000.0
23	52.664	100.547	11.24	65.416	1.018	0.669	20000.0
24	51.483	99.385	10.529	63.264	1.049	0.677	40000.0
25	50.993	98.093	10.459	62.824	1.022	0.683	30000.0
26	53.047	101.944	11.231	65.901	1.042	0.662	20000.0
27	51.221	98.248	10.436	62.748	1.029	0.684	40000.0
28	52.956	101.117	11.414	65.458	1.023	0.669	20000.0
29	52.8	101.111	11.308	65.515	1.024	0.667	40000.0
30	52.716	100.738	11.216	65.068	1.02	0.671	30000.0
31	52.375	100.803	11.163	65.211	1.03	0.666	20000.0
32	52.452	100.923	11.126	65.293	1.022	0.666	30000.0
33	51.387	98.33	10.437	62.677	1.026	0.682	40000.0
34	53.435	101.683	11.425	65.668	1.028	0.664	20000.0
35	51.801	99.387	10.734	63.673	1.035	0.674	50000.0
36	52.338	101.035	11.15	65.369	1.029	0.665	60000.0
37	52.479	100.363	11.1	65.005	1.028	0.671	20000.0
38	51.714	98.935	10.632	63.349	1.041	0.675	20000.0
39	52.529	101.239	11.176	65.392	1.03	0.666	20000.0
40	52.592	100.631	11.182	64.98	1.024	0.669	20000.0
41	52.731	101.406	11.151	65.399	1.038	0.663	20000.0
42	52.95	101.693	11.215	65.522	1.038	0.666	30000.0
43	51.954	99.787	10.952	64.69	1.01	0.675	40000.0
44	50.852	97.74	10.553	62.834	1.021	0.68	30000.0
45	50.845	97.987	10.435	62.807	1.031	0.68	40000.0
46	51.261	98.149	10.425	63.036	1.03	0.681	40000.0
47	50.889	97.952	10.36	62.803	1.02	0.681	30000.0
48	51.25	97.965	10.482	62.783	1.026	0.686	40000.0
49	52.725	101.747	11.15	65.594	1.039	0.662	40000.0
50	52.31	101.444	11.195	65.469	1.041	0.661	20000.0
51	52.221	100.718	10.973	65.089	1.031	0.668	20000.0
52	52.292	100.62	11.024	65.134	1.022	0.671	20000.0
53	52.307	100.233	11.11	64.892	1.02	0.671	20000.0
54	52.755	101.43	11.138	65.399	1.033	0.665	20000.0
55	51.27	98.97	10.397	62.971	1.046	0.677	20000.0
56	52.287	99.958	11.127	64.934	1.005	0.671	20000.0
57	53.156	101.381	11.268	65.358	1.03	0.669	20000.0
58	52.458	100.697	11.105	64.89	1.03	0.667	40000.0
59	52.887	100.547	11.224	64.958	1.014	0.674	20000.0
60	52.72	101.057	11.259	65.471	1.028	0.665	40000.0
61	51.785	99.622	10.574	63.627	1.048	0.674	40000.0
62	52.872	100.917	11.257	65.555	1.024	0.664	40000.0
63	53.007	101.983	11.145	65.821	1.043	0.66	30000.0
64	52.888	101.367	11.246	65.356	1.037	0.665	20000.0
65	51.948	99.629	11.111	64.677	1.008	0.675	30000.0
66	52.545	101.173	11.073	65.231	1.037	0.663	30000.0
67	52.747	101.887	11.2	65.872	1.047	0.658	20000.0
68	52.807	101.43	11.149	65.874	1.029	0.66	30000.0
69	52.822	101.775	11.364	65.553	1.042	0.663	30000.0
70	53.007	101.157	11.277	65.12	1.021	0.672	30000.0
71	50.994	98.385	10.414	62.452	1.038	0.68	20000.0
72	52.573	100.652	11.281	65.31	1.029	0.668	30000.0
73	52.239	100.769	11.171	64.939	1.035	0.667	20000.0
74	51.023	98.123	10.459	62.741	1.023	0.681	20000.0
75	51.131	98.23	10.462	62.63	1.027	0.683	20000.0
76	53.289	101.799	11.414	65.502	1.04	0.664	20000.0
77	52.754	101.385	11.132	65.494	1.031	0.668	30000.0
78	52.9	101.602	11.332	65.688	1.036	0.665	20000.0
79	51.372	98.022	10.563	62.701	1.021	0.684	20000.0
80	52.793	101.195	11.265	65.589	1.039	0.664	40000.0
81	52.715	100.595	11.154	64.933	1.019	0.671	30000.0
82	52.7	100.813	11.234	65.023	1.015	0.67	30000.0
83	51.335	98.623	10.49	63.077	1.035	0.678	20000.0
84	52.891	100.953	11.266	65.416	1.029	0.663	30000.0
85	51.207	98.696	10.628	63.15	1.041	0.677	40000.0
86	51.187	98.067	10.483	62.608	1.035	0.681	40000.0
87	52.528	101.059	11.12	65.475	1.024	0.668	30000.0
88	52.68	100.866	11.154	65.052	1.03	0.667	20000.0
89	51.322	97.734	10.609	62.723	1.025	0.684	40000.0
90	51.523	99.033	10.613	63.417	1.038	0.673	30000.0
91	52.311	100.696	11.099	65.324	1.031	0.667	20000.0
92	52.77	101.57	11.323	65.397	1.035	0.663	20000.0
93	52.586	100.849	11.057	64.934	1.03	0.672	20000.0
94	52.041	100.293	11.141	65.045	1.021	0.669	50000.0
95	51.632	98.526	10.55	62.97	1.034	0.676	20000.0
96	53.468	102.129	11.496	66.019	1.055	0.659	20000.0
97	52.656	101.118	11.296	65.823	1.028	0.661	20000.0
98	52.449	100.642	11.183	65.022	1.025	0.668	40000.0
99	52.554	101.429	11.134	65.456	1.03	0.665	50000.0
100	52.774	101.217	11.112	65.163	1.029	0.668	20000.0
