NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	21.852	107.553	5.304	67.952	1.168	0.659	20000.0
2	22.43	106.811	5.464	67.915	1.151	0.656	20000.0
3	22.136	106.447	5.473	68.267	1.137	0.656	60000.0
4	21.563	104.76	5.28	66.637	1.136	0.673	20000.0
5	22.662	109.426	5.628	70.268	1.157	0.638	20000.0
6	22.169	106.885	5.422	68.288	1.149	0.655	40000.0
7	22.731	110.145	5.651	70.297	1.162	0.636	20000.0
8	21.453	103.955	5.268	66.622	1.147	0.669	40000.0
9	22.818	109.326	5.726	71.006	1.142	0.632	30000.0
10	22.732	110.274	5.776	70.76	1.167	0.631	30000.0
11	22.923	111.884	5.795	71.068	1.169	0.63	20000.0
12	21.927	106.669	5.395	68.005	1.162	0.657	30000.0
13	22.62	110.046	5.627	69.973	1.174	0.642	20000.0
14	22.237	107.387	5.481	67.958	1.176	0.661	30000.0
15	22.094	106.591	5.363	67.018	1.167	0.664	20000.0
16	22.945	111.397	5.72	70.145	1.186	0.635	30000.0
17	22.058	107.917	5.548	68.96	1.16	0.646	20000.0
18	21.86	105.197	5.344	67.349	1.158	0.663	20000.0
19	23.004	112.21	5.724	71.253	1.158	0.624	20000.0
20	22.177	107.596	5.49	68.705	1.173	0.646	30000.0
21	22.087	108.371	5.423	67.683	1.174	0.657	20000.0
22	23.099	111.812	5.776	71.059	1.162	0.627	20000.0
23	21.869	105.983	5.288	67.18	1.169	0.673	40000.0
24	21.511	103.444	5.261	66.018	1.148	0.671	30000.0
25	23.08	110.378	5.82	70.922	1.154	0.633	20000.0
26	23.103	112.61	5.731	71.22	1.197	0.624	20000.0
27	22.339	108.807	5.549	69.339	1.157	0.647	20000.0
28	21.76	105.844	5.337	67.531	1.147	0.666	20000.0
29	23.053	112.144	5.807	71.199	1.204	0.621	40000.0
30	22.307	109.259	5.516	69.848	1.165	0.637	20000.0
31	22.591	109.432	5.669	70.124	1.164	0.64	20000.0
32	22.124	108.145	5.469	68.674	1.151	0.658	20000.0
33	22.013	106.2	5.381	67.214	1.148	0.667	20000.0
34	21.467	103.784	5.232	66.566	1.166	0.671	40000.0
35	22.557	108.698	5.647	69.497	1.175	0.644	30000.0
36	21.478	104.947	5.275	67.248	1.167	0.669	30000.0
37	22.615	109.265	5.636	69.762	1.168	0.643	30000.0
38	22.583	108.67	5.742	69.437	1.164	0.649	30000.0
39	22.809	110.957	5.687	70.642	1.19	0.629	20000.0
40	22.116	106.688	5.487	68.153	1.169	0.658	30000.0
41	22.907	110.77	5.808	70.676	1.152	0.636	20000.0
42	23.1	110.878	5.766	69.872	1.185	0.641	40000.0
43	22.091	106.548	5.444	68.014	1.155	0.658	20000.0
44	21.174	101.988	5.195	65.15	1.154	0.682	50000.0
45	22.529	110.031	5.647	70.184	1.159	0.639	20000.0
46	22.93	110.972	5.709	70.428	1.169	0.632	20000.0
47	22.494	108.0	5.645	69.09	1.155	0.649	20000.0
48	22.113	108.076	5.549	69.044	1.169	0.645	40000.0
49	22.707	109.971	5.689	70.29	1.184	0.639	30000.0
50	21.774	106.641	5.367	67.575	1.16	0.663	20000.0
51	22.718	109.782	5.6	70.095	1.175	0.634	20000.0
52	22.702	110.496	5.628	70.236	1.19	0.634	20000.0
53	21.889	104.34	5.368	66.035	1.152	0.678	40000.0
54	22.425	108.622	5.56	69.89	1.144	0.644	20000.0
55	22.759	109.57	5.744	70.099	1.161	0.642	40000.0
56	22.466	109.511	5.552	70.057	1.186	0.64	30000.0
57	22.097	108.97	5.505	69.618	1.191	0.637	20000.0
58	22.766	110.57	5.723	70.849	1.179	0.634	30000.0
59	22.433	110.927	5.61	70.389	1.188	0.633	40000.0
60	22.641	111.568	5.644	71.026	1.192	0.623	20000.0
61	22.529	109.897	5.678	69.983	1.172	0.64	20000.0
62	22.527	110.188	5.577	70.403	1.189	0.627	20000.0
63	22.044	107.105	5.385	68.423	1.186	0.649	30000.0
64	22.896	112.437	5.672	71.384	1.19	0.62	20000.0
65	22.355	106.642	5.42	67.649	1.152	0.659	30000.0
66	21.964	105.53	5.346	67.035	1.142	0.673	20000.0
67	22.263	108.446	5.571	69.479	1.173	0.65	30000.0
68	22.633	109.949	5.576	70.057	1.167	0.639	20000.0
69	22.146	106.48	5.429	67.937	1.14	0.657	20000.0
70	21.654	105.596	5.283	67.025	1.168	0.667	20000.0
71	21.819	106.452	5.467	68.049	1.172	0.653	20000.0
72	22.143	106.133	5.404	66.934	1.138	0.668	40000.0
73	22.719	109.249	5.619	69.904	1.169	0.638	20000.0
74	22.95	112.237	5.728	71.746	1.194	0.617	30000.0
75	22.571	109.313	5.689	69.805	1.171	0.648	40000.0
76	22.502	108.944	5.557	69.37	1.165	0.644	20000.0
77	22.397	109.098	5.606	69.79	1.17	0.639	20000.0
78	21.794	105.977	5.32	66.958	1.138	0.667	30000.0
79	22.222	109.179	5.56	69.95	1.18	0.636	40000.0
80	22.683	110.277	5.665	70.191	1.153	0.641	30000.0
81	22.28	108.602	5.547	69.411	1.153	0.645	20000.0
82	22.046	107.262	5.406	68.386	1.178	0.653	30000.0
83	23.08	110.445	5.818	70.863	1.157	0.635	40000.0
84	22.754	111.381	5.687	70.857	1.179	0.631	40000.0
85	22.481	107.75	5.499	68.279	1.164	0.653	30000.0
86	22.61	110.236	5.613	70.026	1.172	0.637	30000.0
87	21.875	107.969	5.451	67.816	1.169	0.655	20000.0
88	22.187	108.61	5.562	69.447	1.165	0.646	20000.0
89	22.346	110.6	5.574	70.003	1.173	0.633	20000.0
90	22.767	109.79	5.686	70.474	1.148	0.637	30000.0
91	22.187	107.846	5.474	68.947	1.17	0.645	40000.0
92	22.467	110.794	5.629	70.463	1.156	0.632	30000.0
93	22.731	110.276	5.698	70.005	1.2	0.635	40000.0
94	22.085	107.143	5.422	68.435	1.19	0.648	20000.0
95	22.204	107.32	5.563	69.381	1.197	0.643	20000.0
96	22.726	110.385	5.639	70.136	1.166	0.636	40000.0
97	22.32	109.541	5.507	69.795	1.166	0.636	50000.0
98	22.031	106.455	5.549	68.639	1.14	0.656	30000.0
99	22.237	108.491	5.502	69.245	1.179	0.644	20000.0
100	21.708	104.914	5.333	67.031	1.144	0.664	40000.0
