NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	54.537	121.87	10.132	75.788	1.301	0.533	20000.0
2	54.268	121.521	10.036	75.546	1.291	0.536	40000.0
3	54.51	121.03	10.168	75.377	1.29	0.54	20000.0
4	54.357	120.869	10.089	75.146	1.277	0.542	20000.0
5	54.505	121.391	10.118	75.552	1.287	0.538	20000.0
6	54.408	120.894	10.13	75.22	1.288	0.543	30000.0
7	54.859	122.433	10.115	76.019	1.307	0.527	20000.0
8	54.489	121.883	10.124	75.752	1.3	0.531	20000.0
9	54.312	120.574	10.133	75.072	1.277	0.545	20000.0
10	54.522	121.125	10.155	75.467	1.286	0.538	20000.0
11	54.345	121.511	10.011	75.459	1.29	0.537	20000.0
12	54.55	121.524	10.189	75.633	1.296	0.535	20000.0
13	54.866	122.317	10.168	76.015	1.307	0.529	50000.0
14	54.337	121.015	10.147	75.341	1.292	0.539	40000.0
15	54.897	121.63	10.249	75.543	1.292	0.538	20000.0
16	54.835	121.312	10.088	75.699	1.309	0.54	20000.0
17	54.87	120.98	10.221	75.204	1.287	0.542	20000.0
18	54.445	121.436	10.131	75.628	1.293	0.533	30000.0
19	54.259	121.35	9.997	75.523	1.288	0.537	30000.0
20	54.531	121.381	10.089	75.399	1.286	0.539	40000.0
21	54.596	121.337	10.15	75.592	1.288	0.538	40000.0
22	54.776	121.998	10.185	75.674	1.295	0.535	20000.0
23	54.495	121.257	10.217	75.582	1.294	0.537	20000.0
24	54.391	121.531	10.126	75.614	1.294	0.536	30000.0
25	54.396	121.235	10.096	75.487	1.289	0.536	50000.0
26	54.316	120.56	10.146	75.114	1.278	0.545	30000.0
27	54.673	121.159	10.207	75.35	1.285	0.541	20000.0
28	54.42	121.415	10.078	75.65	1.292	0.535	20000.0
29	54.481	121.245	10.1	75.379	1.288	0.541	50000.0
30	54.814	121.735	10.276	75.902	1.293	0.533	40000.0
31	54.437	121.155	10.051	75.451	1.291	0.537	30000.0
32	54.406	121.269	10.174	75.43	1.294	0.538	50000.0
33	54.638	121.502	10.223	75.67	1.292	0.538	40000.0
34	54.296	121.228	10.074	75.377	1.29	0.535	30000.0
35	54.551	121.691	10.148	75.657	1.293	0.536	40000.0
36	54.766	121.056	10.197	75.385	1.284	0.54	20000.0
37	54.71	121.285	10.184	75.548	1.293	0.536	30000.0
38	54.582	121.344	10.186	75.59	1.29	0.537	40000.0
39	54.21	121.229	10.046	75.405	1.289	0.536	30000.0
40	54.538	121.648	10.101	75.509	1.297	0.537	20000.0
41	54.22	121.194	10.092	75.371	1.285	0.541	50000.0
42	54.404	120.885	10.189	75.259	1.283	0.543	60000.0
43	54.423	121.619	10.103	75.605	1.294	0.536	50000.0
44	54.578	121.512	10.178	75.363	1.289	0.539	20000.0
45	55.095	122.351	10.132	76.294	1.323	0.53	20000.0
46	54.567	121.555	10.116	75.68	1.293	0.533	20000.0
47	54.228	121.265	10.074	75.395	1.29	0.537	30000.0
48	54.729	121.848	10.124	75.814	1.296	0.534	30000.0
49	54.25	120.904	10.07	75.414	1.287	0.538	30000.0
50	54.204	121.12	10.035	75.392	1.287	0.538	20000.0
51	54.637	120.995	10.209	75.305	1.286	0.54	20000.0
52	54.321	121.027	10.132	75.396	1.286	0.54	20000.0
53	54.746	121.539	10.027	75.873	1.314	0.538	20000.0
54	54.513	121.118	10.159	75.486	1.292	0.538	20000.0
55	54.483	121.585	10.155	75.733	1.291	0.534	20000.0
56	54.65	121.561	10.165	75.476	1.289	0.537	20000.0
57	54.766	122.101	10.098	75.686	1.299	0.534	30000.0
58	54.412	121.262	10.109	75.303	1.288	0.542	50000.0
59	54.306	121.01	10.108	75.188	1.282	0.545	30000.0
60	54.525	121.291	10.196	75.375	1.285	0.542	20000.0
61	54.066	121.104	10.041	75.426	1.287	0.538	40000.0
62	54.628	121.223	10.211	75.564	1.295	0.539	40000.0
63	54.788	121.768	10.183	75.663	1.294	0.536	20000.0
64	54.416	121.526	10.145	75.803	1.292	0.532	20000.0
65	54.915	121.999	9.996	75.836	1.319	0.536	30000.0
66	54.903	121.667	10.273	75.734	1.297	0.534	30000.0
67	54.714	122.223	10.149	76.021	1.304	0.532	30000.0
68	54.391	121.071	10.205	75.489	1.281	0.539	20000.0
69	54.182	121.163	10.041	75.268	1.294	0.538	20000.0
70	54.329	121.246	10.142	75.32	1.292	0.539	30000.0
71	54.301	121.229	10.164	75.482	1.284	0.538	20000.0
72	54.454	121.569	10.104	75.692	1.296	0.535	20000.0
73	54.345	121.148	10.103	75.495	1.28	0.539	30000.0
74	54.27	121.197	10.051	75.463	1.288	0.536	30000.0
75	54.41	121.231	10.067	75.335	1.283	0.539	30000.0
76	54.624	121.552	10.139	75.477	1.291	0.536	30000.0
77	54.513	121.391	10.167	75.57	1.295	0.536	30000.0
78	54.544	121.57	10.162	75.611	1.295	0.538	20000.0
79	54.764	121.549	10.208	75.588	1.296	0.534	20000.0
80	54.412	121.517	10.13	75.383	1.288	0.538	40000.0
81	54.219	120.848	10.095	75.183	1.285	0.542	20000.0
82	54.552	121.011	10.129	75.443	1.292	0.537	20000.0
83	54.362	121.211	10.194	75.414	1.288	0.542	20000.0
84	54.221	121.377	10.072	75.531	1.289	0.535	30000.0
85	54.575	121.372	10.139	75.525	1.288	0.537	20000.0
86	54.545	120.915	10.26	75.276	1.282	0.543	30000.0
87	54.487	120.891	10.253	75.453	1.282	0.537	40000.0
88	54.586	121.176	10.181	75.436	1.29	0.54	30000.0
89	54.187	120.966	10.107	75.27	1.287	0.541	20000.0
90	54.707	121.713	10.169	75.658	1.3	0.532	50000.0
91	54.494	121.708	10.08	75.542	1.29	0.536	40000.0
92	54.552	121.032	10.159	75.281	1.285	0.54	50000.0
93	54.193	120.907	10.017	75.278	1.284	0.54	20000.0
94	54.672	121.099	10.178	75.36	1.284	0.541	50000.0
95	55.048	121.627	10.143	75.923	1.315	0.539	40000.0
96	54.638	121.684	10.196	75.812	1.294	0.534	30000.0
97	54.51	120.833	10.159	75.216	1.282	0.541	30000.0
98	54.435	121.11	10.131	75.291	1.285	0.539	40000.0
99	54.447	121.483	10.136	75.491	1.285	0.539	20000.0
100	54.773	121.839	10.205	75.794	1.297	0.532	30000.0
