NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	89.485	128.288	18.398	86.122	1.432	0.414	20000.0
2	89.148	128.07	18.336	86.076	1.419	0.417	20000.0
3	89.71	128.841	18.418	86.176	1.436	0.412	40000.0
4	89.075	128.241	18.28	86.2	1.433	0.412	20000.0
5	89.904	128.789	18.444	86.43	1.435	0.408	30000.0
6	89.376	128.149	18.303	86.03	1.42	0.416	20000.0
7	89.894	129.045	18.533	86.402	1.441	0.41	40000.0
8	89.173	128.449	18.376	86.193	1.431	0.414	30000.0
9	89.691	128.74	18.448	86.181	1.433	0.413	20000.0
10	89.877	128.867	18.424	86.24	1.433	0.413	20000.0
11	89.428	128.465	18.356	86.249	1.431	0.412	20000.0
12	89.878	129.18	18.464	86.425	1.442	0.408	40000.0
13	89.586	128.485	18.433	86.323	1.427	0.413	20000.0
14	89.712	128.818	18.422	86.265	1.44	0.411	20000.0
15	89.349	128.405	18.489	86.262	1.427	0.414	20000.0
16	89.72	128.732	18.517	86.43	1.43	0.412	20000.0
17	89.483	128.723	18.375	86.218	1.431	0.413	20000.0
18	89.756	128.999	18.488	86.449	1.434	0.41	30000.0
19	89.364	128.424	18.458	86.299	1.437	0.411	20000.0
20	89.635	128.897	18.459	86.351	1.442	0.409	20000.0
21	89.209	128.279	18.375	86.169	1.427	0.413	20000.0
22	89.187	128.233	18.294	85.965	1.424	0.416	30000.0
23	89.941	129.163	18.409	86.457	1.441	0.406	30000.0
24	89.548	128.697	18.332	86.467	1.435	0.408	30000.0
25	89.757	129.13	18.471	86.426	1.441	0.408	30000.0
26	89.765	128.952	18.434	86.396	1.441	0.409	30000.0
27	89.574	128.62	18.321	86.19	1.43	0.413	20000.0
28	89.372	128.598	18.299	86.221	1.434	0.411	30000.0
29	89.599	128.622	18.452	86.272	1.433	0.412	20000.0
30	89.785	128.976	18.474	86.364	1.437	0.41	20000.0
31	89.457	128.672	18.298	86.203	1.431	0.412	30000.0
32	89.808	128.645	18.43	86.238	1.432	0.412	20000.0
33	89.496	128.375	18.415	86.323	1.43	0.411	30000.0
34	89.156	128.219	18.339	86.039	1.426	0.416	20000.0
35	89.293	128.471	18.333	86.22	1.437	0.412	30000.0
36	89.65	128.66	18.355	86.347	1.429	0.41	30000.0
37	89.611	128.859	18.422	86.449	1.446	0.407	30000.0
38	89.765	128.815	18.437	86.293	1.432	0.412	20000.0
39	89.586	128.603	18.398	86.008	1.428	0.416	20000.0
40	89.551	128.54	18.322	86.268	1.433	0.411	20000.0
41	89.66	128.596	18.433	86.062	1.433	0.415	30000.0
42	89.569	128.451	18.416	86.159	1.431	0.414	20000.0
43	89.38	128.348	18.354	86.222	1.436	0.412	20000.0
44	89.757	129.147	18.483	86.553	1.441	0.407	20000.0
45	89.472	128.312	18.355	86.245	1.427	0.413	30000.0
46	89.729	128.697	18.384	86.334	1.436	0.41	20000.0
47	89.656	128.786	18.428	86.277	1.434	0.412	20000.0
48	89.487	128.656	18.348	86.308	1.428	0.412	20000.0
49	89.606	128.703	18.392	86.358	1.433	0.411	20000.0
50	89.801	128.762	18.454	86.358	1.438	0.411	20000.0
51	89.862	128.855	18.486	86.261	1.437	0.412	20000.0
52	89.591	128.636	18.458	86.255	1.435	0.412	20000.0
53	89.394	128.384	18.282	85.886	1.427	0.418	20000.0
54	89.4	128.755	18.401	86.315	1.433	0.41	20000.0
55	89.5	128.532	18.389	86.326	1.436	0.411	50000.0
56	89.587	128.346	18.345	86.016	1.426	0.415	20000.0
57	89.592	128.878	18.444	86.249	1.434	0.414	30000.0
58	89.281	128.256	18.357	86.185	1.431	0.414	20000.0
59	89.353	128.392	18.347	86.206	1.427	0.413	30000.0
60	89.635	128.555	18.471	86.105	1.426	0.415	20000.0
61	89.51	128.699	18.416	86.282	1.438	0.41	20000.0
62	89.512	128.498	18.402	86.232	1.434	0.411	20000.0
63	89.533	128.684	18.34	86.192	1.43	0.413	20000.0
64	89.73	128.818	18.462	86.408	1.435	0.411	20000.0
65	89.836	128.754	18.474	86.47	1.435	0.409	30000.0
66	89.72	128.595	18.451	86.14	1.431	0.416	20000.0
67	89.619	128.991	18.396	86.327	1.443	0.409	20000.0
68	89.888	129.192	18.461	86.586	1.442	0.405	30000.0
69	89.649	128.598	18.455	86.195	1.436	0.414	40000.0
70	89.606	128.812	18.382	86.446	1.44	0.409	20000.0
71	89.749	129.043	18.468	86.413	1.44	0.409	30000.0
72	89.797	128.961	18.53	86.381	1.441	0.41	20000.0
