	A	B	Mean_A	Mean_B	H-statistic	P-value	Decision
0	SBS1	SBS2	24.155339805825243	87.55825242718447	101.98053642200509	5.606997616966639e-24	Rank medians are different
1	SBS1	SBS3	24.155339805825243	14.37378640776699	435.564490720412	9.995280505988113e-97	Rank medians are different
2	SBS1	SBS5	24.155339805825243	74.8131067961165	267.7845533265446	3.449557907847537e-60	Rank medians are different
3	SBS1	SBS10a	24.155339805825243	3.599514563106796	690.3369742300737	3.775838151106082e-152	Rank medians are different
4	SBS1	SBS10b	24.155339805825243	23.614077669902912	140.502921044057	2.0665118257264414e-32	Rank medians are different
5	SBS1	SBS13	24.155339805825243	88.03883495145631	88.13282038053927	6.120363975151841e-21	Rank medians are different
6	SBS2	SBS3	87.55825242718447	14.37378640776699	406.62465161488	1.9900337823286945e-90	Rank medians are different
7	SBS2	SBS5	87.55825242718447	74.8131067961165	4.155265305462261	0.04150527125455264	Rank medians are different
8	SBS2	SBS10a	87.55825242718447	3.599514563106796	588.2842084697509	5.917231678023954e-130	Rank medians are different
9	SBS2	SBS10b	87.55825242718447	23.614077669902912	244.25184607560058	4.6520721649400516e-55	Rank medians are different
10	SBS2	SBS13	87.55825242718447	88.03883495145631	0.037787301256758755	0.8458708634786374	Rank medians are similar
11	SBS3	SBS5	14.37378640776699	74.8131067961165	449.85398155359	7.760563320619685e-100	Rank medians are different
12	SBS3	SBS10a	14.37378640776699	3.599514563106796	35.84054660555858	2.141445587953094e-09	Rank medians are different
13	SBS3	SBS10b	14.37378640776699	23.614077669902912	66.49292220970254	3.5115219525673404e-16	Rank medians are different
14	SBS3	SBS13	14.37378640776699	88.03883495145631	385.7137103777809	7.096117096925145e-86	Rank medians are different
15	SBS5	SBS10a	74.8131067961165	3.599514563106796	648.738538525473	4.201985877731562e-143	Rank medians are different
16	SBS5	SBS10b	74.8131067961165	23.614077669902912	331.1809929446462	5.315778665432708e-74	Rank medians are different
17	SBS5	SBS13	74.8131067961165	88.03883495145631	2.067808912970997	0.1504375157430973	Rank medians are similar
18	SBS10a	SBS10b	3.599514563106796	23.614077669902912	177.3534771551435	1.8335249075728448e-40	Rank medians are different
19	SBS10a	SBS13	3.599514563106796	88.03883495145631	557.1962658567668	3.423956210919795e-123	Rank medians are different
20	SBS10b	SBS13	23.614077669902912	88.03883495145631	229.6749889740952	7.01814412626239e-52	Rank medians are different
