	A	B	Mean_A	Mean_B	H-statistic	P-value	Decision
0	SBS1	SBS2	1.673890608875129	1.7306501547987616	163.07568283914912	2.408171210327722e-37	Rank medians are different
1	SBS1	SBS4	1.673890608875129	0.653250773993808	369.89507534378413	1.9726019769828836e-82	Rank medians are different
2	SBS1	SBS5	1.673890608875129	4.784313725490196	161.15357555300903	6.333028722247908e-37	Rank medians are different
3	SBS1	SBS10b	1.673890608875129	1.4840041279669762	233.11447488667423	1.2478056652542268e-52	Rank medians are different
4	SBS1	SBS13	1.673890608875129	1.78328173374613	193.91211434075188	4.450875990797036e-44	Rank medians are different
5	SBS1	SBS15	1.673890608875129	1.0505675954592364	193.87354158044255	4.537997237358788e-44	Rank medians are different
6	SBS2	SBS4	1.7306501547987616	0.653250773993808	46.38477820572629	9.716743659439438e-12	Rank medians are different
7	SBS2	SBS5	1.7306501547987616	4.784313725490196	421.30447852054004	1.269147579907853e-93	Rank medians are different
8	SBS2	SBS10b	1.7306501547987616	1.4840041279669762	6.854678085322734	0.008840948384977704	Rank medians are different
9	SBS2	SBS13	1.7306501547987616	1.78328173374613	1.7765929910272376	0.18256824464900565	Rank medians are similar
10	SBS2	SBS15	1.7306501547987616	1.0505675954592364	2.6164630669946236	0.10575994097640866	Rank medians are similar
11	SBS4	SBS5	0.653250773993808	4.784313725490196	646.1102204103297	1.5669872278921885e-142	Rank medians are different
12	SBS4	SBS10b	0.653250773993808	1.4840041279669762	17.88924904357293	2.3414005842155583e-05	Rank medians are different
13	SBS4	SBS13	0.653250773993808	1.78328173374613	29.754937588184713	4.902560512220658e-08	Rank medians are different
14	SBS4	SBS15	0.653250773993808	1.0505675954592364	26.056597939645567	3.315538780226652e-07	Rank medians are different
15	SBS5	SBS10b	4.784313725490196	1.4840041279669762	520.578063362829	3.1679380864424947e-115	Rank medians are different
16	SBS5	SBS13	4.784313725490196	1.78328173374613	456.60493669632694	2.6346417252517305e-101	Rank medians are different
17	SBS5	SBS15	4.784313725490196	1.0505675954592364	478.06175389866536	5.64291426016737e-106	Rank medians are different
18	SBS10b	SBS13	1.4840041279669762	1.78328173374613	1.6512109833673805	0.19879418990391684	Rank medians are similar
19	SBS10b	SBS15	1.4840041279669762	1.0505675954592364	1.046737255842863	0.3062597246065475	Rank medians are similar
20	SBS13	SBS15	1.78328173374613	1.0505675954592364	0.08702962408661541	0.767987892689941	Rank medians are similar
