	A	B	Mean_A	Mean_B	H-statistic	P-value	Decision
0	SBS1	SBS2	0.5546318289786223	0.7945368171021377	6.378925559002338	0.01154833220363192	Rank medians are different
1	SBS1	SBS5	0.5546318289786223	1.7387173396674585	159.7917708012483	1.256446751296559e-36	Rank medians are different
2	SBS1	SBS6	0.5546318289786223	0.5415676959619953	13.742584834713062	0.00020964679856579296	Rank medians are different
3	SBS1	SBS7a	0.5546318289786223	0.32660332541567694	55.57908547472042	8.977368397071545e-14	Rank medians are different
4	SBS1	SBS10b	0.5546318289786223	0.4643705463182898	54.3807998492909	1.651688106891194e-13	Rank medians are different
5	SBS1	SBS13	0.5546318289786223	0.850356294536817	5.43628940897569	0.01972252469387754	Rank medians are different
6	SBS2	SBS5	0.7945368171021377	1.7387173396674585	205.6205067405577	1.2399212262225383e-46	Rank medians are different
7	SBS2	SBS6	0.7945368171021377	0.5415676959619953	1.1486640341819556	0.28382898873707413	Rank medians are similar
8	SBS2	SBS7a	0.7945368171021377	0.32660332541567694	24.163905435955147	8.847501876849305e-07	Rank medians are different
9	SBS2	SBS10b	0.7945368171021377	0.4643705463182898	23.20846312264384	1.4535623344546067e-06	Rank medians are different
10	SBS2	SBS13	0.7945368171021377	0.850356294536817	0.019705590459716704	0.8883624434890383	Rank medians are similar
11	SBS5	SBS6	1.7387173396674585	0.5415676959619953	248.28340462169567	6.1472094643537775e-56	Rank medians are different
12	SBS5	SBS7a	1.7387173396674585	0.32660332541567694	340.96967440616805	3.923680543267904e-76	Rank medians are different
13	SBS5	SBS10b	1.7387173396674585	0.4643705463182898	340.23982880178835	5.657703828730251e-76	Rank medians are different
14	SBS5	SBS13	1.7387173396674585	0.850356294536817	197.1067072099396	8.937903064669582e-45	Rank medians are different
15	SBS6	SBS7a	0.5415676959619953	0.32660332541567694	15.71202275872174	7.375388111001886e-05	Rank medians are different
16	SBS6	SBS10b	0.5415676959619953	0.4643705463182898	14.913031045930085	0.00011258262815924078	Rank medians are different
17	SBS6	SBS13	0.5415676959619953	0.850356294536817	1.4790345308257096	0.22392564001893195	Rank medians are similar
18	SBS7a	SBS10b	0.32660332541567694	0.4643705463182898	0.011711043201116097	0.9138231052313798	Rank medians are similar
19	SBS7a	SBS13	0.32660332541567694	0.850356294536817	25.0551723511621	5.571310695258461e-07	Rank medians are different
20	SBS10b	SBS13	0.4643705463182898	0.850356294536817	24.10871342316319	9.104738535580016e-07	Rank medians are different
