Hugo_Symbol	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples
TTN	307	28	0	4	0	339	183	183
TP53	151	39	0	5	0	195	173	173
MUC16	151	21	0	3	0	175	112	112
KMT2D	53	58	0	12	0	123	94	94
PIK3CA	95	0	0	0	0	95	88	88
SYNE1	87	11	0	0	0	98	79	79
RYR2	63	13	0	1	0	77	71	71
ARID1A	35	47	0	4	0	86	70	70
HMCN1	64	6	0	5	0	75	68	68
KDM6A	24	37	0	9	0	70	68	68
FLG	64	4	0	0	0	68	62	62
MACF1	70	7	0	1	0	78	61	61
KMT2C	50	25	0	5	0	80	58	58
FAT4	54	13	0	0	0	67	57	57
RB1	8	37	0	15	0	60	56	56
FGFR3	60	1	0	0	0	61	55	55
EP300	40	21	0	1	0	62	54	54
CSMD3	56	6	0	1	0	63	52	52
ATM	44	12	0	5	0	61	50	50
NEB	45	6	0	1	0	52	49	49
ZFHX4	51	3	0	0	0	54	48	48
DNAH5	53	3	0	1	0	57	47	47
MUC17	51	6	0	0	0	57	47	47
ERBB2	54	0	0	0	0	54	47	47
AHNAK2	50	2	0	0	0	52	47	47
CUBN	44	4	0	1	0	49	47	47
SYNE2	48	6	0	1	0	55	46	46
XIRP2	48	5	0	0	0	53	46	46
OBSCN	49	2	0	0	0	51	46	46
DNAH11	44	4	0	1	0	49	46	46
LRP1B	51	0	0	0	0	51	45	45
CREBBP	24	19	0	4	0	47	44	44
BIRC6	54	3	0	0	0	57	43	43
ANK2	44	2	0	1	0	47	43	43
AKAP9	49	1	0	1	0	51	42	42
FAT3	47	2	0	0	0	49	42	42
RYR1	43	0	0	2	0	45	42	42
ERBB3	45	0	0	0	0	45	41	41
RYR3	46	2	0	1	0	49	40	40
ADGRV1	42	4	0	1	0	47	40	40
AHNAK	50	3	0	0	0	53	39	39
KMT2A	28	18	0	2	0	48	39	39
PCLO	44	2	0	0	0	46	39	39
LRP2	36	5	0	2	0	43	39	39
STAG2	15	24	0	3	0	42	39	39
SACS	39	1	0	0	0	40	38	38
ERCC2	38	0	0	0	0	38	38	38
UBR4	39	0	0	1	0	40	37	37
SPTAN1	26	14	0	2	0	42	36	36
MDN1	39	1	0	1	0	41	36	36
DNAH7	38	1	0	0	0	39	36	36
FREM2	33	5	0	0	0	38	36	36
DNAH3	37	5	0	0	0	42	35	35
DST	33	9	0	0	0	42	35	35
USP34	39	2	0	1	0	42	35	35
ABCA13	30	10	0	0	0	40	35	35
USH2A	38	2	0	0	0	40	35	35
DMD	31	5	0	2	0	38	35	35
FAT1	28	14	0	0	0	42	34	34
DNAH8	35	4	0	2	0	41	34	34
BRCA2	34	6	0	0	0	40	34	34
DCHS2	36	3	0	1	0	40	34	34
UTRN	35	4	0	1	0	40	34	34
MUC5B	35	3	0	0	0	38	34	34
TRRAP	37	1	0	0	0	38	34	34
DMXL2	35	2	0	0	0	37	34	34
SPTA1	33	1	0	0	0	34	34	34
ALMS1	39	6	0	0	0	45	33	33
MKI67	33	7	0	1	0	41	33	33
LAMA3	33	4	0	0	0	37	33	33
MED13	30	6	0	1	0	37	33	33
VCAN	34	2	0	0	0	36	33	33
PKHD1L1	29	4	0	2	0	35	33	33
DIDO1	33	2	0	0	0	35	32	32
RNF213	29	6	0	0	0	35	32	32
SRCAP	34	1	0	0	0	35	32	32
WDFY3	30	4	0	1	0	35	32	32
ELF3	33	3	0	2	0	38	31	31
KIAA1109	31	5	0	0	0	36	31	31
MYCBP2	33	1	0	2	0	36	31	31
LRRK2	32	2	0	1	0	35	31	31
DNAH17	34	0	0	0	0	34	31	31
ASXL2	26	7	0	0	0	33	31	31
RELN	32	1	0	0	0	33	31	31
DNAH9	32	0	0	0	0	32	31	31
PLEC	35	3	0	0	0	38	30	30
ANK3	34	2	0	0	0	36	30	30
CSMD2	29	4	0	0	0	33	30	30
LRP1	33	0	0	0	0	33	30	30
PCNT	29	4	0	0	0	33	30	30
PKHD1	29	3	0	1	0	33	30	30
HERC1	28	4	0	0	0	32	30	30
TENM3	31	0	0	1	0	32	30	30
FBXW7	22	9	0	0	0	31	30	30
VPS13D	27	3	0	1	0	31	30	30
FRY	24	5	0	1	0	30	30	30
TCHH	34	2	0	0	0	36	29	29
NCOR1	25	9	0	1	0	35	29	29
SSPO	31	3	0	0	0	34	29	29
LYST	28	3	0	0	0	31	29	29
DYNC1H1	28	2	0	0	0	30	29	29
PCDH15	28	1	0	1	0	30	29	29
CSMD1	28	1	0	0	0	29	29	29
ASH1L	28	4	0	0	0	32	28	28
BDP1	28	2	0	1	0	31	28	28
FRAS1	27	3	0	1	0	31	28	28
ITPR2	24	4	0	2	0	30	28	28
APOB	28	1	0	0	0	29	28	28
FLG2	25	4	0	0	0	29	28	28
CCDC88A	25	3	0	0	0	28	28	28
DSP	28	5	0	0	0	33	27	27
PTPRD	31	1	0	0	0	32	27	27
ANKHD1-EIF4EBP3	26	5	0	0	0	31	27	27
VPS13B	31	0	0	0	0	31	27	27
ATR	28	2	0	0	0	30	27	27
CHD7	27	2	0	1	0	30	27	27
KIAA2018	26	4	0	0	0	30	27	27
MYH9	24	6	0	0	0	30	27	27
GON4L	22	6	0	1	0	29	27	27
HERC2	25	3	0	1	0	29	27	27
SCN1A	25	3	0	1	0	29	27	27
TRIO	28	1	0	0	0	29	27	27
COL6A3	27	1	0	0	0	28	27	27
FBN2	24	3	0	1	0	28	27	27
PHF3	22	6	0	0	0	28	27	27
COL6A6	24	2	0	1	0	27	27	27
AKAP6	24	6	0	1	0	31	26	26
ATAD5	26	3	0	1	0	30	26	26
SETD2	23	5	0	2	0	30	26	26
