Hugo_Symbol	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	total	MutatedSamples	AlteredSamples
ZNF804A	15	0	0	0	15	15	15
ADAM29	10	3	0	0	13	12	12
KCNB2	13	0	0	0	13	12	12
IRX1	11	1	0	0	12	12	12
USP29	14	0	0	0	14	11	11
LRRC66	11	0	0	0	11	11	11
PPP1R3A	9	2	0	0	11	11	11
RP1L1	10	1	0	0	11	11	11
SPATA31A1	10	1	0	0	11	10	10
ZIM3	9	2	0	0	11	10	10
OR4P4	10	0	0	0	10	10	10
OR4N2	8	1	0	0	9	9	9
OR8K3	9	0	0	0	9	9	9
PCDH20	7	1	1	0	9	9	9
ZNF112	8	1	0	0	9	9	9
ZNF804B	9	0	0	0	9	9	9
VRTN	8	1	0	0	9	8	8
ZNF560	8	1	0	0	9	8	8
CCDC36	7	1	0	0	8	8	8
MEPE	7	1	0	0	8	8	8
OR6F1	8	0	0	0	8	8	8
PCDHB15	8	0	0	0	8	8	8
ZBTB32	8	0	0	0	8	8	8
ZNF280A	8	0	0	0	8	8	8
NUTM1	5	3	0	0	8	7	7
ADAM21	6	1	0	0	7	7	7
APOBEC4	7	0	0	0	7	7	7
CPN2	7	0	0	0	7	7	7
FEZF1	7	0	0	0	7	7	7
GPR50	7	0	0	0	7	7	7
LRRC4C	7	0	0	0	7	7	7
OR10R2	6	1	0	0	7	7	7
SLITRK3	7	0	0	0	7	7	7
ZNF676	7	0	0	0	7	7	7
ZNF728	7	0	0	0	7	7	7
ZSCAN10	7	0	0	0	7	7	7
ZNF433	6	2	0	0	8	6	6
KCNA4	7	0	0	0	7	6	6
KLK15	7	0	0	0	7	6	6
OR2L3	5	1	1	0	7	6	6
SPATA31D1	7	0	0	0	7	6	6
BRINP3	6	0	0	0	6	6	6
C1orf127	4	1	0	1	6	6	6
FRMPD1	6	0	0	0	6	6	6
GAL3ST1	6	0	0	0	6	6	6
HIPK4	6	0	0	0	6	6	6
LRIT1	6	0	0	0	6	6	6
MRGPRX1	6	0	0	0	6	6	6
NPAS4	5	1	0	0	6	6	6
OR51E2	6	0	0	0	6	6	6
OR9I1	6	0	0	0	6	6	6
PRDM9	6	0	0	0	6	6	6
SLC32A1	6	0	0	0	6	6	6
SMCO1	6	0	0	0	6	6	6
TIGD4	5	1	0	0	6	6	6
ZFP2	5	1	0	0	6	6	6
ZNF730	5	1	0	0	6	6	6
RNF112	4	2	0	0	6	5	5
TSKS	6	0	0	0	6	5	5
ANKRD34B	5	0	0	0	5	5	5
CSN3	5	0	0	0	5	5	5
CUX2	5	0	0	0	5	5	5
CYP11B2	5	0	0	0	5	5	5
