Hugo_Symbol	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples
PIK3CA	342	1	0	0	0	343	311	311
TP53	205	46	0	21	0	272	268	268
TTN	258	20	0	6	0	284	182	182
MUC16	137	6	0	0	0	143	110	110
RYR2	73	2	0	3	0	78	62	62
USH2A	59	1	0	1	0	61	58	58
CDH1	15	30	0	13	0	58	58	58
HMCN1	61	7	0	1	0	69	57	57
KMT2C	29	32	0	2	0	63	57	57
SYNE1	59	8	0	2	0	69	55	55
FLG	60	4	0	0	0	64	54	54
SPTA1	47	3	0	1	0	51	47	47
DMD	53	7	0	1	0	61	46	46
NEB	43	5	0	4	0	52	46	46
MUC17	45	6	0	0	0	51	46	46
ZFHX4	49	0	0	0	0	49	44	44
MAP3K1	27	19	0	2	0	48	40	40
FAT3	42	3	0	0	0	45	40	40
SYNE2	44	5	1	1	0	51	39	39
NCOR1	24	14	0	6	0	44	39	39
RYR3	38	3	0	3	0	44	39	39
HUWE1	42	2	0	0	0	44	37	37
CSMD3	37	2	0	2	0	41	37	37
APOB	40	3	0	0	0	43	36	36
LRP2	36	1	0	2	0	39	36	36
OBSCN	39	2	0	0	0	41	35	35
XIRP2	37	4	0	0	0	41	35	35
ADGRV1	35	5	0	0	0	40	35	35
MDN1	36	4	0	0	0	40	35	35
PKHD1L1	35	2	0	2	0	39	35	35
CACNA1E	35	1	0	1	0	37	35	35
CCDC168	46	6	0	0	0	52	34	34
MUC4	34	0	0	0	0	34	34	34
PRUNE2	38	2	0	0	0	40	33	33
DNAH11	31	4	0	1	0	36	33	33
ABCA13	31	5	0	1	0	37	32	32
CSMD1	32	3	0	2	0	37	32	32
PCLO	33	4	0	0	0	37	32	32
LRP1B	35	1	0	0	0	36	32	32
DNAH17	32	1	0	2	0	35	31	31
RELN	28	4	0	2	0	34	31	31
MACF1	29	3	0	1	0	33	31	31
VPS13C	31	2	0	3	0	36	30	30
BIRC6	30	1	0	1	0	32	30	30
DCHS2	31	1	0	0	0	32	30	30
