Hugo_Symbol	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples
PCDHB1	11	0	0	0	0	11	11	11
KCNA1	10	1	0	0	0	11	10	10
C2orf71	9	0	0	0	0	9	9	9
TOPAZ1	9	0	0	0	0	9	9	9
ZP4	7	2	0	0	0	9	9	9
POM121L2	9	1	0	0	0	10	8	8
C3orf30	8	1	0	0	0	9	8	8
MAGEB4	8	0	0	0	0	8	7	7
GRK1	6	1	0	0	0	7	7	7
OR2AG1	7	0	0	0	0	7	7	7
PCDHB14	5	2	0	0	0	7	7	7
RAD51AP2	5	2	0	0	0	7	7	7
OR5H1	8	1	0	0	0	9	6	6
LRRTM1	5	1	0	0	0	6	6	6
NPAP1	6	0	0	0	0	6	6	6
OR10Z1	6	0	0	0	0	6	6	6
RBP3	6	0	0	0	0	6	6	6
TCHH	5	1	0	0	0	6	5	5
ACCSL	5	0	0	0	0	5	5	5
MYLK2	5	0	0	0	0	5	5	5
OR5M1	5	0	0	0	0	5	5	5
GJA10	4	1	0	0	0	5	4	4
ABRA	4	0	0	0	0	4	4	4
ANGPT4	3	0	0	1	0	4	4	4
AVPR1B	4	0	0	0	0	4	4	4
HTR5A	4	0	0	0	0	4	4	4
KIR2DL4	4	0	0	0	0	4	4	4
KIR3DL2	4	0	0	0	0	4	4	4
KRT25	4	0	0	0	0	4	4	4
KRT28	4	0	0	0	0	4	4	4
OR4K2	4	0	0	0	0	4	4	4
OR51A4	3	1	0	0	0	4	4	4
PAQR9	4	0	0	0	0	4	4	4
POTEH	4	0	0	0	0	4	4	4
POU3F4	4	0	0	0	0	4	4	4
SERPINC1	4	0	0	0	0	4	4	4
SIGLEC6	4	0	0	0	0	4	4	4
SLC18A3	4	0	0	0	0	4	4	4
SLC22A6	4	0	0	0	0	4	4	4
SPATA31D1	4	0	0	0	0	4	4	4
PRSS38	4	0	0	0	0	4	3	3
SLC39A12	4	0	0	0	0	4	3	3
ADCY8	3	0	0	0	0	3	3	3
ADRA1A	3	0	0	0	0	3	3	3
AIPL1	3	0	0	0	0	3	3	3
ANGPTL3	3	0	0	0	0	3	3	3
AOC2	3	0	0	0	0	3	3	3
AQP12A	3	0	0	0	0	3	3	3
ATP4A	2	0	0	1	0	3	3	3
BARHL2	3	0	0	0	0	3	3	3
BRS3	3	0	0	0	0	3	3	3
CCER1	3	0	0	0	0	3	3	3
CELA3B	3	0	0	0	0	3	3	3
CHRNG	3	0	0	0	0	3	3	3
CTCFL	3	0	0	0	0	3	3	3
CYP11B1	3	0	0	0	0	3	3	3
CYP11B2	3	0	0	0	0	3	3	3
CYP8B1	3	0	0	0	0	3	3	3
DDX43	3	0	0	0	0	3	3	3
DDX53	3	0	0	0	0	3	3	3
DEPDC4	3	0	0	0	0	3	3	3
DNTT	3	0	0	0	0	3	3	3
ENPP7	3	0	0	0	0	3	3	3
ESX1	3	0	0	0	0	3	3	3
FBXL6	2	1	0	0	0	3	3	3
FGF6	3	0	0	0	0	3	3	3
FLG2	1	2	0	0	0	3	3	3
GPR101	3	0	0	0	0	3	3	3
GPR149	3	0	0	0	0	3	3	3
HAL	3	0	0	0	0	3	3	3
ICAM1	3	0	0	0	0	3	3	3
IQCC	3	0	0	0	0	3	3	3
KCNK9	3	0	0	0	0	3	3	3
KCNS2	3	0	0	0	0	3	3	3
KIR3DL1	3	0	0	0	0	3	3	3
KRT2	3	0	0	0	0	3	3	3
KRT34	2	1	0	0	0	3	3	3
KRT74	2	1	0	0	0	3	3	3
KRT84	3	0	0	0	0	3	3	3
KRT9	3	0	0	0	0	3	3	3
LRRTM3	3	0	0	0	0	3	3	3
MARCH4	3	0	0	0	0	3	3	3
MSTN	2	1	0	0	0	3	3	3
NAA11	3	0	0	0	0	3	3	3
NEFL	3	0	0	0	0	3	3	3
NPAS4	3	0	0	0	0	3	3	3
NXNL1	3	0	0	0	0	3	3	3
OR9G1	3	0	0	0	0	3	3	3
PAGE1	2	0	0	0	1	3	3	3
PHOX2B	3	0	0	0	0	3	3	3
PKDREJ	3	0	0	0	0	3	3	3
PM20D1	3	0	0	0	0	3	3	3
PRDM13	3	0	0	0	0	3	3	3
PSG1	3	0	0	0	0	3	3	3
PURG	3	0	0	0	0	3	3	3
RHOXF2	2	1	0	0	0	3	3	3
RHOXF2B	3	0	0	0	0	3	3	3
SIX6	3	0	0	0	0	3	3	3
SLC39A5	3	0	0	0	0	3	3	3
SLC45A2	3	0	0	0	0	3	3	3
SPATA4	3	0	0	0	0	3	3	3
SPP2	3	0	0	0	0	3	3	3
SSX3	2	0	0	1	0	3	3	3
SSX7	3	0	0	0	0	3	3	3
SYCP1	2	1	0	0	0	3	3	3
TMOD4	2	1	0	0	0	3	3	3
TRIM42	2	1	0	0	0	3	3	3
TRIM48	3	0	0	0	0	3	3	3
TYR	3	0	0	0	0	3	3	3
UGT2B10	3	0	0	0	0	3	3	3
NMUR1	3	0	0	0	0	3	2	2
UNCX	3	0	0	0	0	3	2	2
AMER2	2	0	0	0	0	2	2	2
ARMC12	2	0	0	0	0	2	2	2
ASB17	2	0	0	0	0	2	2	2
AURKC	1	0	0	1	0	2	2	2
BIRC7	2	0	0	0	0	2	2	2
BPIFB3	2	0	0	0	0	2	2	2
BSND	2	0	0	0	0	2	2	2
C11orf87	2	0	0	0	0	2	2	2
C20orf173	1	1	0	0	0	2	2	2
CBLN4	1	1	0	0	0	2	2	2
CCKAR	2	0	0	0	0	2	2	2
CGB1	2	0	0	0	0	2	2	2
CLEC18C	2	0	0	0	0	2	2	2
CLRN2	2	0	0	0	0	2	2	2
CLRN3	2	0	0	0	0	2	2	2
CRHBP	1	0	0	1	0	2	2	2
CST8	2	0	0	0	0	2	2	2
CXCL6	2	0	0	0	0	2	2	2
CYP1A2	2	0	0	0	0	2	2	2
DACH2	2	0	0	0	0	2	2	2
DBX1	2	0	0	0	0	2	2	2
DCAF4L1	2	0	0	0	0	2	2	2
