NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	18.817	118.994	4.903	73.945	1.355	0.602	20000.0
2	18.518	116.145	4.821	72.27	1.349	0.618	30000.0
3	18.879	118.836	4.992	74.104	1.373	0.599	30000.0
4	18.56	117.061	4.838	72.27	1.354	0.618	20000.0
5	19.221	121.825	5.101	75.486	1.391	0.58	60000.0
6	18.699	119.182	4.898	73.945	1.393	0.594	30000.0
7	18.991	119.216	4.924	73.463	1.357	0.604	30000.0
8	19.001	119.369	4.962	73.95	1.367	0.597	20000.0
9	18.672	116.111	4.926	73.177	1.325	0.612	30000.0
10	18.936	120.238	4.933	74.601	1.368	0.593	20000.0
11	18.865	118.102	4.899	73.299	1.339	0.612	40000.0
12	18.952	119.804	4.962	74.273	1.356	0.599	50000.0
13	19.121	120.68	5.058	74.936	1.379	0.588	60000.0
14	19.054	118.961	5.102	74.518	1.328	0.599	20000.0
15	18.312	116.214	4.843	73.058	1.374	0.609	20000.0
16	19.065	116.945	5.121	74.161	1.34	0.604	50000.0
17	18.788	118.133	4.869	73.493	1.353	0.604	30000.0
18	18.979	120.309	5.024	74.669	1.353	0.595	30000.0
19	18.944	119.622	4.982	74.09	1.351	0.598	20000.0
20	18.694	117.987	4.881	73.355	1.352	0.608	40000.0
21	19.054	118.573	5.024	73.832	1.327	0.607	30000.0
22	18.761	116.194	4.941	72.868	1.332	0.619	30000.0
23	18.874	118.846	5.019	74.012	1.353	0.602	40000.0
24	19.941	121.722	5.313	75.632	1.359	0.584	40000.0
25	19.008	119.445	5.002	74.89	1.392	0.592	30000.0
26	19.643	122.036	5.247	76.47	1.376	0.571	50000.0
27	18.647	118.605	4.942	73.867	1.346	0.602	110000.0
28	19.133	120.29	5.025	74.415	1.357	0.596	30000.0
29	19.214	119.743	5.087	74.92	1.358	0.59	30000.0
30	18.999	118.35	5.001	74.375	1.368	0.594	20000.0
31	19.133	120.398	5.043	74.974	1.364	0.586	50000.0
32	20.079	123.643	5.387	76.67	1.403	0.578	20000.0
33	19.025	120.785	4.994	74.617	1.367	0.589	20000.0
34	19.316	120.612	5.12	75.374	1.367	0.581	30000.0
35	18.797	117.774	4.953	73.468	1.353	0.602	30000.0
36	19.543	121.957	5.12	75.618	1.394	0.58	20000.0
37	19.354	121.395	5.039	75.336	1.365	0.586	20000.0
38	19.368	121.117	5.068	75.101	1.386	0.581	20000.0
39	19.286	120.17	5.051	74.736	1.355	0.593	30000.0
40	18.823	119.365	4.905	73.879	1.358	0.595	30000.0
41	18.963	120.56	4.966	74.962	1.368	0.581	20000.0
42	18.873	119.036	4.874	73.239	1.341	0.615	30000.0
43	18.999	119.57	5.053	74.681	1.382	0.594	30000.0
44	19.257	122.16	5.078	75.421	1.391	0.583	20000.0
45	19.005	118.942	5.043	74.501	1.343	0.597	30000.0
46	19.009	120.644	4.993	74.563	1.363	0.592	40000.0
47	19.14	119.559	5.002	74.493	1.342	0.601	30000.0
48	18.801	118.25	4.929	73.355	1.34	0.608	30000.0
49	19.116	119.66	4.962	74.304	1.36	0.595	20000.0
50	19.037	119.294	4.99	74.366	1.346	0.597	20000.0
51	19.174	120.024	5.05	74.797	1.336	0.591	20000.0
52	19.004	117.427	5.036	73.886	1.363	0.602	40000.0
53	18.971	118.211	4.929	73.639	1.358	0.602	20000.0
54	18.645	118.77	4.967	73.824	1.371	0.603	20000.0
55	19.116	118.884	4.979	74.191	1.368	0.599	20000.0
56	18.459	115.969	4.73	71.926	1.352	0.617	20000.0
57	19.151	121.633	5.023	75.158	1.386	0.584	20000.0
58	18.564	117.074	4.866	73.436	1.357	0.606	40000.0
59	19.24	122.086	5.025	75.201	1.411	0.58	30000.0
60	18.954	119.213	4.963	73.87	1.361	0.597	20000.0
61	18.838	119.118	4.928	73.907	1.359	0.602	30000.0
62	19.125	120.045	5.011	74.886	1.362	0.589	40000.0
63	19.631	120.818	5.272	75.33	1.353	0.589	20000.0
64	19.269	120.5	5.054	74.789	1.365	0.591	20000.0
65	19.228	120.773	5.038	74.865	1.382	0.589	30000.0
66	19.012	119.126	5.013	74.705	1.343	0.597	20000.0
67	18.812	118.166	4.877	73.355	1.348	0.612	20000.0
68	18.786	118.393	4.913	73.117	1.359	0.613	20000.0
69	18.798	120.08	4.927	74.3	1.399	0.589	20000.0
70	18.713	116.301	4.939	73.392	1.345	0.611	30000.0
71	18.787	116.654	4.946	72.43	1.35	0.624	40000.0
72	18.874	118.484	4.903	73.793	1.385	0.603	20000.0
73	19.158	120.557	5.015	74.454	1.362	0.593	20000.0
74	18.794	118.685	4.9	73.765	1.353	0.596	40000.0
75	18.777	118.064	4.97	73.522	1.37	0.605	20000.0
76	18.751	118.092	4.889	73.523	1.347	0.606	40000.0
77	18.978	119.458	5.001	74.18	1.361	0.596	30000.0
78	19.071	120.395	5.074	75.143	1.394	0.58	20000.0
79	19.026	119.477	4.99	74.032	1.35	0.602	20000.0
80	19.185	120.218	5.131	74.872	1.363	0.591	20000.0
81	19.279	118.854	5.07	74.494	1.332	0.599	30000.0
82	18.501	115.979	4.854	72.801	1.36	0.607	40000.0
83	18.609	116.024	4.79	71.787	1.368	0.618	20000.0
84	18.683	119.011	4.959	73.813	1.372	0.603	20000.0
85	18.892	118.215	5.023	73.85	1.342	0.602	20000.0
86	19.146	120.442	5.049	75.046	1.379	0.586	20000.0
87	18.892	119.382	4.935	73.715	1.405	0.596	30000.0
88	18.803	117.498	4.913	73.662	1.338	0.601	30000.0
89	19.119	120.825	5.045	74.959	1.391	0.582	20000.0
90	19.078	118.14	5.037	74.031	1.374	0.599	20000.0
91	19.324	121.3	5.042	75.168	1.357	0.588	40000.0
92	18.983	119.49	5.051	74.462	1.351	0.592	20000.0
93	19.238	119.936	5.017	74.686	1.358	0.59	30000.0
94	19.362	120.835	5.065	75.023	1.374	0.589	50000.0
95	18.71	118.634	4.886	73.193	1.335	0.61	30000.0
96	18.81	116.852	4.945	73.058	1.381	0.61	40000.0
97	18.895	119.504	5.002	74.204	1.353	0.6	20000.0
98	19.021	120.762	4.954	74.596	1.393	0.592	40000.0
99	18.713	117.567	4.911	73.53	1.367	0.6	20000.0
100	19.032	119.024	4.998	74.245	1.353	0.6	20000.0
