NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	9.328	152.096	3.085	87.663	1.99	0.413	60000.0
2	9.416	150.143	3.124	87.908	2.028	0.421	20000.0
3	9.2	148.483	3.024	86.911	2.047	0.436	30000.0
4	8.923	146.19	2.981	85.253	1.966	0.449	20000.0
5	9.085	147.412	2.948	85.971	2.012	0.442	40000.0
6	8.994	144.92	2.965	85.992	2.033	0.456	30000.0
7	9.197	146.804	3.05	86.215	2.002	0.447	20000.0
8	9.083	149.13	3.002	86.44	1.999	0.436	30000.0
9	8.909	146.007	2.945	85.009	2.003	0.449	20000.0
10	9.048	147.288	2.946	85.548	1.968	0.444	20000.0
11	9.122	147.366	3.027	85.917	1.987	0.448	30000.0
12	9.04	146.862	2.935	85.565	1.985	0.446	30000.0
13	8.885	146.923	2.931	85.68	1.992	0.446	40000.0
14	9.407	150.855	3.095	86.952	1.983	0.424	30000.0
15	8.941	144.333	2.928	84.756	2.081	0.462	40000.0
16	8.95	147.57	2.938	85.964	1.979	0.443	20000.0
17	9.137	149.296	3.029	86.678	2.032	0.433	40000.0
18	9.049	147.535	2.988	85.806	1.989	0.446	40000.0
19	9.232	145.641	3.07	86.057	2.022	0.455	30000.0
20	8.845	145.902	2.906	84.619	1.936	0.454	20000.0
21	9.009	144.393	2.962	84.714	1.996	0.467	20000.0
22	8.861	145.946	2.931	84.471	1.966	0.454	30000.0
23	9.112	148.1	2.974	86.232	1.999	0.443	20000.0
24	9.205	146.946	3.008	86.432	2.047	0.451	20000.0
25	9.083	145.011	2.943	85.551	2.001	0.462	20000.0
26	9.054	144.01	2.985	85.411	1.984	0.469	20000.0
27	8.787	146.026	2.912	84.965	1.974	0.456	40000.0
28	8.981	147.05	2.964	85.842	2.0	0.445	20000.0
29	9.315	148.302	3.028	86.621	2.005	0.43	20000.0
30	9.038	147.552	2.968	85.648	1.98	0.444	30000.0
31	9.025	148.763	2.955	86.206	2.009	0.434	20000.0
32	9.114	148.06	2.969	85.651	2.005	0.444	20000.0
33	9.136	146.076	3.006	85.699	2.053	0.457	20000.0
34	9.098	149.048	2.964	86.143	2.022	0.436	40000.0
35	9.011	145.09	2.955	85.673	2.033	0.46	20000.0
36	8.835	146.468	2.922	85.082	2.019	0.452	40000.0
37	9.218	150.056	3.035	86.724	2.044	0.427	20000.0
38	9.264	149.185	3.001	85.672	2.016	0.443	30000.0
39	9.032	146.012	2.925	85.159	1.924	0.458	40000.0
40	8.957	147.783	2.95	85.639	1.994	0.444	40000.0
41	8.982	148.437	2.996	86.091	2.039	0.435	30000.0
42	9.117	148.426	2.99	86.224	2.04	0.438	40000.0
43	9.28	148.212	3.019	86.723	2.037	0.436	30000.0
44	9.075	148.303	2.97	85.789	2.007	0.443	30000.0
45	9.001	146.977	2.969	85.245	1.99	0.452	30000.0
46	9.048	147.174	2.962	85.592	1.983	0.449	20000.0
47	8.978	143.951	2.952	84.655	1.974	0.462	20000.0
48	9.044	146.427	2.991	85.399	1.972	0.45	30000.0
49	8.857	141.733	2.92	84.333	1.933	0.484	30000.0
50	9.358	151.459	3.091	87.458	1.967	0.422	30000.0
51	8.945	143.845	2.943	85.171	2.014	0.47	20000.0
52	9.25	149.823	3.047	86.582	1.993	0.425	20000.0
53	9.192	150.184	3.047	87.393	2.019	0.424	20000.0
54	8.774	142.962	2.901	84.658	2.025	0.47	30000.0
55	8.923	146.015	2.944	85.175	1.941	0.454	20000.0
