Samples	SBS1	SBS2	SBS3	SBS5	SBS10a	SBS10b	SBS13
TCGA-2F-A9KO-01A-11D-A38G-08	22	222	0	59	0	54	327
TCGA-2F-A9KP-01A-11D-A38G-08	27	35	0	69	0	0	29
TCGA-2F-A9KQ-01A-11D-A38G-08	17	9	0	44	0	0	6
TCGA-2F-A9KR-01A-11D-A38G-08	24	94	0	40	0	45	79
TCGA-2F-A9KT-01A-11D-A38G-08	25	135	0	40	0	41	173
TCGA-2F-A9KW-01A-11D-A38G-08	23	25	45	33	0	0	12
TCGA-4Z-AA7M-01A-11D-A391-08	51	195	0	144	0	0	240
TCGA-4Z-AA7N-01A-11D-A391-08	3	10	0	5	0	0	6
TCGA-4Z-AA7O-01A-31D-A391-08	23	48	0	89	0	27	57
TCGA-4Z-AA7Q-01A-11D-A391-08	26	65	0	65	0	0	138
TCGA-4Z-AA7R-01A-11D-A391-08	19	134	0	72	0	50	160
TCGA-4Z-AA7S-01A-11D-A391-08	32	0	0	38	0	0	0
TCGA-4Z-AA7W-01A-11D-A391-08	22	221	0	76	0	0	347
TCGA-4Z-AA7Y-01A-11D-A391-08	16	129	0	78	0	0	126
TCGA-4Z-AA80-01A-11D-A391-08	36	119	0	105	0	85	154
TCGA-4Z-AA81-01A-11D-A391-08	20	106	0	0	0	33	98
TCGA-4Z-AA82-01A-11D-A391-08	26	25	63	0	0	0	15
TCGA-4Z-AA83-01A-11D-A391-08	25	25	0	36	0	0	20
TCGA-4Z-AA84-01A-11D-A391-08	34	272	0	289	0	66	0
TCGA-4Z-AA86-01A-11D-A391-08	13	81	0	36	0	23	114
TCGA-4Z-AA87-01A-11D-A391-08	39	75	0	82	0	0	92
TCGA-4Z-AA89-01A-11D-A391-08	19	49	0	25	0	0	65
TCGA-5N-A9KI-01A-31D-A42E-08	19	55	0	83	0	24	32
TCGA-5N-A9KM-01A-11D-A42E-08	13	0	0	257	0	0	0
TCGA-BL-A0C8-01A-11D-A271-08	32	20	0	67	0	19	37
TCGA-BL-A13I-01A-11D-A271-08	13	18	46	39	0	0	32
TCGA-BL-A13J-01A-11D-A271-08	3	18	77	8	0	0	25
TCGA-BL-A3JM-01A-12D-A21A-08	30	58	0	109	0	0	55
TCGA-BL-A5ZZ-01A-31D-A30E-08	30	44	0	99	0	0	26
TCGA-BT-A0S7-01A-11D-A10S-08	5	0	0	40	0	0	0
TCGA-BT-A0YX-01A-11D-A10S-08	32	290	0	11	0	76	372
TCGA-BT-A20J-01A-11D-A14W-08	45	209	0	0	0	86	225
TCGA-BT-A20N-01A-11D-A14W-08	24	41	195	0	0	0	55
TCGA-BT-A20O-01A-21D-A14W-08	16	43	0	111	0	0	43
TCGA-BT-A20P-01A-11D-A14W-08	14	6	0	17	0	14	51
TCGA-BT-A20Q-01A-11D-A14W-08	14	25	0	11	0	25	34
TCGA-BT-A20R-01A-12D-A16O-08	31	96	0	9	0	59	124
TCGA-BT-A20T-01A-11D-A14W-08	14	125	0	52	0	35	105
TCGA-BT-A20U-01A-11D-A14W-08	7	30	0	9	0	16	44
TCGA-BT-A20V-01A-11D-A14W-08	27	13	0	49	0	19	19
TCGA-BT-A20W-01A-21D-A14W-08	15	7	0	33	0	9	19
TCGA-BT-A20X-01A-11D-A16O-08	7	4	0	64	0	0	9
TCGA-BT-A2LA-01A-11D-A18F-08	73	41	0	65	0	0	33
TCGA-BT-A2LB-01A-11D-A18F-08	31	249	0	378	0	80	47
TCGA-BT-A2LD-01A-12D-A20D-08	36	15	0	65	0	0	6
TCGA-BT-A3PH-01A-11D-A21Z-08	39	180	0	44	0	0	299
TCGA-BT-A3PJ-01A-21D-A21Z-08	30	213	0	193	0	69	134
TCGA-BT-A3PK-01A-21D-A21Z-08	18	53	0	293	0	0	72
TCGA-BT-A42B-01A-32D-A23M-08	27	9	0	43	0	0	0
TCGA-BT-A42C-01A-11D-A23M-08	25	74	159	65	0	27	95
TCGA-BT-A42E-01A-11D-A23U-08	21	47	0	51	0	0	80
TCGA-BT-A42F-01A-11D-A23U-08	7	72	0	36	0	0	82
TCGA-C4-A0EZ-01A-21D-A10S-08	35	37	0	114	0	25	34
TCGA-C4-A0F0-01A-12D-A10S-08	19	9	0	76	0	0	11
TCGA-C4-A0F1-01A-11D-A10S-08	30	57	0	36	0	31	55
TCGA-C4-A0F6-01A-11D-A10S-08	29	53	0	49	0	23	91
TCGA-C4-A0F7-01A-11D-A10S-08	33	10	0	49	0	0	5
TCGA-CF-A1HR-01A-11D-A13W-08	17	97	0	50	0	31	120
TCGA-CF-A1HS-01A-11D-A13W-08	14	38	0	96	0	0	152
TCGA-CF-A27C-01A-11D-A16O-08	13	57	0	34	0	0	78
TCGA-CF-A3MF-01A-12D-A21A-08	12	3	0	10	0	0	0
TCGA-CF-A3MG-01A-11D-A20D-08	19	46	0	44	0	0	61
TCGA-CF-A3MH-01A-11D-A20D-08	13	4	0	26	0	0	9
TCGA-CF-A3MI-01A-11D-A20D-08	26	16	0	22	0	0	21
TCGA-CF-A47S-01A-11D-A23U-08	11	3	0	16	0	0	0
TCGA-CF-A47T-01A-11D-A23U-08	8	4	0	14	0	6	0
TCGA-CF-A47V-01A-11D-A23U-08	12	21	68	6	0	0	23
TCGA-CF-A47W-01A-11D-A23U-08	8	0	0	28	0	0	0
TCGA-CF-A47X-01A-31D-A23U-08	29	127	0	61	0	33	150
