NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	119.982	56.44	20.718	38.178	0.413	0.871	40000.0
2	121.079	57.051	20.978	38.656	0.418	0.866	30000.0
3	121.633	56.84	21.04	38.46	0.414	0.87	30000.0
4	120.64	56.709	20.63	38.429	0.422	0.868	50000.0
5	121.571	56.512	21.425	38.5	0.416	0.871	40000.0
6	120.324	56.228	20.879	38.136	0.411	0.872	20000.0
7	119.796	56.044	20.597	37.855	0.419	0.872	70000.0
8	120.469	56.456	20.806	38.386	0.414	0.869	30000.0
9	121.741	57.115	21.235	38.999	0.419	0.864	30000.0
10	120.166	56.515	20.846	38.518	0.413	0.867	50000.0
11	120.796	56.579	20.696	38.242	0.415	0.87	50000.0
12	120.805	56.719	20.938	38.529	0.416	0.869	30000.0
13	121.615	56.813	21.266	38.813	0.413	0.867	40000.0
14	122.11	57.004	21.231	38.726	0.414	0.868	50000.0
15	121.278	56.779	20.608	38.255	0.424	0.867	40000.0
16	121.358	56.637	21.236	38.333	0.414	0.871	40000.0
17	120.431	56.653	20.821	38.632	0.419	0.866	70000.0
18	120.286	56.497	20.849	38.455	0.415	0.867	30000.0
19	120.255	56.254	20.882	38.127	0.413	0.871	40000.0
20	121.628	56.946	21.017	38.805	0.417	0.866	30000.0
21	121.069	56.345	20.918	38.43	0.408	0.87	30000.0
22	120.754	56.043	21.165	38.25	0.41	0.872	50000.0
23	120.6	56.992	20.866	38.752	0.418	0.866	40000.0
24	121.056	56.627	21.02	38.365	0.413	0.869	30000.0
25	120.998	56.602	21.021	38.736	0.413	0.868	70000.0
26	121.201	56.82	21.049	38.633	0.416	0.868	30000.0
27	121.888	57.196	21.241	39.122	0.42	0.865	60000.0
28	120.406	56.192	20.849	38.159	0.417	0.87	20000.0
29	120.73	56.807	20.981	38.579	0.417	0.867	40000.0
30	121.658	56.741	21.149	38.484	0.416	0.869	40000.0
31	120.708	56.45	20.89	38.352	0.414	0.87	40000.0
32	119.897	56.42	20.856	38.352	0.413	0.871	40000.0
33	120.429	56.406	20.977	38.372	0.411	0.869	30000.0
34	120.872	56.914	20.954	38.523	0.417	0.869	40000.0
35	121.858	57.123	21.293	38.901	0.416	0.865	70000.0
36	120.885	56.697	20.981	38.267	0.422	0.87	60000.0
37	120.907	57.034	20.913	38.674	0.416	0.867	40000.0
38	121.214	56.74	21.096	38.498	0.414	0.869	50000.0
39	121.741	56.685	21.206	38.669	0.414	0.869	30000.0
40	121.659	57.063	21.174	38.813	0.418	0.868	60000.0
41	119.346	56.203	20.677	38.113	0.407	0.873	40000.0
42	120.891	56.37	20.927	38.379	0.412	0.869	60000.0
43	120.848	56.162	21.065	38.188	0.411	0.872	60000.0
44	120.74	56.615	20.986	38.433	0.412	0.87	30000.0
45	120.904	56.883	21.054	38.666	0.415	0.867	50000.0
46	122.177	57.072	20.993	38.612	0.425	0.866	50000.0
47	121.178	57.045	20.907	38.523	0.422	0.867	40000.0
48	121.144	57.013	20.929	38.619	0.42	0.868	40000.0
49	121.057	56.623	21.063	38.443	0.416	0.87	60000.0
50	121.753	56.838	21.451	38.65	0.416	0.868	30000.0
51	121.55	57.018	21.048	38.735	0.424	0.867	40000.0
52	119.604	56.526	20.237	37.953	0.422	0.87	80000.0
53	119.889	56.493	21.057	38.495	0.423	0.867	50000.0
54	120.858	56.853	20.89	38.536	0.42	0.867	50000.0
55	120.209	56.343	20.853	38.196	0.413	0.871	50000.0
56	121.392	56.828	20.931	38.529	0.42	0.866	40000.0
57	121.157	56.549	21.203	38.4	0.413	0.871	30000.0
58	120.694	56.23	20.732	37.995	0.414	0.871	30000.0
59	120.798	56.408	21.123	38.177	0.412	0.871	40000.0
60	120.688	56.696	21.105	38.785	0.416	0.867	40000.0
61	121.085	56.966	20.958	38.688	0.421	0.866	60000.0
62	122.039	57.226	21.015	38.52	0.418	0.869	30000.0
63	120.21	56.368	20.814	38.379	0.41	0.869	30000.0
64	120.015	56.419	20.709	38.159	0.413	0.871	60000.0
65	121.6	57.025	20.908	38.448	0.426	0.867	60000.0
66	120.809	56.501	20.864	38.424	0.415	0.868	40000.0
67	120.662	56.672	21.019	38.392	0.419	0.868	40000.0
68	121.065	56.884	21.016	38.668	0.416	0.868	50000.0
69	120.857	56.722	21.169	38.669	0.415	0.867	40000.0
70	120.588	56.139	20.95	38.008	0.413	0.872	30000.0
71	120.831	56.902	20.824	38.395	0.42	0.866	80000.0
72	121.168	56.735	20.921	38.588	0.42	0.867	40000.0
73	119.889	56.429	20.785	38.286	0.413	0.87	20000.0
74	120.888	56.718	20.812	38.334	0.421	0.867	60000.0
75	120.379	56.751	20.737	38.308	0.417	0.868	60000.0
76	121.255	56.705	21.217	38.753	0.414	0.867	50000.0
77	120.917	56.86	21.015	38.708	0.426	0.866	30000.0
78	122.112	57.369	21.205	39.015	0.424	0.865	40000.0
79	120.463	56.521	20.986	38.352	0.416	0.869	20000.0
80	120.588	56.742	21.033	38.537	0.42	0.868	70000.0
81	120.917	56.934	20.968	38.688	0.421	0.866	30000.0
82	120.821	56.541	20.926	38.485	0.414	0.868	30000.0
83	119.913	56.344	20.651	38.147	0.413	0.87	40000.0
84	121.263	57.435	21.138	38.947	0.424	0.865	30000.0
85	121.367	56.857	21.081	38.727	0.42	0.867	60000.0
86	121.376	56.699	21.158	38.702	0.419	0.866	50000.0
87	120.847	56.659	20.85	38.476	0.413	0.869	40000.0
88	120.152	56.763	20.717	38.394	0.421	0.869	20000.0
89	119.882	56.22	20.752	38.195	0.407	0.872	30000.0
90	121.636	57.339	21.12	39.027	0.421	0.864	60000.0
91	121.463	56.651	21.048	38.512	0.414	0.869	50000.0
92	119.946	55.786	20.898	37.979	0.407	0.873	50000.0
93	120.481	56.495	20.848	38.432	0.414	0.869	30000.0
94	121.18	56.485	21.083	38.528	0.414	0.87	30000.0
95	122.091	56.816	21.376	38.833	0.417	0.866	30000.0
96	120.437	56.34	20.662	38.115	0.42	0.868	70000.0
97	122.333	57.391	21.202	39.058	0.426	0.862	50000.0
98	121.101	56.531	21.085	38.584	0.413	0.868	60000.0
