Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-2F-A9KO-01A-11D-A38G-08	306	135	33	0
TCGA-2F-A9KP-01A-11D-A38G-08	24	26	48	10
TCGA-2F-A9KQ-01A-11D-A38G-08	6	7	39	3
TCGA-2F-A9KR-01A-11D-A38G-08	66	73	28	15
TCGA-2F-A9KT-01A-11D-A38G-08	154	79	34	29
TCGA-2F-A9KW-01A-11D-A38G-08	8	17	62	9
TCGA-4Z-AA7M-01A-11D-A391-08	219	107	97	0
TCGA-4Z-AA7N-01A-11D-A391-08	1	6	9	0
TCGA-4Z-AA7O-01A-31D-A391-08	46	38	77	14
TCGA-4Z-AA7Q-01A-11D-A391-08	120	28	64	5
TCGA-4Z-AA7R-01A-11D-A391-08	153	103	29	28
TCGA-4Z-AA7S-01A-11D-A391-08	0	2	34	9
TCGA-4Z-AA7W-01A-11D-A391-08	306	127	29	0
TCGA-4Z-AA7Y-01A-11D-A391-08	123	97	15	5
TCGA-4Z-AA80-01A-11D-A391-08	139	78	82	55
TCGA-4Z-AA81-01A-11D-A391-08	69	60	27	19
TCGA-4Z-AA82-01A-11D-A391-08	14	24	56	3
TCGA-4Z-AA83-01A-11D-A391-08	11	16	39	7
TCGA-4Z-AA84-01A-11D-A391-08	10	237	171	6
TCGA-4Z-AA86-01A-11D-A391-08	119	39	22	11
TCGA-4Z-AA87-01A-11D-A391-08	79	36	63	17
TCGA-4Z-AA89-01A-11D-A391-08	57	29	32	0
TCGA-5N-A9KI-01A-31D-A42E-08	34	50	55	16
TCGA-5N-A9KM-01A-11D-A42E-08	5	26	160	1
TCGA-BL-A0C8-01A-11D-A271-08	27	19	57	11
TCGA-BL-A13I-01A-11D-A271-08	40	12	53	0
TCGA-BL-A13J-01A-11D-A271-08	30	12	39	0
TCGA-BL-A3JM-01A-12D-A21A-08	44	38	79	3
TCGA-BL-A5ZZ-01A-31D-A30E-08	21	35	71	3
TCGA-BT-A0S7-01A-11D-A10S-08	0	1	31	4
TCGA-BT-A0YX-01A-11D-A10S-08	325	203	0	0
TCGA-BT-A20J-01A-11D-A14W-08	193	152	27	26
TCGA-BT-A20N-01A-11D-A14W-08	63	23	117	10
TCGA-BT-A20O-01A-21D-A14W-08	48	24	85	2
TCGA-BT-A20P-01A-11D-A14W-08	39	0	20	5
TCGA-BT-A20Q-01A-11D-A14W-08	26	22	17	10
TCGA-BT-A20R-01A-12D-A16O-08	106	53	17	24
TCGA-BT-A20T-01A-11D-A14W-08	92	91	33	11
TCGA-BT-A20U-01A-11D-A14W-08	41	24	12	8
TCGA-BT-A20V-01A-11D-A14W-08	17	10	39	15
TCGA-BT-A20W-01A-21D-A14W-08	19	3	32	11
TCGA-BT-A20X-01A-11D-A16O-08	13	1	36	11
TCGA-BT-A2LA-01A-11D-A18F-08	23	24	93	7
TCGA-BT-A2LB-01A-11D-A18F-08	40	244	204	17
TCGA-BT-A2LD-01A-12D-A20D-08	5	11	65	10
TCGA-BT-A3PH-01A-11D-A21Z-08	264	95	27	0
TCGA-BT-A3PJ-01A-21D-A21Z-08	132	187	99	18
TCGA-BT-A3PK-01A-21D-A21Z-08	87	46	177	0
TCGA-BT-A42B-01A-32D-A23M-08	2	7	44	6
TCGA-BT-A42C-01A-11D-A23M-08	97	72	130	11
TCGA-BT-A42E-01A-11D-A23U-08	79	24	38	0
TCGA-BT-A42F-01A-11D-A23U-08	86	49	8	0
TCGA-C4-A0EZ-01A-21D-A10S-08	27	32	93	21
