NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	95.237	63.123	16.581	41.806	0.496	0.851	40000.0
2	94.382	62.78	16.803	41.793	0.481	0.853	40000.0
3	95.793	63.621	17.041	42.164	0.489	0.849	40000.0
4	94.267	62.742	16.556	41.84	0.486	0.849	40000.0
5	95.181	63.096	16.798	41.974	0.485	0.851	40000.0
6	94.809	63.343	16.789	42.219	0.494	0.847	30000.0
7	94.649	63.492	16.679	42.262	0.491	0.845	60000.0
8	93.402	62.824	16.185	41.418	0.494	0.851	70000.0
9	95.077	63.038	16.638	41.864	0.492	0.851	40000.0
10	93.431	62.153	16.181	40.953	0.488	0.856	40000.0
11	95.173	63.097	16.697	41.777	0.497	0.849	30000.0
12	94.499	62.861	16.73	41.938	0.485	0.851	40000.0
13	93.743	62.989	16.444	41.985	0.492	0.848	40000.0
14	94.62	63.445	16.64	42.358	0.493	0.846	50000.0
15	94.102	62.217	16.597	41.461	0.476	0.855	30000.0
16	94.741	62.965	16.757	41.877	0.484	0.85	50000.0
17	96.409	63.959	17.142	42.812	0.494	0.844	30000.0
18	93.476	62.337	16.294	41.377	0.482	0.854	60000.0
19	94.851	63.104	16.714	42.045	0.488	0.849	40000.0
20	94.71	62.544	16.751	41.584	0.477	0.856	30000.0
21	95.56	63.049	16.898	41.976	0.483	0.852	50000.0
22	93.495	61.941	16.279	40.95	0.486	0.854	40000.0
23	92.226	61.6	15.967	40.638	0.484	0.857	40000.0
24	94.345	62.887	16.746	42.074	0.488	0.849	30000.0
25	93.523	62.42	16.443	41.582	0.484	0.853	60000.0
26	94.924	63.41	16.691	42.155	0.486	0.848	30000.0
27	94.057	62.71	16.718	41.685	0.483	0.853	30000.0
28	94.528	62.773	16.701	41.858	0.486	0.851	40000.0
29	93.016	62.49	16.153	41.283	0.492	0.852	50000.0
30	93.83	62.258	16.329	41.274	0.488	0.854	40000.0
31	96.008	63.754	17.101	42.464	0.494	0.847	50000.0
32	93.751	62.913	16.173	41.49	0.493	0.85	40000.0
33	95.054	63.431	16.893	42.215	0.486	0.85	40000.0
34	95.257	63.55	16.793	42.305	0.489	0.846	40000.0
35	95.619	63.606	16.81	42.369	0.498	0.846	30000.0
36	94.328	63.255	16.745	42.231	0.489	0.849	60000.0
37	92.975	62.373	16.177	41.179	0.493	0.853	40000.0
38	94.338	63.061	16.682	42.072	0.487	0.85	50000.0
39	94.131	62.533	16.525	41.501	0.488	0.852	40000.0
40	93.289	62.321	16.207	41.048	0.49	0.855	40000.0
41	93.28	62.361	16.375	41.521	0.481	0.852	50000.0
42	93.955	62.721	16.339	41.464	0.491	0.851	90000.0
43	95.025	63.364	16.763	42.267	0.487	0.848	30000.0
44	94.205	63.041	16.665	42.085	0.485	0.849	40000.0
45	94.49	63.132	16.601	42.225	0.486	0.845	60000.0
46	94.126	62.531	16.416	41.466	0.489	0.852	40000.0
47	94.43	62.959	16.517	41.954	0.491	0.848	60000.0
48	95.34	63.598	16.902	42.525	0.492	0.844	30000.0
49	94.338	62.732	16.631	41.727	0.48	0.852	30000.0
50	94.632	62.88	16.581	41.643	0.493	0.851	50000.0
51	95.276	63.568	16.95	42.351	0.488	0.848	40000.0
52	95.194	63.24	17.003	42.321	0.484	0.849	30000.0
53	95.482	63.104	16.878	41.996	0.483	0.85	30000.0
54	94.331	62.982	16.535	41.806	0.492	0.849	30000.0
55	94.28	62.509	16.572	41.557	0.478	0.853	40000.0
56	95.072	63.45	16.855	42.34	0.491	0.848	110000.0
57	93.865	62.208	16.607	41.461	0.477	0.854	70000.0
58	93.938	62.891	16.451	41.482	0.493	0.853	50000.0
59	94.638	62.866	16.502	41.782	0.49	0.851	90000.0
60	93.707	62.719	16.349	41.334	0.489	0.853	30000.0
61	95.291	63.515	17.147	42.735	0.493	0.844	60000.0
62	95.232	62.867	17.018	42.167	0.487	0.85	50000.0
63	93.185	62.003	16.206	41.117	0.483	0.855	30000.0
