NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	38.254	100.197	8.36	65.072	0.998	0.68	40000.0
2	37.414	97.691	7.919	63.174	1.007	0.693	50000.0
3	36.647	95.997	7.736	61.677	0.984	0.708	50000.0
4	37.782	98.218	8.111	63.963	0.982	0.69	20000.0
5	37.439	98.45	8.195	63.905	0.997	0.691	40000.0
6	38.212	100.225	8.248	64.845	1.005	0.678	30000.0
7	38.384	100.586	8.264	64.947	1.006	0.678	20000.0
8	38.093	100.962	8.174	65.213	1.008	0.674	30000.0
9	38.159	99.807	8.223	64.535	1.009	0.681	50000.0
10	37.94	99.417	8.153	64.055	1.001	0.688	40000.0
11	38.035	100.099	8.205	64.509	1.011	0.681	60000.0
12	38.225	99.136	8.267	64.584	0.984	0.685	20000.0
13	37.847	98.556	8.161	64.325	0.995	0.687	20000.0
14	37.721	99.372	8.116	64.342	1.003	0.685	20000.0
15	38.419	101.725	8.283	65.844	1.02	0.665	40000.0
16	37.981	99.903	8.104	64.448	1.011	0.678	20000.0
17	37.931	99.683	8.15	64.835	1.001	0.68	30000.0
18	37.803	98.436	8.087	64.027	0.99	0.693	30000.0
19	37.592	98.931	8.124	64.558	0.984	0.684	60000.0
20	37.641	97.785	7.995	63.02	0.998	0.696	50000.0
21	37.828	99.036	8.18	64.457	0.975	0.688	30000.0
22	38.994	100.759	8.471	65.123	0.994	0.682	20000.0
23	38.243	99.819	8.307	64.98	1.0	0.68	30000.0
24	37.837	99.525	8.004	64.435	1.014	0.682	90000.0
25	37.617	98.982	8.075	64.173	0.987	0.686	30000.0
26	38.337	99.804	8.322	64.597	0.998	0.686	60000.0
27	38.049	99.509	8.192	64.408	0.997	0.684	30000.0
28	37.05	96.457	7.979	61.826	0.996	0.712	40000.0
29	38.11	100.455	8.221	65.094	0.999	0.682	20000.0
30	37.772	98.938	8.213	64.565	0.987	0.682	30000.0
31	37.629	98.425	8.156	64.479	0.968	0.686	30000.0
32	37.286	97.613	8.09	63.836	0.966	0.693	30000.0
33	37.109	96.089	7.841	61.847	0.976	0.709	40000.0
34	38.3	99.331	8.218	64.501	0.982	0.688	20000.0
35	37.914	99.64	8.064	64.332	0.995	0.686	30000.0
36	37.139	97.805	7.838	62.969	1.011	0.694	20000.0
37	38.629	100.182	8.408	64.86	1.001	0.683	40000.0
38	38.005	99.598	8.092	64.395	0.996	0.682	40000.0
39	37.833	99.391	8.162	64.086	0.988	0.689	50000.0
40	38.268	99.253	8.261	64.311	0.993	0.687	30000.0
41	36.587	95.458	7.741	61.621	0.985	0.712	40000.0
42	38.324	100.226	8.249	64.801	1.004	0.681	30000.0
43	38.174	100.408	8.285	65.262	1.012	0.673	30000.0
44	37.776	99.737	8.144	64.815	1.01	0.676	20000.0
45	38.479	101.481	8.269	65.472	1.007	0.674	20000.0
46	38.595	100.627	8.291	64.977	1.013	0.682	20000.0
47	37.937	98.793	8.197	64.423	1.0	0.686	30000.0
48	38.429	100.337	8.287	65.235	1.004	0.677	20000.0
