Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA-2F-A9KO-01A-11D-A38G-08	36	63	43	0	0	11
TCGA-2F-A9KP-01A-11D-A38G-08	7	10	0	1	15	5
TCGA-2F-A9KQ-01A-11D-A38G-08	2	0	7	3	0	3
TCGA-2F-A9KR-01A-11D-A38G-08	25	14	25	0	12	9
TCGA-2F-A9KT-01A-11D-A38G-08	32	37	21	0	3	0
TCGA-2F-A9KW-01A-11D-A38G-08	9	6	15	0	0	6
TCGA-4Z-AA7M-01A-11D-A391-08	39	44	40	0	3	13
TCGA-4Z-AA7N-01A-11D-A391-08	1	4	0	0	0	0
TCGA-4Z-AA7O-01A-31D-A391-08	15	18	0	0	16	4
TCGA-4Z-AA7Q-01A-11D-A391-08	7	18	23	0	0	5
TCGA-4Z-AA7R-01A-11D-A391-08	26	35	0	14	11	1
TCGA-4Z-AA7S-01A-11D-A391-08	2	0	0	4	13	3
TCGA-4Z-AA7W-01A-11D-A391-08	42	82	0	22	0	0
TCGA-4Z-AA7Y-01A-11D-A391-08	30	24	0	5	8	2
TCGA-4Z-AA80-01A-11D-A391-08	27	23	48	2	1	9
TCGA-4Z-AA81-01A-11D-A391-08	25	21	0	8	4	0
TCGA-4Z-AA82-01A-11D-A391-08	2	7	0	5	10	0
TCGA-4Z-AA83-01A-11D-A391-08	5	8	10	1	4	0
TCGA-4Z-AA84-01A-11D-A391-08	86	5	0	26	14	2
TCGA-4Z-AA86-01A-11D-A391-08	20	15	16	0	0	2
TCGA-4Z-AA87-01A-11D-A391-08	23	20	10	0	15	0
TCGA-4Z-AA89-01A-11D-A391-08	6	13	6	0	0	2
TCGA-5N-A9KI-01A-31D-A42E-08	12	0	9	1	16	4
TCGA-5N-A9KM-01A-11D-A42E-08	3	3	8	43	0	1
TCGA-BL-A0C8-01A-11D-A271-08	1	12	0	0	24	4
TCGA-BL-A13I-01A-11D-A271-08	0	4	16	4	4	3
