Samples	SBS96A	SBS96B	SBS96C
TCGA-2F-A9KO-01A-11D-A38G-08	406	82	0
TCGA-2F-A9KP-01A-11D-A38G-08	33	58	20
TCGA-2F-A9KQ-01A-11D-A38G-08	6	38	13
TCGA-2F-A9KR-01A-11D-A38G-08	81	96	12
TCGA-2F-A9KT-01A-11D-A38G-08	201	72	35
TCGA-2F-A9KW-01A-11D-A38G-08	9	65	23
TCGA-4Z-AA7M-01A-11D-A391-08	308	129	0
TCGA-4Z-AA7N-01A-11D-A391-08	2	14	0
TCGA-4Z-AA7O-01A-31D-A391-08	70	79	33
TCGA-4Z-AA7Q-01A-11D-A391-08	199	3	23
TCGA-4Z-AA7R-01A-11D-A391-08	194	90	32
TCGA-4Z-AA7S-01A-11D-A391-08	0	19	28
TCGA-4Z-AA7W-01A-11D-A391-08	404	63	0
TCGA-4Z-AA7Y-01A-11D-A391-08	146	100	3
TCGA-4Z-AA80-01A-11D-A391-08	189	90	86
TCGA-4Z-AA81-01A-11D-A391-08	83	81	19
TCGA-4Z-AA82-01A-11D-A391-08	22	72	8
TCGA-4Z-AA83-01A-11D-A391-08	20	42	15
TCGA-4Z-AA84-01A-11D-A391-08	30	410	0
TCGA-4Z-AA86-01A-11D-A391-08	159	24	15
TCGA-4Z-AA87-01A-11D-A391-08	120	49	34
TCGA-4Z-AA89-01A-11D-A391-08	82	35	1
TCGA-5N-A9KI-01A-31D-A42E-08	45	87	25
TCGA-5N-A9KM-01A-11D-A42E-08	0	171	26
TCGA-BL-A0C8-01A-11D-A271-08	42	48	29
TCGA-BL-A13I-01A-11D-A271-08	73	24	11
TCGA-BL-A13J-01A-11D-A271-08	58	25	0
TCGA-BL-A3JM-01A-12D-A21A-08	68	83	18
TCGA-BL-A5ZZ-01A-31D-A30E-08	30	93	12
TCGA-BT-A0S7-01A-11D-A10S-08	0	15	23
TCGA-BT-A0YX-01A-11D-A10S-08	401	154	0
TCGA-BT-A20J-01A-11D-A14W-08	232	149	28
TCGA-BT-A20N-01A-11D-A14W-08	114	64	39
TCGA-BT-A20O-01A-21D-A14W-08	84	64	16
TCGA-BT-A20P-01A-11D-A14W-08	56	0	10
TCGA-BT-A20Q-01A-11D-A14W-08	33	30	13
TCGA-BT-A20R-01A-12D-A16O-08	136	41	31
TCGA-BT-A20T-01A-11D-A14W-08	117	107	10
TCGA-BT-A20U-01A-11D-A14W-08	52	23	11
TCGA-BT-A20V-01A-11D-A14W-08	24	28	33
TCGA-BT-A20W-01A-21D-A14W-08	32	5	28
TCGA-BT-A20X-01A-11D-A16O-08	21	13	29
TCGA-BT-A2LA-01A-11D-A18F-08	35	90	25
TCGA-BT-A2LB-01A-11D-A18F-08	62	449	11
TCGA-BT-A2LD-01A-12D-A20D-08	4	60	30
TCGA-BT-A3PH-01A-11D-A21Z-08	372	26	0
TCGA-BT-A3PJ-01A-21D-A21Z-08	165	271	14
TCGA-BT-A3PK-01A-21D-A21Z-08	153	141	23
TCGA-BT-A42B-01A-32D-A23M-08	0	41	18
TCGA-BT-A42C-01A-11D-A23M-08	147	144	28
TCGA-BT-A42E-01A-11D-A23U-08	123	16	2
TCGA-BT-A42F-01A-11D-A23U-08	106	44	0
TCGA-C4-A0EZ-01A-21D-A10S-08	38	95	42
TCGA-C4-A0F0-01A-12D-A10S-08	14	60	10
TCGA-C4-A0F1-01A-11D-A10S-08	61	58	29
TCGA-C4-A0F6-01A-11D-A10S-08	125	18	37
TCGA-C4-A0F7-01A-11D-A10S-08	0	28	36
TCGA-CF-A1HR-01A-11D-A13W-08	144	72	14
TCGA-CF-A1HS-01A-11D-A13W-08	197	0	11
TCGA-CF-A27C-01A-11D-A16O-08	114	30	0
TCGA-CF-A3MF-01A-12D-A21A-08	0	19	1
TCGA-CF-A3MG-01A-11D-A20D-08	88	22	15
TCGA-CF-A3MH-01A-11D-A20D-08	13	11	11
TCGA-CF-A3MI-01A-11D-A20D-08	23	24	14
TCGA-CF-A47S-01A-11D-A23U-08	0	13	8
TCGA-CF-A47T-01A-11D-A23U-08	1	13	9
TCGA-CF-A47V-01A-11D-A23U-08	53	25	10
TCGA-CF-A47W-01A-11D-A23U-08	0	18	9
TCGA-CF-A47X-01A-31D-A23U-08	171	92	19
TCGA-CF-A47Y-01A-11D-A23U-08	43	11	6
TCGA-CF-A5U8-01A-11D-A289-08	0	29	26
TCGA-CF-A5UA-01A-11D-A289-08	22	13	36
TCGA-CF-A7I0-01A-22D-A34U-08	14	23	6
