NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	116.349	69.56	21.493	46.763	0.56	0.809	40000.0
2	114.839	69.163	21.088	46.554	0.563	0.808	20000.0
3	116.55	71.286	22.713	48.287	0.56	0.808	20000.0
4	114.97	69.413	21.112	46.593	0.564	0.809	30000.0
5	117.174	70.99	23.09	48.323	0.553	0.811	20000.0
6	114.566	69.511	20.978	46.486	0.564	0.809	50000.0
7	114.561	69.216	21.15	46.464	0.561	0.809	20000.0
8	116.514	70.786	22.721	48.001	0.554	0.81	20000.0
9	118.179	71.956	23.246	48.784	0.569	0.803	20000.0
10	116.419	71.222	22.738	48.367	0.56	0.807	40000.0
11	115.232	69.034	21.302	46.506	0.555	0.809	20000.0
12	116.985	70.856	23.176	48.168	0.55	0.811	30000.0
13	116.582	71.074	22.82	48.169	0.558	0.808	50000.0
14	117.722	71.173	23.154	48.379	0.556	0.809	20000.0
15	117.159	70.926	23.251	48.461	0.559	0.806	30000.0
16	117.953	71.533	23.038	48.542	0.559	0.807	30000.0
17	114.796	68.944	21.169	46.298	0.555	0.81	30000.0
18	117.515	71.213	23.37	48.619	0.557	0.806	20000.0
19	115.47	69.705	21.157	46.748	0.566	0.807	40000.0
20	114.853	69.243	21.227	46.697	0.564	0.805	30000.0
21	117.741	71.894	23.137	48.605	0.565	0.806	20000.0
22	117.102	70.895	23.007	48.283	0.555	0.808	20000.0
23	116.938	70.964	23.204	48.472	0.557	0.806	40000.0
24	117.591	71.163	23.056	48.194	0.555	0.811	30000.0
25	115.257	69.708	21.079	46.624	0.566	0.808	20000.0
26	116.127	70.776	22.806	48.034	0.554	0.81	30000.0
27	117.664	71.672	23.107	48.731	0.562	0.805	20000.0
28	115.57	69.427	21.227	46.551	0.565	0.807	30000.0
29	117.271	71.056	22.957	48.314	0.557	0.808	20000.0
30	117.24	71.026	23.245	48.481	0.56	0.808	30000.0
31	117.934	71.894	23.082	49.025	0.566	0.802	30000.0
32	116.685	71.124	22.916	48.226	0.558	0.809	50000.0
33	115.498	69.86	21.306	47.083	0.569	0.803	30000.0
34	114.632	69.159	21.067	46.418	0.562	0.807	20000.0
35	114.685	68.553	20.951	45.761	0.553	0.815	20000.0
36	118.252	71.979	23.201	48.756	0.564	0.806	40000.0
37	114.167	69.236	20.843	46.244	0.565	0.809	20000.0
38	116.624	70.755	22.8	48.293	0.551	0.809	20000.0
39	116.338	70.848	22.937	48.29	0.555	0.809	30000.0
40	116.871	70.923	22.715	48.235	0.554	0.807	20000.0
41	116.321	70.957	22.758	48.189	0.559	0.81	20000.0
42	116.658	71.359	22.76	48.337	0.563	0.809	30000.0
43	117.324	71.51	23.173	48.876	0.562	0.803	30000.0
44	116.856	70.922	22.856	48.257	0.555	0.808	40000.0
45	115.201	69.577	21.082	46.708	0.565	0.808	50000.0
46	117.781	71.161	23.306	48.481	0.557	0.807	20000.0
47	117.588	71.423	22.999	48.467	0.555	0.808	20000.0
48	117.627	71.955	23.192	49.081	0.564	0.801	20000.0
49	116.314	70.654	22.931	48.082	0.557	0.808	30000.0
50	117.661	71.313	22.943	48.198	0.558	0.809	20000.0
51	114.746	69.342	21.248	46.578	0.563	0.807	30000.0
52	117.575	71.354	22.943	48.617	0.558	0.807	20000.0
53	114.755	69.216	21.042	46.275	0.562	0.81	20000.0
54	117.454	71.26	23.126	48.719	0.558	0.802	30000.0
55	117.594	71.234	23.293	48.568	0.556	0.809	20000.0
56	117.143	71.215	23.063	48.615	0.556	0.806	30000.0
57	115.0	69.181	21.071	46.402	0.559	0.81	20000.0
58	115.285	69.335	21.181	46.688	0.564	0.806	30000.0
59	116.688	70.742	22.854	48.116	0.556	0.81	20000.0
60	117.811	71.656	23.102	48.537	0.563	0.807	50000.0
61	116.736	71.215	23.07	48.715	0.556	0.804	20000.0
62	116.444	70.75	22.835	48.131	0.549	0.812	20000.0
63	114.147	68.94	21.052	46.096	0.558	0.813	20000.0
64	113.879	68.864	20.717	46.082	0.555	0.811	50000.0
65	114.865	69.46	21.188	46.779	0.565	0.806	40000.0
66	117.038	71.426	23.033	48.574	0.563	0.804	30000.0
67	115.593	69.237	21.284	46.435	0.561	0.81	40000.0
68	117.588	71.49	22.986	48.552	0.56	0.806	20000.0
69	115.944	69.419	21.246	46.43	0.56	0.81	30000.0
70	116.709	71.452	22.863	48.432	0.565	0.806	30000.0
71	114.9	69.155	21.139	46.265	0.561	0.81	20000.0
72	114.908	69.319	21.294	46.564	0.562	0.808	30000.0
73	116.88	70.97	22.865	48.352	0.555	0.808	30000.0
74	117.717	71.674	23.401	48.815	0.564	0.804	30000.0
75	115.546	69.399	21.28	46.488	0.556	0.809	30000.0
