Samples	SBS96A	SBS96B	SBS96C
TCGA-2F-A9KO-01A-11D-A38G-08	474	27	36
TCGA-2F-A9KP-01A-11D-A38G-08	43	69	22
TCGA-2F-A9KQ-01A-11D-A38G-08	12	48	1
TCGA-2F-A9KR-01A-11D-A38G-08	113	21	80
TCGA-2F-A9KT-01A-11D-A38G-08	229	40	60
TCGA-2F-A9KW-01A-11D-A38G-08	18	76	14
TCGA-4Z-AA7M-01A-11D-A391-08	347	104	31
TCGA-4Z-AA7N-01A-11D-A391-08	5	8	4
TCGA-4Z-AA7O-01A-31D-A391-08	77	96	26
TCGA-4Z-AA7Q-01A-11D-A391-08	169	73	0
TCGA-4Z-AA7R-01A-11D-A391-08	239	37	70
TCGA-4Z-AA7S-01A-11D-A391-08	0	51	7
TCGA-4Z-AA7W-01A-11D-A391-08	473	16	14
TCGA-4Z-AA7Y-01A-11D-A391-08	202	16	55
TCGA-4Z-AA80-01A-11D-A391-08	205	112	88
TCGA-4Z-AA81-01A-11D-A391-08	120	21	59
TCGA-4Z-AA82-01A-11D-A391-08	33	65	12
TCGA-4Z-AA83-01A-11D-A391-08	24	47	11
TCGA-4Z-AA84-01A-11D-A391-08	142	94	246
TCGA-4Z-AA86-01A-11D-A391-08	170	26	15
TCGA-4Z-AA87-01A-11D-A391-08	116	94	15
TCGA-4Z-AA89-01A-11D-A391-08	87	34	6
TCGA-5N-A9KI-01A-31D-A42E-08	60	68	52
TCGA-5N-A9KM-01A-11D-A42E-08	21	205	0
TCGA-BL-A0C8-01A-11D-A271-08	36	88	11
TCGA-BL-A13I-01A-11D-A271-08	58	66	0
TCGA-BL-A13J-01A-11D-A271-08	49	50	0
TCGA-BL-A3JM-01A-12D-A21A-08	79	103	11
TCGA-BL-A5ZZ-01A-31D-A30E-08	41	87	20
TCGA-BT-A0S7-01A-11D-A10S-08	0	40	0
TCGA-BT-A0YX-01A-11D-A10S-08	503	0	91
TCGA-BT-A20J-01A-11D-A14W-08	305	15	120
TCGA-BT-A20N-01A-11D-A14W-08	96	153	0
TCGA-BT-A20O-01A-21D-A14W-08	77	99	0
