NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	111.835	65.412	19.544	43.53	0.508	0.835	40000.0
2	111.229	65.349	19.221	43.176	0.507	0.84	20000.0
3	111.956	65.483	19.56	43.541	0.512	0.835	20000.0
4	111.785	65.31	19.405	43.478	0.508	0.837	30000.0
5	111.236	65.318	19.123	43.164	0.509	0.839	20000.0
6	111.94	65.705	19.431	43.326	0.507	0.84	30000.0
7	112.519	66.048	19.559	43.9	0.512	0.831	20000.0
8	111.96	65.59	19.425	43.475	0.508	0.838	20000.0
9	111.675	65.338	19.317	43.429	0.509	0.835	20000.0
10	110.44	65.042	19.253	43.264	0.505	0.837	20000.0
11	110.59	65.037	19.252	43.273	0.506	0.836	30000.0
12	112.029	65.807	19.506	43.781	0.514	0.835	20000.0
13	111.574	65.364	19.422	43.421	0.508	0.838	20000.0
14	111.268	65.424	19.246	43.335	0.51	0.837	20000.0
15	112.109	65.746	19.482	43.552	0.509	0.836	30000.0
16	122.183	66.541	23.993	46.244	0.503	0.822	40000.0
17	112.112	65.39	19.458	43.352	0.507	0.838	40000.0
18	111.609	65.692	19.382	43.608	0.512	0.836	30000.0
19	111.16	65.688	19.315	43.576	0.513	0.835	20000.0
20	111.003	65.687	19.142	43.656	0.512	0.832	20000.0
21	111.596	65.509	19.263	43.069	0.509	0.84	20000.0
22	111.625	65.72	19.351	43.434	0.512	0.836	50000.0
23	111.936	65.533	19.389	43.566	0.51	0.835	20000.0
24	111.597	65.083	19.439	43.349	0.506	0.837	30000.0
25	110.663	64.924	19.073	42.857	0.507	0.84	30000.0
26	111.603	65.537	19.309	43.559	0.51	0.834	40000.0
27	111.865	65.457	19.452	43.274	0.51	0.839	20000.0
28	111.973	65.448	19.357	43.389	0.51	0.835	70000.0
29	111.629	65.962	19.32	43.856	0.512	0.831	60000.0
30	111.72	65.029	19.53	43.195	0.504	0.839	40000.0
31	112.802	65.941	19.713	43.795	0.513	0.835	40000.0
32	119.752	65.532	23.526	45.472	0.495	0.829	30000.0
33	113.414	66.186	19.935	44.0	0.518	0.832	40000.0
34	111.042	64.93	19.296	43.104	0.505	0.838	30000.0
35	112.37	66.113	19.509	43.637	0.512	0.835	20000.0
36	111.586	65.604	19.351	43.451	0.513	0.833	20000.0
37	111.794	65.499	19.414	43.423	0.507	0.838	30000.0
38	110.942	65.234	19.314	43.293	0.507	0.836	20000.0
39	121.458	65.772	23.849	45.774	0.496	0.826	30000.0
40	112.67	65.964	19.594	43.785	0.513	0.834	30000.0
41	111.563	65.63	19.357	43.673	0.511	0.834	30000.0
42	111.652	65.463	19.365	43.518	0.507	0.836	20000.0
43	121.32	65.607	23.554	45.203	0.491	0.832	30000.0
44	112.105	65.615	19.421	43.448	0.511	0.835	40000.0
45	110.55	64.919	18.966	42.907	0.503	0.839	20000.0
46	111.522	65.523	19.307	43.693	0.51	0.835	20000.0
47	112.564	65.455	19.719	43.554	0.507	0.837	30000.0
48	111.222	65.251	19.39	43.415	0.51	0.835	20000.0
49	111.466	65.506	19.192	43.32	0.512	0.835	40000.0
50	112.673	65.75	19.703	43.76	0.507	0.833	20000.0
51	112.016	65.56	19.43	43.56	0.511	0.835	20000.0
52	111.546	65.835	19.4	43.774	0.511	0.833	30000.0
53	120.859	65.034	23.771	45.296	0.489	0.833	30000.0
54	111.606	65.241	19.253	43.192	0.506	0.837	40000.0
55	111.171	65.321	19.29	43.425	0.507	0.834	40000.0
56	112.444	65.782	19.643	43.932	0.509	0.834	20000.0
57	112.902	66.177	19.529	43.913	0.513	0.833	20000.0
58	112.157	65.847	19.488	43.737	0.51	0.835	50000.0
59	111.445	65.246	19.232	43.287	0.506	0.837	20000.0
60	120.456	64.971	23.756	45.208	0.486	0.834	30000.0
61	111.536	65.523	19.247	43.464	0.511	0.835	20000.0
62	110.808	65.441	19.105	43.298	0.51	0.836	30000.0
63	112.113	65.717	19.411	43.47	0.511	0.837	20000.0
64	112.483	65.612	19.803	43.712	0.508	0.835	40000.0
65	110.989	65.423	19.189	43.47	0.506	0.834	40000.0
66	110.86	65.035	19.147	43.024	0.505	0.838	40000.0
67	111.597	65.259	19.464	43.535	0.509	0.835	30000.0
68	111.447	65.33	19.293	43.429	0.509	0.837	20000.0
69	111.28	65.64	19.315	43.758	0.515	0.835	20000.0
70	110.499	64.894	19.086	43.061	0.503	0.84	20000.0
71	110.803	65.11	19.283	43.366	0.507	0.835	20000.0
72	111.77	65.52	19.473	43.389	0.509	0.838	20000.0
73	111.43	65.391	19.366	43.551	0.511	0.835	30000.0
74	111.671	65.644	19.461	43.658	0.514	0.834	20000.0
75	110.998	64.966	19.132	43.073	0.504	0.84	30000.0
76	111.594	65.552	19.13	43.354	0.512	0.837	20000.0
77	112.12	65.884	19.477	43.985	0.516	0.831	30000.0
78	111.5	65.355	19.328	43.48	0.512	0.833	20000.0
