NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	154.982	67.834	31.59	48.11	0.516	0.801	20000.0
2	155.203	67.536	31.905	48.051	0.513	0.804	30000.0
3	154.099	67.395	31.71	47.797	0.511	0.805	20000.0
4	153.342	67.304	31.401	47.733	0.514	0.804	20000.0
5	153.644	67.122	31.452	47.661	0.512	0.807	20000.0
6	153.965	67.556	31.423	47.917	0.514	0.804	30000.0
7	154.167	67.609	31.69	48.064	0.512	0.804	50000.0
8	155.946	68.294	31.766	48.324	0.519	0.8	20000.0
9	154.045	67.285	31.667	47.943	0.514	0.802	40000.0
10	154.695	67.456	31.747	47.918	0.511	0.805	20000.0
11	155.052	67.855	31.966	48.241	0.516	0.801	20000.0
12	154.25	67.337	31.692	47.949	0.512	0.805	20000.0
13	154.253	67.595	31.328	47.99	0.516	0.803	20000.0
14	154.182	67.496	31.25	47.796	0.515	0.805	20000.0
15	154.926	67.644	31.959	48.41	0.512	0.801	30000.0
16	154.887	67.409	31.848	47.901	0.51	0.805	20000.0
17	155.308	67.767	31.901	48.214	0.515	0.8	40000.0
18	155.431	67.626	31.852	48.012	0.515	0.804	20000.0
19	154.702	67.449	31.736	47.952	0.518	0.804	40000.0
20	155.256	68.032	31.723	48.156	0.521	0.802	20000.0
21	154.592	67.296	31.732	47.827	0.512	0.805	20000.0
22	153.339	67.116	31.376	47.74	0.514	0.806	20000.0
23	154.495	67.428	31.617	47.845	0.511	0.806	30000.0
24	154.174	67.464	31.614	47.777	0.519	0.805	30000.0
25	154.777	67.581	31.969	48.194	0.513	0.802	40000.0
26	153.476	67.327	31.39	47.812	0.513	0.804	40000.0
27	153.984	67.569	31.629	47.959	0.519	0.803	20000.0
28	154.792	67.715	31.732	48.367	0.515	0.8	20000.0
29	154.023	67.22	31.561	47.709	0.513	0.806	20000.0
30	154.928	67.82	31.781	48.159	0.521	0.8	50000.0
31	155.732	67.525	32.284	48.255	0.511	0.803	30000.0
32	155.039	67.738	31.807	48.137	0.515	0.804	30000.0
33	154.509	67.604	31.864	48.007	0.515	0.805	20000.0
34	153.67	67.073	31.535	47.559	0.51	0.807	20000.0
35	153.683	67.436	31.556	47.975	0.518	0.804	20000.0
36	154.581	67.446	31.427	47.651	0.512	0.806	40000.0
37	153.788	67.453	31.461	47.784	0.519	0.804	20000.0
38	153.662	67.213	31.485	47.775	0.512	0.804	20000.0
39	155.61	67.628	32.006	48.088	0.515	0.803	30000.0
40	153.651	67.326	31.271	47.679	0.51	0.808	20000.0
41	154.559	67.365	31.536	47.71	0.513	0.807	20000.0
42	155.839	67.718	31.842	48.135	0.515	0.803	30000.0
43	154.746	67.354	31.527	47.772	0.508	0.807	20000.0
44	154.056	67.142	31.696	47.753	0.509	0.806	20000.0
45	154.537	67.761	31.677	48.02	0.517	0.804	20000.0
46	154.111	67.199	31.621	47.933	0.506	0.806	20000.0
47	154.011	67.233	31.153	47.54	0.514	0.806	20000.0
48	154.357	67.556	31.596	47.988	0.517	0.802	30000.0
49	154.477	67.947	31.551	48.256	0.518	0.801	20000.0
50	152.991	67.086	31.101	47.83	0.512	0.804	20000.0
51	154.095	67.245	31.646	47.818	0.508	0.807	20000.0
52	153.931	66.945	31.415	47.517	0.508	0.808	20000.0
53	155.008	67.833	31.951	48.278	0.513	0.804	30000.0
54	154.391	67.457	31.376	48.043	0.511	0.804	20000.0
55	154.227	67.402	31.474	47.94	0.514	0.804	40000.0
56	153.822	67.194	31.385	47.529	0.514	0.807	40000.0
57	153.24	67.256	31.42	47.679	0.515	0.805	30000.0
58	155.554	67.817	32.025	48.323	0.515	0.803	40000.0
59	153.307	67.174	31.47	47.765	0.516	0.804	20000.0
60	155.033	67.609	31.816	48.077	0.516	0.802	30000.0
61	154.707	67.909	31.597	48.228	0.516	0.801	30000.0
62	153.388	67.121	31.488	47.591	0.514	0.808	40000.0
63	153.542	66.99	31.443	47.52	0.506	0.807	30000.0
64	154.796	67.662	31.695	47.937	0.516	0.804	20000.0
65	153.725	67.615	31.198	47.953	0.515	0.803	30000.0
66	153.278	67.378	31.485	47.982	0.514	0.802	20000.0
67	154.224	67.555	31.342	47.679	0.516	0.805	40000.0
68	154.216	67.585	31.572	48.075	0.512	0.804	20000.0
69	153.572	67.493	31.479	47.99	0.511	0.804	20000.0
70	154.577	67.824	31.538	48.201	0.518	0.802	30000.0
71	153.955	67.325	31.335	47.632	0.51	0.807	30000.0
72	153.608	67.45	31.35	47.921	0.512	0.805	30000.0
73	154.602	67.773	31.698	48.24	0.517	0.801	20000.0
74	153.827	66.958	31.354	47.609	0.51	0.807	30000.0
75	155.069	67.877	31.594	48.072	0.519	0.803	30000.0
76	154.762	67.571	31.841	48.118	0.509	0.804	20000.0
77	154.843	67.678	31.51	48.017	0.517	0.803	20000.0
78	154.481	67.164	31.58	47.792	0.51	0.805	20000.0
79	154.008	67.399	31.463	47.84	0.516	0.805	30000.0
80	154.809	67.591	31.623	48.073	0.518	0.801	30000.0
81	154.404	67.648	31.617	47.932	0.513	0.805	20000.0
82	154.82	67.75	31.743	48.008	0.517	0.803	20000.0
83	154.158	67.689	31.391	47.836	0.514	0.804	20000.0
84	154.652	67.898	31.575	48.187	0.519	0.8	20000.0
85	153.925	67.196	31.454	47.635	0.509	0.805	20000.0
86	154.239	67.26	31.481	47.978	0.514	0.803	20000.0
87	154.605	67.545	31.851	48.207	0.517	0.801	20000.0
88	153.333	67.145	31.259	47.836	0.511	0.803	20000.0
89	154.566	67.426	31.701	47.928	0.507	0.806	20000.0
90	154.08	67.76	31.396	48.008	0.519	0.802	30000.0
91	154.796	67.636	31.871	48.083	0.515	0.805	20000.0
92	155.229	67.792	31.892	48.184	0.515	0.803	40000.0
93	153.628	67.388	31.259	47.833	0.517	0.803	20000.0
94	153.879	67.458	31.454	47.998	0.513	0.802	40000.0
95	154.211	67.726	31.569	48.212	0.519	0.801	30000.0
96	154.71	67.402	31.572	47.862	0.513	0.805	20000.0
97	154.127	67.46	31.659	47.97	0.514	0.804	40000.0
98	153.945	67.134	31.618	47.837	0.51	0.804	20000.0
