NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	22.977	111.511	5.529	69.761	1.283	0.634	20000.0
2	24.037	115.649	5.914	72.768	1.284	0.601	40000.0
3	23.686	115.995	5.853	72.782	1.287	0.598	30000.0
4	23.547	113.737	5.801	71.541	1.26	0.62	20000.0
5	23.783	114.751	5.879	72.378	1.264	0.608	20000.0
6	23.928	117.035	5.865	73.308	1.3	0.597	30000.0
7	23.374	112.614	5.706	70.763	1.289	0.626	30000.0
8	23.502	113.971	5.887	72.073	1.273	0.613	40000.0
9	23.806	115.549	5.91	72.83	1.269	0.603	20000.0
10	23.801	116.346	5.943	72.917	1.297	0.599	20000.0
11	23.774	116.258	5.9	72.49	1.286	0.608	30000.0
12	23.784	115.787	5.858	72.634	1.289	0.603	30000.0
13	24.063	117.15	5.874	72.947	1.307	0.603	20000.0
14	23.273	111.462	5.627	70.026	1.333	0.634	30000.0
15	24.1	116.805	5.945	72.931	1.302	0.603	20000.0
16	24.157	117.024	5.952	73.171	1.303	0.593	20000.0
17	23.657	114.614	5.905	72.142	1.271	0.613	60000.0
18	23.563	114.418	5.718	71.728	1.299	0.609	20000.0
19	23.963	117.14	5.901	73.207	1.29	0.592	50000.0
20	23.931	116.188	5.897	72.875	1.296	0.597	20000.0
21	23.718	116.873	5.831	72.678	1.309	0.597	40000.0
22	23.233	112.305	5.614	69.642	1.307	0.629	20000.0
23	24.094	117.861	5.892	73.319	1.318	0.596	60000.0
24	23.645	114.893	5.828	72.26	1.279	0.607	20000.0
25	24.423	116.74	5.985	73.137	1.287	0.601	40000.0
26	23.889	115.17	5.887	72.795	1.31	0.598	30000.0
27	23.634	115.702	5.825	72.123	1.292	0.61	50000.0
28	23.219	112.487	5.635	70.905	1.293	0.629	20000.0
29	24.271	117.933	6.016	73.253	1.318	0.592	20000.0
30	23.556	115.247	5.757	72.503	1.29	0.6	20000.0
31	23.897	116.571	5.934	72.56	1.299	0.604	30000.0
32	23.451	113.244	5.723	71.182	1.309	0.619	50000.0
33	22.975	111.699	5.547	69.613	1.302	0.629	50000.0
34	23.958	117.34	5.847	73.52	1.317	0.588	20000.0
35	24.131	116.712	5.956	73.055	1.295	0.596	30000.0
36	23.451	115.708	5.768	72.184	1.301	0.609	20000.0
37	23.797	116.047	5.843	72.774	1.282	0.604	30000.0
38	23.78	115.421	5.982	72.51	1.278	0.608	20000.0
39	23.256	113.271	5.601	70.821	1.313	0.619	20000.0
40	24.219	117.114	6.021	73.564	1.3	0.593	20000.0
41	23.605	115.207	5.841	72.455	1.276	0.603	20000.0
