NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	19.742	117.011	5.179	73.285	1.288	0.601	20000.0
2	19.418	116.315	5.096	72.766	1.285	0.602	20000.0
3	19.236	113.885	4.998	71.263	1.338	0.615	40000.0
4	19.39	113.801	5.092	71.794	1.263	0.622	30000.0
5	19.953	116.687	5.188	73.131	1.292	0.606	40000.0
6	19.863	117.518	5.188	73.527	1.318	0.599	20000.0
7	19.57	115.192	5.151	72.875	1.266	0.606	40000.0
8	19.551	116.49	5.127	72.667	1.307	0.605	30000.0
9	19.439	116.264	5.079	72.631	1.319	0.603	20000.0
10	19.469	115.835	5.174	72.537	1.297	0.607	40000.0
11	19.183	114.377	4.962	72.083	1.294	0.61	30000.0
12	19.821	118.197	5.148	73.575	1.3	0.596	40000.0
13	18.714	109.794	4.777	69.003	1.262	0.638	30000.0
14	19.567	115.214	5.166	72.689	1.283	0.604	20000.0
15	19.201	112.678	4.9	70.617	1.27	0.627	40000.0
16	19.219	114.304	5.019	72.032	1.292	0.613	30000.0
17	18.951	112.653	4.986	71.232	1.309	0.616	20000.0
18	18.574	109.614	4.722	69.416	1.309	0.633	20000.0
19	19.421	115.696	5.09	72.597	1.273	0.609	20000.0
20	19.659	115.062	5.109	72.776	1.288	0.604	20000.0
21	19.588	115.111	5.126	72.793	1.285	0.609	30000.0
22	19.856	116.883	5.158	73.254	1.284	0.607	20000.0
23	19.637	116.8	5.117	73.383	1.311	0.596	20000.0
24	19.432	114.255	5.05	72.019	1.282	0.62	30000.0
25	19.467	116.1	5.151	73.332	1.274	0.6	40000.0
26	19.422	115.88	5.111	73.118	1.275	0.605	40000.0
27	20.191	118.813	5.222	73.63	1.303	0.597	20000.0
28	19.519	116.254	5.104	72.487	1.307	0.607	30000.0
29	19.585	116.976	5.114	72.905	1.293	0.604	20000.0
30	18.558	108.375	4.732	68.335	1.265	0.647	30000.0
31	19.124	115.262	4.944	71.977	1.291	0.611	40000.0
32	19.203	113.841	5.024	71.473	1.269	0.625	20000.0
33	19.882	116.851	5.2	73.438	1.291	0.603	20000.0
34	18.955	111.059	4.855	69.983	1.286	0.629	30000.0
35	18.524	109.418	4.788	68.886	1.268	0.641	20000.0
36	19.978	117.884	5.288	73.839	1.299	0.597	20000.0
37	19.34	115.404	5.072	72.649	1.278	0.607	30000.0
38	19.401	115.657	5.115	72.964	1.311	0.604	40000.0
