NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	7.343	131.704	2.584	80.495	1.504	0.548	20000.0
2	7.319	132.194	2.581	80.2	1.536	0.542	30000.0
3	7.076	127.374	2.489	77.497	1.453	0.579	40000.0
4	7.16	128.734	2.473	77.609	1.539	0.559	40000.0
5	7.522	136.633	2.601	81.752	1.54	0.525	30000.0
6	7.38	132.242	2.559	80.25	1.542	0.533	30000.0
7	7.353	133.026	2.542	79.995	1.558	0.539	30000.0
8	7.142	127.617	2.473	78.184	1.525	0.56	20000.0
9	7.078	127.634	2.446	77.67	1.504	0.567	40000.0
10	7.464	134.948	2.556	80.829	1.59	0.525	30000.0
11	7.227	127.922	2.48	78.615	1.538	0.554	30000.0
12	7.336	129.286	2.531	78.683	1.472	0.565	20000.0
13	7.466	131.557	2.605	79.676	1.542	0.552	20000.0
14	7.207	130.973	2.508	80.188	1.552	0.543	40000.0
15	7.127	127.612	2.507	78.061	1.502	0.569	20000.0
16	7.471	130.779	2.538	79.178	1.515	0.553	30000.0
17	7.207	128.53	2.527	77.794	1.493	0.567	50000.0
18	7.391	131.107	2.593	79.826	1.541	0.543	50000.0
19	7.652	134.333	2.601	80.779	1.55	0.539	20000.0
20	7.204	129.808	2.505	79.089	1.534	0.546	30000.0
21	7.298	130.31	2.527	79.483	1.529	0.542	30000.0
22	7.277	127.574	2.548	78.118	1.477	0.566	20000.0
23	7.368	132.29	2.565	80.654	1.513	0.537	20000.0
24	7.13	127.434	2.455	77.505	1.523	0.564	30000.0
25	7.195	126.342	2.499	77.072	1.489	0.564	20000.0
26	7.217	129.095	2.49	77.974	1.518	0.561	30000.0
27	7.354	130.279	2.527	79.277	1.5	0.552	30000.0
28	7.376	132.209	2.561	80.504	1.52	0.541	50000.0
29	7.224	129.558	2.506	79.041	1.539	0.549	40000.0
30	7.245	129.97	2.541	79.007	1.474	0.555	20000.0
31	7.47	132.866	2.591	80.258	1.548	0.545	20000.0
32	7.1	129.204	2.455	77.774	1.491	0.551	20000.0
33	7.236	129.61	2.504	79.514	1.526	0.552	20000.0
34	7.164	129.49	2.499	78.89	1.475	0.56	20000.0
35	7.073	128.098	2.484	77.616	1.5	0.567	20000.0
36	7.174	128.176	2.495	78.266	1.513	0.569	30000.0
37	7.193	129.991	2.503	79.059	1.515	0.544	20000.0
38	7.228	131.263	2.553	79.852	1.56	0.541	20000.0
39	7.224	129.451	2.484	79.099	1.511	0.553	20000.0
40	7.408	133.071	2.561	80.855	1.543	0.538	20000.0
41	7.35	131.63	2.572	79.833	1.49	0.55	30000.0
42	7.578	133.669	2.609	80.656	1.477	0.549	50000.0
43	7.257	129.379	2.532	78.77	1.507	0.565	20000.0
44	7.216	128.999	2.485	79.147	1.498	0.551	30000.0
45	7.545	135.014	2.649	81.679	1.57	0.528	40000.0
46	7.585	137.329	2.595	82.127	1.56	0.52	40000.0
47	7.461	133.719	2.574	81.182	1.539	0.528	20000.0
48	7.34	132.037	2.559	79.632	1.524	0.545	30000.0
49	7.327	130.064	2.533	79.108	1.512	0.557	20000.0
50	7.466	133.824	2.556	80.304	1.544	0.541	20000.0
51	7.148	127.256	2.485	76.958	1.52	0.567	30000.0
52	7.355	132.491	2.566	79.977	1.542	0.547	20000.0
53	7.365	133.608	2.548	80.688	1.524	0.532	20000.0
54	7.196	127.926	2.484	78.144	1.494	0.569	20000.0
55	7.222	129.283	2.498	78.776	1.486	0.56	20000.0
56	7.259	129.481	2.488	79.029	1.529	0.553	20000.0
57	7.355	132.023	2.549	80.091	1.536	0.543	20000.0
58	7.224	130.65	2.461	78.242	1.528	0.55	50000.0
59	7.455	134.786	2.597	80.615	1.569	0.531	20000.0
60	7.17	128.334	2.491	77.814	1.516	0.557	40000.0
61	7.349	130.143	2.524	78.971	1.496	0.554	20000.0
62	7.603	137.071	2.613	82.089	1.592	0.521	20000.0
63	7.217	127.96	2.483	78.133	1.54	0.559	20000.0
64	7.213	128.594	2.527	78.62	1.521	0.562	20000.0
65	7.292	130.307	2.525	79.301	1.513	0.551	30000.0
66	7.526	133.173	2.579	81.015	1.546	0.536	40000.0
67	7.1	128.879	2.466	77.848	1.542	0.561	20000.0
68	7.269	130.186	2.512	79.166	1.514	0.554	30000.0
69	6.919	124.611	2.417	76.388	1.474	0.568	20000.0
70	7.359	130.918	2.563	79.772	1.49	0.556	30000.0
71	7.203	129.543	2.49	78.048	1.515	0.569	20000.0
72	7.257	131.401	2.541	79.295	1.541	0.547	30000.0
73	7.279	130.484	2.51	78.369	1.534	0.562	30000.0
74	7.248	130.054	2.495	78.939	1.544	0.547	20000.0
75	7.382	132.705	2.595	79.967	1.515	0.549	50000.0
76	7.348	128.606	2.572	78.559	1.475	0.566	20000.0
77	7.295	130.88	2.532	78.75	1.529	0.552	20000.0
78	7.342	130.786	2.552	79.572	1.485	0.55	30000.0
79	7.199	127.933	2.496	78.466	1.507	0.562	30000.0
80	7.114	128.536	2.423	77.507	1.513	0.562	60000.0
81	7.075	127.048	2.467	77.519	1.489	0.563	20000.0
82	7.434	133.876	2.575	81.029	1.545	0.539	30000.0
83	7.305	130.843	2.515	79.064	1.543	0.549	20000.0
84	7.525	132.455	2.573	80.232	1.499	0.548	40000.0
85	7.16	127.425	2.492	77.5	1.487	0.574	30000.0
86	7.247	129.724	2.489	78.932	1.533	0.546	30000.0
87	7.463	131.474	2.554	80.267	1.509	0.542	30000.0
88	7.304	130.772	2.534	79.713	1.513	0.548	50000.0
89	7.559	136.224	2.611	81.849	1.607	0.519	20000.0
90	7.212	127.797	2.505	78.219	1.509	0.565	40000.0
91	7.4	131.893	2.543	80.796	1.544	0.543	30000.0
92	7.355	131.913	2.535	80.075	1.551	0.539	20000.0
93	7.072	130.148	2.459	78.504	1.55	0.548	30000.0
94	7.136	126.006	2.429	76.431	1.509	0.565	30000.0
95	7.265	130.868	2.539	78.972	1.521	0.553	20000.0
96	7.174	128.443	2.489	78.153	1.473	0.574	20000.0
97	7.396	130.525	2.551	78.99	1.538	0.548	30000.0
98	7.197	129.917	2.479	79.127	1.491	0.551	50000.0
99	7.574	133.704	2.581	80.309	1.512	0.545	20000.0
100	7.2	128.84	2.502	78.768	1.471	0.557	20000.0
