NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	43.432	117.89	10.145	77.37	1.441	0.563	30000.0
2	43.374	118.141	10.012	76.808	1.437	0.566	50000.0
3	43.526	118.167	10.068	77.077	1.448	0.565	20000.0
4	43.961	119.374	10.17	77.599	1.462	0.557	20000.0
5	43.764	118.454	10.106	77.244	1.456	0.563	30000.0
6	43.524	118.471	10.044	77.111	1.446	0.565	20000.0
7	43.392	118.039	9.94	76.726	1.446	0.565	20000.0
8	43.846	119.134	10.09	77.145	1.462	0.561	20000.0
9	43.614	118.403	10.113	77.381	1.43	0.559	40000.0
10	43.231	117.659	10.05	76.89	1.444	0.563	40000.0
11	44.051	118.503	10.215	77.282	1.443	0.563	30000.0
12	43.525	118.328	10.046	77.2	1.461	0.564	40000.0
13	43.529	118.276	10.166	77.508	1.449	0.562	20000.0
14	44.005	119.476	10.233	77.709	1.465	0.558	30000.0
15	44.02	119.174	10.228	77.595	1.468	0.558	20000.0
16	43.847	118.733	10.15	77.645	1.457	0.557	20000.0
17	43.378	117.906	10.13	77.299	1.461	0.562	20000.0
18	43.815	118.857	10.19	77.512	1.447	0.562	20000.0
19	43.569	118.088	10.098	77.072	1.439	0.566	20000.0
20	43.773	119.113	10.023	77.539	1.466	0.557	20000.0
21	43.474	118.467	10.099	77.281	1.456	0.561	20000.0
22	43.63	117.74	10.065	77.198	1.428	0.566	30000.0
23	43.983	119.268	10.087	77.795	1.467	0.554	20000.0
24	43.938	118.589	10.165	77.422	1.457	0.562	20000.0
25	43.761	118.307	10.128	77.245	1.449	0.562	30000.0
26	43.851	118.307	10.183	77.317	1.445	0.562	30000.0
27	43.733	118.068	10.221	77.446	1.447	0.563	30000.0
28	43.163	117.689	9.983	76.931	1.425	0.567	20000.0
29	43.592	118.453	10.076	77.01	1.443	0.565	20000.0
30	43.667	118.201	10.064	77.065	1.442	0.566	20000.0
31	43.359	118.07	10.0	76.901	1.432	0.567	40000.0
32	43.526	117.683	10.114	77.086	1.445	0.565	20000.0
33	43.775	119.056	10.165	77.609	1.452	0.559	30000.0
34	43.089	116.767	10.09	76.874	1.436	0.568	20000.0
35	43.616	118.536	10.009	77.063	1.445	0.562	20000.0
36	43.559	118.232	10.035	77.028	1.448	0.565	20000.0
37	43.427	117.937	10.009	76.781	1.435	0.572	20000.0
38	44.18	119.483	10.176	77.776	1.463	0.553	20000.0
39	43.577	118.736	10.065	77.546	1.46	0.559	20000.0
40	43.09	117.042	9.918	76.403	1.413	0.574	20000.0
41	43.22	117.146	10.001	76.481	1.425	0.572	20000.0
42	43.975	118.743	10.178	77.645	1.452	0.556	30000.0
43	43.48	118.101	10.033	77.171	1.454	0.562	20000.0
44	43.291	117.52	10.05	77.058	1.448	0.565	20000.0
45	43.423	117.781	10.127	77.181	1.438	0.566	30000.0
46	43.866	118.67	10.235	77.726	1.452	0.557	20000.0
47	43.389	117.855	10.08	76.831	1.448	0.566	30000.0
48	43.813	118.091	10.173	77.329	1.423	0.564	40000.0
49	43.67	118.107	10.189	77.317	1.446	0.562	40000.0
50	43.587	117.841	10.118	77.071	1.447	0.565	20000.0
51	43.338	117.987	10.017	77.002	1.45	0.565	30000.0
52	43.795	119.005	10.167	77.742	1.474	0.554	30000.0
53	43.5	118.385	10.044	77.028	1.444	0.566	20000.0
54	43.47	118.536	10.137	77.586	1.462	0.556	20000.0
55	43.51	118.46	10.128	77.433	1.472	0.56	20000.0
56	43.697	118.548	10.049	77.111	1.457	0.564	20000.0
57	43.161	117.51	9.957	76.951	1.436	0.564	20000.0
58	43.651	118.396	10.028	77.238	1.444	0.565	30000.0
59	43.691	118.061	10.102	77.073	1.432	0.568	20000.0
60	43.46	118.231	10.096	77.106	1.442	0.563	20000.0
61	43.409	117.39	9.939	76.505	1.427	0.572	30000.0
62	43.439	117.749	10.023	76.846	1.43	0.569	40000.0
63	43.694	119.02	9.935	77.447	1.458	0.556	20000.0
64	43.362	117.872	10.176	77.339	1.442	0.562	20000.0
65	43.773	118.395	10.254	77.674	1.45	0.559	20000.0
66	43.688	118.339	10.231	77.374	1.441	0.564	20000.0
67	43.763	119.026	10.167	77.579	1.472	0.556	20000.0
68	43.673	118.932	10.058	77.294	1.458	0.56	20000.0
69	43.417	118.239	10.027	77.192	1.446	0.563	20000.0
70	43.588	118.91	10.049	77.294	1.454	0.557	30000.0
71	43.718	118.761	9.974	77.473	1.455	0.558	20000.0
72	43.683	118.653	10.099	77.421	1.468	0.56	20000.0
