NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	31.221	115.68	7.659	72.743	1.304	0.599	30000.0
2	31.481	115.568	7.666	72.225	1.293	0.602	30000.0
3	31.396	117.05	7.555	72.843	1.334	0.598	30000.0
4	31.624	116.956	7.653	73.064	1.329	0.589	30000.0
5	31.66	117.866	7.601	73.186	1.341	0.587	20000.0
6	31.177	116.686	7.54	72.726	1.325	0.595	30000.0
7	30.135	113.472	7.014	70.14	1.349	0.612	20000.0
8	30.172	112.935	7.077	69.898	1.326	0.618	30000.0
9	31.399	116.131	7.612	72.576	1.318	0.595	20000.0
10	31.687	117.114	7.7	72.741	1.333	0.594	30000.0
11	30.117	114.064	7.135	70.743	1.359	0.602	20000.0
12	29.894	112.78	7.038	69.606	1.338	0.615	20000.0
13	31.576	116.6	7.675	73.078	1.313	0.592	30000.0
14	31.124	116.011	7.647	72.887	1.321	0.591	30000.0
15	30.404	113.768	7.116	70.109	1.345	0.614	30000.0
16	31.097	115.737	7.532	71.906	1.324	0.599	20000.0
17	31.201	116.616	7.459	72.486	1.339	0.6	20000.0
18	31.405	117.172	7.594	72.787	1.339	0.593	20000.0
19	31.429	116.22	7.625	72.482	1.317	0.597	20000.0
20	31.421	117.722	7.608	73.321	1.341	0.587	20000.0
21	31.134	116.266	7.618	72.393	1.317	0.597	20000.0
22	31.171	116.376	7.65	73.082	1.317	0.591	20000.0
23	31.174	116.704	7.57	72.593	1.331	0.596	30000.0
24	31.22	116.399	7.53	72.657	1.332	0.599	40000.0
25	30.888	116.131	7.436	72.322	1.321	0.599	20000.0
26	30.346	113.826	7.319	71.386	1.284	0.611	30000.0
27	30.456	114.629	7.194	71.125	1.34	0.604	20000.0
28	31.253	116.16	7.598	72.598	1.316	0.594	40000.0
29	31.265	115.686	7.58	72.525	1.3	0.598	30000.0
30	31.401	116.852	7.613	72.817	1.322	0.592	20000.0
31	30.016	112.989	7.039	69.727	1.337	0.617	40000.0
32	31.198	116.142	7.505	72.234	1.337	0.602	20000.0
33	31.167	115.994	7.567	72.48	1.299	0.601	20000.0
34	31.334	116.649	7.563	72.643	1.321	0.596	30000.0
35	31.336	117.265	7.642	73.081	1.346	0.582	30000.0
36	29.988	113.077	7.055	69.849	1.337	0.613	60000.0
37	31.648	117.305	7.719	73.369	1.337	0.585	20000.0
38	30.766	114.58	7.26	71.066	1.368	0.606	30000.0
39	31.519	117.082	7.656	72.932	1.324	0.592	30000.0
40	31.342	116.341	7.642	72.697	1.307	0.593	20000.0
41	31.133	116.546	7.519	72.219	1.318	0.596	20000.0
42	31.336	117.283	7.509	72.815	1.352	0.59	20000.0
43	30.496	114.27	7.198	70.756	1.335	0.611	30000.0
44	30.334	114.178	7.123	70.748	1.344	0.606	20000.0
45	30.561	115.919	7.36	72.279	1.334	0.592	30000.0
46	31.528	117.219	7.601	72.97	1.33	0.59	40000.0
47	30.976	115.993	7.438	72.394	1.323	0.594	20000.0
48	29.833	112.438	6.968	69.301	1.33	0.62	20000.0
49	31.524	116.894	7.643	72.948	1.324	0.595	30000.0
50	31.224	116.053	7.61	72.637	1.305	0.599	30000.0
51	30.251	113.629	7.061	70.278	1.34	0.614	20000.0
52	30.078	113.216	7.059	69.572	1.35	0.619	40000.0
53	31.205	116.951	7.586	73.069	1.331	0.583	30000.0
54	30.196	113.089	7.073	69.595	1.325	0.621	30000.0
55	31.306	117.102	7.543	72.962	1.335	0.593	20000.0
56	31.258	116.624	7.472	72.6	1.329	0.599	40000.0
57	31.583	117.05	7.61	73.099	1.336	0.591	30000.0
58	31.334	116.886	7.499	72.713	1.332	0.593	30000.0
59	30.214	113.399	7.06	69.72	1.351	0.619	20000.0
60	30.112	113.679	7.041	70.254	1.342	0.612	30000.0
61	31.513	116.422	7.684	72.863	1.296	0.597	20000.0
62	29.954	112.83	7.062	69.895	1.341	0.62	50000.0
63	30.178	112.768	7.037	69.507	1.336	0.621	30000.0
64	31.106	115.957	7.44	72.428	1.321	0.6	40000.0
65	30.399	113.956	7.1	71.067	1.357	0.604	20000.0
66	30.851	116.396	7.502	72.706	1.334	0.591	20000.0
67	31.135	116.455	7.476	72.491	1.315	0.596	50000.0
68	29.601	112.11	6.845	68.778	1.323	0.629	20000.0
69	31.567	117.162	7.577	73.089	1.335	0.592	20000.0
70	30.947	115.351	7.542	72.417	1.311	0.6	20000.0
71	31.691	117.068	7.688	73.247	1.339	0.588	40000.0
72	31.385	116.482	7.613	72.327	1.315	0.601	20000.0
73	31.413	116.932	7.64	72.973	1.324	0.594	20000.0
74	31.058	116.073	7.548	72.486	1.328	0.596	20000.0
75	30.097	113.208	6.99	69.802	1.346	0.616	20000.0
76	30.751	113.949	7.388	69.96	1.32	0.622	20000.0
77	30.027	113.445	6.98	69.66	1.347	0.618	30000.0
78	31.32	115.9	7.665	72.379	1.305	0.596	20000.0
79	31.422	117.176	7.53	72.535	1.335	0.599	30000.0
80	31.393	117.393	7.576	72.977	1.329	0.589	30000.0
81	29.94	112.941	6.951	69.603	1.34	0.621	30000.0
82	31.447	117.098	7.587	72.853	1.33	0.595	20000.0
83	30.906	115.746	7.459	71.942	1.331	0.6	20000.0
84	31.255	117.172	7.524	72.733	1.338	0.593	40000.0
85	31.159	115.874	7.554	72.153	1.302	0.601	30000.0
86	30.069	113.187	7.001	70.038	1.343	0.613	50000.0
87	30.333	113.744	7.105	70.703	1.344	0.607	60000.0
88	31.213	116.68	7.585	72.635	1.316	0.595	20000.0
89	31.281	116.579	7.579	72.52	1.316	0.596	40000.0
90	31.418	117.569	7.622	73.479	1.333	0.585	20000.0
91	29.88	112.904	6.987	69.442	1.335	0.624	20000.0
92	31.189	116.472	7.613	72.632	1.335	0.597	20000.0
93	31.376	116.572	7.677	72.75	1.333	0.595	30000.0
94	31.403	116.295	7.507	72.847	1.323	0.591	20000.0
95	31.527	116.234	7.73	72.681	1.302	0.6	20000.0
96	31.57	116.89	7.66	72.852	1.321	0.597	20000.0
97	31.406	116.338	7.687	73.242	1.329	0.587	20000.0
98	31.032	117.462	7.477	72.675	1.329	0.593	30000.0
99	31.186	116.826	7.515	72.662	1.342	0.59	30000.0
100	31.006	116.154	7.486	72.471	1.309	0.599	20000.0
