NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	12.399	140.448	3.587	82.335	1.767	0.494	20000.0
2	12.347	139.128	3.589	82.507	1.784	0.507	30000.0
3	12.596	142.224	3.657	83.721	1.822	0.483	20000.0
4	12.558	139.809	3.689	83.725	1.793	0.481	20000.0
5	12.844	144.73	3.759	84.841	1.814	0.457	30000.0
6	12.626	141.166	3.684	83.072	1.784	0.491	40000.0
7	12.593	141.71	3.704	83.735	1.753	0.476	30000.0
8	12.713	141.694	3.741	83.398	1.752	0.49	20000.0
9	12.527	141.22	3.721	83.409	1.768	0.484	30000.0
10	12.633	142.401	3.712	84.52	1.815	0.475	20000.0
11	12.642	142.203	3.668	83.347	1.768	0.485	30000.0
12	12.724	143.106	3.696	84.401	1.78	0.469	20000.0
13	12.587	144.724	3.695	84.484	1.804	0.466	20000.0
14	12.192	140.66	3.554	82.253	1.811	0.498	20000.0
15	12.204	140.545	3.601	82.233	1.758	0.495	20000.0
16	12.275	139.377	3.587	82.232	1.757	0.49	30000.0
17	12.576	141.731	3.725	84.13	1.787	0.477	20000.0
18	12.808	144.874	3.741	84.438	1.814	0.466	20000.0
19	12.503	141.636	3.662	82.983	1.792	0.486	30000.0
20	12.718	145.009	3.702	84.719	1.807	0.466	30000.0
21	12.583	142.397	3.634	83.537	1.801	0.482	30000.0
22	12.773	145.242	3.721	84.676	1.814	0.464	20000.0
23	12.704	143.774	3.77	84.866	1.805	0.464	20000.0
24	12.617	143.833	3.669	84.278	1.83	0.461	30000.0
25	12.797	144.793	3.745	84.764	1.815	0.461	20000.0
26	12.602	140.755	3.707	82.76	1.783	0.499	30000.0
27	12.687	144.212	3.709	84.518	1.79	0.464	20000.0
28	12.513	142.566	3.662	84.201	1.793	0.469	40000.0
29	12.665	143.791	3.682	84.265	1.779	0.472	40000.0
30	12.335	140.978	3.637	83.371	1.771	0.484	30000.0
31	12.749	143.48	3.706	84.503	1.792	0.476	30000.0
32	12.417	139.534	3.594	82.736	1.776	0.496	20000.0
33	12.782	144.83	3.728	84.581	1.81	0.459	20000.0
34	12.346	140.718	3.581	82.144	1.804	0.492	20000.0
35	12.808	145.716	3.698	85.16	1.861	0.456	20000.0
36	12.369	141.219	3.587	82.71	1.819	0.485	20000.0
37	12.379	141.259	3.61	82.98	1.812	0.483	20000.0
38	12.942	145.702	3.762	84.76	1.81	0.463	30000.0
39	12.951	145.883	3.768	85.101	1.821	0.452	20000.0
40	12.555	143.982	3.676	83.623	1.87	0.472	40000.0
41	12.788	144.771	3.77	85.165	1.814	0.458	20000.0
42	12.773	143.165	3.729	84.217	1.758	0.469	40000.0
43	12.765	143.39	3.665	84.312	1.837	0.47	30000.0
44	12.649	142.133	3.67	83.919	1.766	0.479	20000.0
45	12.401	141.515	3.653	83.354	1.784	0.488	20000.0
46	12.726	143.772	3.739	84.119	1.793	0.471	20000.0
47	12.598	144.656	3.637	84.295	1.795	0.463	40000.0
48	12.688	144.134	3.736	84.309	1.834	0.471	20000.0
49	12.727	145.031	3.716	84.598	1.798	0.464	20000.0
50	12.548	143.106	3.656	84.246	1.83	0.467	20000.0
51	12.571	142.867	3.721	83.762	1.808	0.474	20000.0
52	12.86	145.779	3.766	84.882	1.805	0.459	30000.0
53	12.355	140.571	3.637	83.036	1.793	0.484	20000.0
54	12.684	144.315	3.689	84.236	1.825	0.466	20000.0
55	12.346	141.73	3.59	82.646	1.816	0.487	20000.0
56	12.71	142.887	3.76	84.113	1.789	0.477	30000.0
57	12.481	143.894	3.658	83.896	1.81	0.469	20000.0
58	12.56	142.949	3.709	83.852	1.802	0.478	40000.0
59	12.29	140.809	3.634	83.021	1.802	0.481	40000.0
60	12.72	143.902	3.685	84.069	1.774	0.477	30000.0
61	12.414	139.585	3.626	82.639	1.785	0.495	40000.0
62	12.641	144.636	3.713	84.533	1.796	0.468	20000.0
63	12.509	141.792	3.64	83.297	1.784	0.479	30000.0
64	12.789	144.782	3.724	84.872	1.781	0.46	30000.0
65	12.791	144.378	3.722	84.876	1.824	0.467	20000.0
66	12.583	142.592	3.703	83.962	1.806	0.472	20000.0
67	12.72	143.691	3.706	84.577	1.773	0.468	20000.0
68	12.613	143.104	3.637	84.073	1.832	0.466	60000.0
69	12.649	142.61	3.642	83.19	1.835	0.485	20000.0
70	12.52	142.414	3.669	83.605	1.807	0.476	30000.0
71	12.504	142.991	3.625	83.434	1.831	0.477	30000.0
72	12.597	144.414	3.707	84.751	1.807	0.462	20000.0
