NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	9.599	171.779	2.96	92.958	2.577	0.292	30000.0
2	9.678	171.972	2.964	92.883	2.571	0.303	30000.0
3	9.506	171.463	2.923	92.99	2.613	0.295	20000.0
4	9.556	170.672	2.934	92.714	2.562	0.307	20000.0
5	9.641	171.3	2.955	92.809	2.559	0.303	20000.0
6	9.56	170.988	2.926	92.658	2.583	0.304	20000.0
7	9.485	171.525	2.903	92.839	2.638	0.297	20000.0
8	9.544	172.052	2.904	93.053	2.604	0.289	30000.0
9	9.426	171.431	2.886	92.729	2.604	0.3	20000.0
10	9.466	171.468	2.891	92.875	2.61	0.295	20000.0
11	9.535	170.993	2.929	92.688	2.567	0.304	30000.0
12	9.399	170.894	2.895	92.75	2.604	0.298	20000.0
13	9.606	171.648	2.928	92.778	2.587	0.3	30000.0
14	9.458	171.251	2.912	92.679	2.616	0.3	30000.0
15	9.434	170.986	2.877	92.52	2.592	0.306	30000.0
16	9.539	171.458	2.907	92.82	2.6	0.299	20000.0
17	9.603	171.618	2.96	92.84	2.586	0.302	30000.0
18	9.512	171.682	2.905	92.809	2.618	0.299	40000.0
19	9.516	172.599	2.89	93.075	2.623	0.29	40000.0
20	9.506	171.974	2.92	92.937	2.602	0.293	20000.0
21	9.617	171.23	2.961	92.711	2.557	0.305	20000.0
22	9.589	170.946	2.913	92.492	2.546	0.31	30000.0
23	9.401	171.859	2.877	93.017	2.653	0.293	20000.0
24	9.587	170.922	2.951	92.612	2.587	0.3	30000.0
25	9.462	171.472	2.927	92.847	2.593	0.301	20000.0
26	9.469	170.819	2.901	92.564	2.58	0.309	30000.0
27	9.58	171.38	2.957	92.627	2.572	0.309	40000.0
28	9.519	172.041	2.919	93.008	2.629	0.294	20000.0
29	9.467	171.667	2.904	92.932	2.624	0.293	30000.0
30	9.485	171.808	2.91	92.961	2.629	0.292	30000.0
31	9.421	171.198	2.892	92.851	2.606	0.298	20000.0
32	9.519	171.733	2.902	92.796	2.624	0.296	30000.0
33	9.639	171.1	2.96	92.677	2.564	0.306	20000.0
34	9.395	170.811	2.857	92.669	2.606	0.3	20000.0
35	9.593	171.247	2.938	92.71	2.579	0.303	20000.0
36	9.598	171.374	2.937	92.723	2.56	0.3	20000.0
37	9.649	171.822	2.935	92.835	2.582	0.299	40000.0
38	9.659	172.1	2.965	92.955	2.592	0.302	30000.0
39	9.551	170.665	2.929	92.342	2.552	0.313	40000.0
40	9.513	171.625	2.918	92.845	2.623	0.3	20000.0
41	9.617	171.734	2.939	93.086	2.608	0.298	30000.0
42	9.557	171.468	2.894	92.794	2.608	0.299	40000.0
43	9.583	171.415	2.947	92.955	2.606	0.301	30000.0
44	9.605	172.313	2.935	92.873	2.603	0.293	30000.0
45	9.497	171.616	2.913	92.942	2.598	0.297	40000.0
46	9.413	170.773	2.867	92.521	2.615	0.301	20000.0
47	9.459	171.738	2.891	92.886	2.607	0.29	20000.0
48	9.484	171.086	2.936	92.825	2.599	0.302	30000.0
49	9.544	171.231	2.903	92.757	2.591	0.302	20000.0
50	9.649	171.334	2.945	92.635	2.558	0.306	40000.0
51	9.548	171.549	2.908	92.765	2.582	0.293	20000.0
52	9.491	171.101	2.905	92.716	2.588	0.303	20000.0
53	9.573	171.833	2.965	92.817	2.565	0.292	20000.0
54	9.37	171.73	2.888	92.816	2.649	0.295	30000.0
55	9.45	170.969	2.89	92.606	2.602	0.303	40000.0
56	9.703	171.617	2.982	92.807	2.579	0.302	20000.0
57	9.507	172.079	2.887	93.148	2.642	0.292	20000.0
58	9.646	171.682	2.991	92.867	2.595	0.296	20000.0
59	9.599	171.552	2.933	92.728	2.573	0.303	20000.0
60	9.515	171.85	2.903	92.854	2.628	0.296	20000.0
61	9.46	171.98	2.877	93.013	2.633	0.291	30000.0
62	9.463	172.508	2.885	93.059	2.657	0.291	30000.0
63	9.597	171.311	2.912	92.626	2.545	0.308	30000.0
64	9.484	172.265	2.909	92.927	2.642	0.294	20000.0
65	9.507	171.03	2.886	92.507	2.585	0.304	20000.0
66	9.585	171.555	2.931	92.796	2.58	0.299	40000.0
67	9.616	170.872	2.949	92.647	2.538	0.308	20000.0
68	9.466	171.557	2.897	92.859	2.626	0.294	20000.0
69	9.648	171.559	2.959	92.785	2.572	0.296	20000.0
70	9.462	170.897	2.928	92.58	2.575	0.304	30000.0
71	9.485	171.301	2.917	92.868	2.602	0.298	20000.0
72	9.441	172.34	2.878	92.973	2.658	0.292	30000.0
73	9.618	171.395	2.942	92.608	2.584	0.307	30000.0
74	9.554	171.631	2.908	92.758	2.608	0.3	40000.0
75	9.489	171.849	2.915	92.672	2.595	0.294	20000.0
76	9.639	173.008	2.964	93.081	2.642	0.287	20000.0
77	9.44	171.211	2.934	92.752	2.608	0.298	20000.0
78	9.397	171.305	2.864	92.712	2.643	0.3	20000.0
79	9.572	170.366	2.922	92.441	2.538	0.313	30000.0
80	9.442	171.288	2.904	92.808	2.63	0.301	20000.0
81	9.495	171.715	2.935	92.806	2.621	0.297	20000.0
82	9.483	171.503	2.912	92.91	2.61	0.299	30000.0
83	9.492	170.626	2.908	92.662	2.593	0.303	20000.0
84	9.534	171.664	2.924	92.789	2.589	0.301	30000.0
85	9.58	171.116	2.93	92.591	2.555	0.301	30000.0
86	9.564	172.33	2.92	92.943	2.629	0.29	20000.0
87	9.524	170.89	2.903	92.705	2.585	0.298	20000.0
88	9.522	171.321	2.904	92.778	2.611	0.299	20000.0
89	9.627	170.884	2.958	92.588	2.562	0.308	30000.0
90	9.565	171.029	2.904	92.51	2.538	0.306	30000.0
91	9.529	172.148	2.904	92.885	2.581	0.293	40000.0
92	9.433	170.958	2.889	92.727	2.592	0.301	20000.0
93	9.674	171.172	2.966	92.717	2.545	0.309	20000.0
94	9.652	170.936	2.945	92.688	2.551	0.307	30000.0
95	9.557	170.891	2.934	92.477	2.543	0.311	30000.0
96	9.558	171.667	2.941	92.844	2.609	0.299	40000.0
97	9.453	171.122	2.915	92.74	2.6	0.301	20000.0
98	9.564	171.241	2.955	92.534	2.575	0.304	30000.0
99	9.493	171.543	2.883	92.987	2.625	0.292	20000.0
100	9.442	170.469	2.882	92.53	2.613	0.307	40000.0
