NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	9.896	175.615	3.012	94.219	2.866	0.252	30000.0
2	9.933	175.641	3.001	94.003	2.843	0.258	20000.0
3	9.817	175.086	2.992	93.909	2.851	0.261	30000.0
4	9.89	175.107	3.0	94.0	2.836	0.263	30000.0
5	9.864	175.48	2.993	94.059	2.865	0.259	30000.0
6	9.848	175.15	2.989	93.725	2.862	0.262	20000.0
7	9.79	175.542	2.97	93.851	2.885	0.255	40000.0
8	9.889	175.785	2.981	94.134	2.851	0.255	20000.0
9	9.825	174.763	2.967	93.723	2.836	0.266	20000.0
10	9.814	175.235	2.96	93.812	2.844	0.259	20000.0
11	9.798	175.181	2.972	93.861	2.855	0.26	30000.0
12	9.82	174.784	2.991	93.796	2.849	0.261	30000.0
13	9.85	175.478	2.968	93.977	2.875	0.257	30000.0
14	9.75	174.638	2.985	93.677	2.847	0.267	20000.0
15	9.828	175.319	2.965	93.868	2.851	0.262	20000.0
16	9.839	175.194	2.978	93.882	2.845	0.261	30000.0
17	9.888	175.833	3.002	94.081	2.877	0.255	20000.0
18	9.872	175.408	2.987	93.89	2.866	0.259	20000.0
19	9.884	176.3	2.971	94.09	2.882	0.253	30000.0
20	9.876	175.534	3.002	93.94	2.864	0.259	30000.0
21	9.816	175.192	2.997	93.89	2.858	0.259	30000.0
22	9.784	175.058	2.945	93.672	2.848	0.262	20000.0
23	9.859	175.558	2.988	93.995	2.856	0.258	20000.0
24	9.823	175.348	2.991	93.898	2.868	0.26	20000.0
25	9.869	175.744	3.012	94.041	2.869	0.258	20000.0
26	9.834	175.237	2.982	93.88	2.843	0.264	20000.0
27	9.882	175.227	3.01	93.997	2.849	0.263	20000.0
28	9.906	175.846	3.01	94.14	2.877	0.255	40000.0
29	9.886	175.051	2.996	93.952	2.859	0.261	30000.0
30	9.853	175.351	3.005	93.842	2.87	0.258	20000.0
31	9.82	174.868	2.982	93.847	2.839	0.265	40000.0
