NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	7.105	173.762	2.368	93.36	2.735	0.291	30000.0
2	7.407	175.357	2.439	93.811	2.698	0.283	20000.0
3	7.211	174.708	2.389	93.733	2.746	0.283	40000.0
4	7.283	174.472	2.418	93.569	2.678	0.287	30000.0
5	7.298	174.142	2.435	93.538	2.68	0.29	40000.0
6	7.256	174.188	2.414	93.522	2.663	0.294	20000.0
7	7.48	174.479	2.451	94.34	2.729	0.281	20000.0
8	7.195	174.173	2.404	93.577	2.736	0.287	20000.0
9	7.31	174.899	2.445	93.81	2.716	0.285	20000.0
10	7.187	174.47	2.393	93.851	2.729	0.281	40000.0
11	7.262	174.613	2.412	93.593	2.655	0.287	20000.0
12	7.195	175.209	2.383	93.754	2.744	0.279	40000.0
13	7.31	174.092	2.418	93.543	2.666	0.292	30000.0
14	7.359	175.93	2.437	94.165	2.759	0.276	20000.0
15	7.326	174.621	2.449	93.575	2.684	0.286	30000.0
16	7.247	174.55	2.425	93.731	2.703	0.284	30000.0
17	7.206	174.618	2.382	93.581	2.703	0.287	40000.0
18	7.342	175.097	2.438	93.682	2.696	0.285	30000.0
19	7.487	175.004	2.463	94.498	2.777	0.27	20000.0
20	7.324	175.36	2.409	93.89	2.697	0.283	20000.0
21	7.308	175.371	2.424	93.881	2.708	0.28	20000.0
22	7.238	173.257	2.415	93.485	2.676	0.292	50000.0
23	7.18	175.004	2.393	93.849	2.716	0.282	30000.0
24	7.377	175.515	2.456	93.794	2.689	0.284	20000.0
25	7.33	174.353	2.421	93.742	2.674	0.29	20000.0
26	7.199	174.721	2.382	93.8	2.732	0.283	20000.0
27	7.338	174.526	2.412	93.734	2.689	0.29	20000.0
28	7.276	174.445	2.394	93.642	2.723	0.285	20000.0
29	7.309	175.128	2.424	93.974	2.706	0.273	40000.0
30	7.319	174.176	2.421	93.403	2.653	0.292	20000.0
31	7.392	174.648	2.436	94.312	2.764	0.276	20000.0
32	7.258	174.652	2.409	93.849	2.709	0.285	20000.0
33	7.463	175.102	2.464	94.225	2.784	0.273	20000.0
34	7.326	175.109	2.433	93.728	2.695	0.286	40000.0
35	7.358	173.692	2.426	93.963	2.718	0.285	20000.0
36	7.331	174.62	2.439	93.643	2.681	0.288	30000.0
37	7.331	174.325	2.425	93.541	2.698	0.292	20000.0
38	7.218	174.308	2.426	93.413	2.681	0.292	30000.0
39	7.279	174.357	2.385	93.8	2.76	0.281	20000.0
40	7.338	175.393	2.413	94.093	2.748	0.277	40000.0
41	7.218	173.52	2.393	93.591	2.71	0.293	30000.0
42	7.329	174.285	2.41	93.753	2.674	0.289	30000.0
43	7.262	174.527	2.427	93.64	2.677	0.285	30000.0
44	7.23	174.093	2.399	93.564	2.716	0.292	30000.0
45	7.26	174.358	2.413	93.572	2.66	0.29	20000.0
46	7.259	174.261	2.41	93.543	2.686	0.291	40000.0
47	7.142	173.43	2.376	93.534	2.731	0.29	20000.0
48	7.222	174.429	2.404	93.53	2.738	0.288	30000.0
49	7.335	173.249	2.428	93.612	2.724	0.289	30000.0
50	7.296	174.817	2.411	93.749	2.723	0.286	20000.0
51	7.206	173.976	2.39	93.759	2.749	0.284	30000.0
52	7.297	174.322	2.426	93.715	2.712	0.286	40000.0
53	7.294	175.123	2.416	93.778	2.7	0.281	30000.0
54	7.322	174.957	2.428	93.862	2.714	0.281	40000.0
55	7.326	175.44	2.432	93.811	2.695	0.279	40000.0
56	7.394	174.526	2.441	94.265	2.751	0.276	40000.0
57	7.249	174.248	2.407	93.654	2.718	0.283	30000.0
58	7.358	174.726	2.42	93.769	2.69	0.285	30000.0
59	7.392	173.89	2.423	94.031	2.738	0.268	30000.0
60	7.296	173.893	2.441	93.371	2.695	0.293	20000.0
61	7.34	175.347	2.459	93.882	2.746	0.282	30000.0
62	7.111	172.557	2.365	93.303	2.72	0.294	20000.0
63	7.212	173.935	2.393	93.469	2.713	0.289	20000.0
64	7.29	174.552	2.42	93.798	2.712	0.288	20000.0
65	7.224	173.989	2.403	93.532	2.721	0.289	20000.0
66	7.377	174.802	2.449	93.766	2.698	0.283	40000.0
67	7.234	174.96	2.41	93.724	2.691	0.282	40000.0
68	7.234	174.302	2.406	93.797	2.765	0.281	30000.0
69	7.323	174.344	2.43	93.417	2.671	0.293	20000.0
70	7.265	175.26	2.429	93.691	2.739	0.282	20000.0
71	7.316	174.398	2.435	93.678	2.655	0.291	40000.0
72	7.364	175.227	2.435	93.959	2.717	0.281	20000.0
73	7.347	174.803	2.447	93.864	2.699	0.284	40000.0
74	7.294	174.722	2.426	93.707	2.704	0.285	30000.0
75	7.368	175.045	2.443	93.853	2.697	0.284	30000.0
76	7.284	174.863	2.407	93.874	2.758	0.282	20000.0
77	7.29	174.414	2.405	93.595	2.704	0.288	20000.0
78	7.226	174.985	2.403	93.58	2.701	0.286	20000.0
79	7.315	174.664	2.411	93.808	2.685	0.286	20000.0
80	7.358	174.855	2.438	93.772	2.691	0.282	30000.0
81	7.322	175.622	2.433	93.847	2.712	0.275	30000.0
82	7.429	175.004	2.435	93.832	2.702	0.283	20000.0
83	7.26	174.784	2.401	93.607	2.696	0.285	20000.0
84	7.278	174.713	2.41	93.613	2.68	0.287	20000.0
85	7.31	174.793	2.446	93.598	2.707	0.287	20000.0
86	7.229	174.563	2.391	93.459	2.71	0.289	20000.0
87	7.322	174.275	2.433	93.503	2.666	0.292	20000.0
88	7.207	173.508	2.383	93.613	2.71	0.289	20000.0
89	7.134	174.411	2.377	93.566	2.718	0.286	20000.0
90	7.322	174.768	2.431	93.873	2.721	0.286	30000.0
91	7.264	174.8	2.37	93.687	2.715	0.285	40000.0
92	7.308	174.194	2.428	93.426	2.662	0.293	20000.0
93	7.397	173.81	2.466	94.025	2.729	0.281	30000.0
94	7.206	174.598	2.382	93.536	2.745	0.288	40000.0
95	7.251	174.233	2.409	93.443	2.65	0.286	60000.0
96	7.356	174.544	2.434	93.621	2.656	0.289	40000.0
97	7.193	174.037	2.371	93.668	2.716	0.288	30000.0
98	7.312	174.427	2.452	93.695	2.682	0.289	20000.0
99	7.224	174.39	2.405	93.669	2.697	0.288	20000.0
100	7.252	174.42	2.431	93.466	2.684	0.29	30000.0
