Samples	SBS1	SBS2	SBS5	SBS10b	SBS13
TCGA-3C-AAAU-01A-11D-A41F-09	0	0	1	0	0
TCGA-3C-AALI-01A-11D-A41F-09	2	2	0	5	5
TCGA-3C-AALK-01A-11D-A41F-09	0	0	2	0	0
TCGA-5L-AAT0-01A-12D-A41F-09	1	0	0	2	1
TCGA-5L-AAT1-01A-12D-A41F-09	0	13	0	22	20
TCGA-5T-A9QA-01A-11D-A41F-09	2	0	0	0	0
TCGA-A1-A0SD-01A-11D-A10Y-09	0	0	2	0	0
TCGA-A1-A0SE-01A-11D-A099-09	0	0	1	0	0
TCGA-A1-A0SH-01A-11D-A099-09	0	0	3	0	0
TCGA-A1-A0SI-01A-11D-A142-09	1	0	0	4	0
TCGA-A1-A0SJ-01A-11D-A099-09	0	0	1	0	0
TCGA-A1-A0SK-01A-12D-A099-09	0	0	0	0	1
TCGA-A1-A0SO-01A-22D-A099-09	0	0	4	0	0
TCGA-A1-A0SP-01A-11D-A099-09	2	0	0	0	0
TCGA-A1-A0SQ-01A-21D-A142-09	1	1	0	0	0
TCGA-A2-A04N-01A-11D-A10Y-09	1	0	0	0	0
TCGA-A2-A04Q-01A-21W-A050-09	2	0	0	0	0
TCGA-A2-A04T-01A-21W-A050-09	0	0	3	0	0
TCGA-A2-A04U-01A-11D-A10Y-09	0	0	1	0	0
TCGA-A2-A04V-01A-21W-A050-09	0	1	2	0	0
TCGA-A2-A04W-01A-31D-A10Y-09	0	0	0	1	0
TCGA-A2-A04X-01A-21W-A050-09	0	0	1	0	0
TCGA-A2-A0CL-01A-11D-A10Y-09	1	0	0	0	1
TCGA-A2-A0CM-01A-31W-A050-09	0	0	1	0	0
TCGA-A2-A0CP-01A-11W-A050-09	0	0	1	3	0
TCGA-A2-A0CR-01A-11D-A228-09	0	3	0	0	0
TCGA-A2-A0CT-01A-31W-A071-09	0	0	0	6	0
TCGA-A2-A0CU-01A-12W-A050-09	0	0	1	0	0
TCGA-A2-A0CX-01A-21W-A019-09	2	5	1	0	2
TCGA-A2-A0D0-01A-11W-A019-09	0	2	0	0	0
TCGA-A2-A0D1-01A-11W-A050-09	0	0	1	0	1
TCGA-A2-A0D2-01A-21W-A050-09	0	0	2	0	2
TCGA-A2-A0EN-01A-13D-A099-09	0	0	1	0	0
TCGA-A2-A0EO-01A-11W-A050-09	0	0	0	1	0
TCGA-A2-A0EQ-01A-11W-A050-09	0	3	2	0	0
TCGA-A2-A0EV-01A-11W-A050-09	2	0	3	0	0
TCGA-A2-A0EY-01A-11W-A050-09	0	0	0	8	0
TCGA-A2-A0SY-01A-31D-A099-09	0	5	0	0	3
TCGA-A2-A0T0-01A-22D-A099-09	1	0	2	0	1
TCGA-A2-A0T1-01A-21D-A099-09	0	0	1	0	0
TCGA-A2-A0T4-01A-31D-A099-09	0	0	1	0	0
TCGA-A2-A0T6-01A-11D-A099-09	0	0	0	3	0
TCGA-A2-A0T7-01A-21D-A099-09	1	0	0	0	0
TCGA-A2-A0YD-01A-11D-A10G-09	0	0	2	0	0
TCGA-A2-A0YE-01A-11D-A10G-09	0	0	1	0	0
TCGA-A2-A0YH-01A-11D-A10G-09	0	0	0	1	1
TCGA-A2-A0YI-01A-31D-A10M-09	0	0	1	0	0
TCGA-A2-A0YJ-01A-11D-A10G-09	0	0	3	0	0
TCGA-A2-A0YK-01A-22D-A117-09	0	4	0	0	3
TCGA-A2-A0YL-01A-21D-A10G-09	0	0	2	0	0
TCGA-A2-A0YM-01A-11D-A10G-09	0	0	0	2	0
TCGA-A2-A0YT-01A-11D-A10G-09	0	0	1	0	0
TCGA-A2-A1FW-01A-11D-A13L-09	0	0	2	0	0
TCGA-A2-A1G4-01A-11D-A13L-09	0	1	0	0	0
TCGA-A2-A25A-01A-12D-A16D-09	0	3	2	0	2
TCGA-A2-A25B-01A-11D-A167-09	0	0	0	2	0
TCGA-A2-A25E-01A-11D-A167-09	0	0	1	0	0
TCGA-A2-A3XT-01A-11D-A22X-09	0	0	4	0	0
TCGA-A2-A3XU-01A-12D-A22X-09	0	0	1	0	0
TCGA-A2-A3XX-01A-21D-A23C-09	0	0	1	0	0
TCGA-A2-A3Y0-01A-11D-A23C-09	0	0	3	0	3
TCGA-A2-A4S1-01A-21D-A25Q-09	0	0	1	0	0
TCGA-A2-A4S2-01A-12D-A25Q-09	1	0	0	0	0
TCGA-A2-A4S3-01A-21D-A25Q-09	0	0	2	0	0
