Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA-3C-AAAU-01A-11D-A41F-09	5	2	6	13	12	3	6
TCGA-3C-AALI-01A-11D-A41F-09	314	390	0	0	27	61	0
TCGA-3C-AALJ-01A-31D-A41F-09	1	9	11	2	19	2	12
TCGA-3C-AALK-01A-11D-A41F-09	8	5	4	15	19	5	10
TCGA-4H-AAAK-01A-12D-A41F-09	0	0	8	9	10	6	2
TCGA-5L-AAT0-01A-12D-A41F-09	144	62	0	0	8	11	32
TCGA-5L-AAT1-01A-12D-A41F-09	1033	758	0	0	23	102	20
TCGA-5T-A9QA-01A-11D-A41F-09	2	0	31	0	23	0	9
TCGA-A1-A0SD-01A-11D-A10Y-09	2	2	6	3	22	1	4
TCGA-A1-A0SE-01A-11D-A099-09	5	0	10	2	4	4	10
TCGA-A1-A0SF-01A-11D-A142-09	36	0	0	7	8	0	5
TCGA-A1-A0SG-01A-11D-A142-09	2	2	0	2	11	7	6
TCGA-A1-A0SH-01A-11D-A099-09	48	44	12	4	6	3	13
TCGA-A1-A0SI-01A-11D-A142-09	101	143	0	0	5	10	0
TCGA-A1-A0SJ-01A-11D-A099-09	5	0	7	5	12	0	2
TCGA-A1-A0SK-01A-12D-A099-09	1	5	36	0	25	4	15
TCGA-A1-A0SM-01A-11D-A099-09	0	0	11	4	10	8	6
TCGA-A1-A0SN-01A-11D-A142-09	7	27	12	0	19	8	13
TCGA-A1-A0SO-01A-22D-A099-09	14	26	203	27	22	17	64
TCGA-A1-A0SP-01A-11D-A099-09	1	1	13	9	16	0	20
TCGA-A1-A0SQ-01A-21D-A142-09	6	2	0	6	19	2	1
TCGA-A2-A04N-01A-11D-A10Y-09	7	0	11	4	15	9	8
TCGA-A2-A04P-01A-31D-A128-09	3	31	75	21	13	1	21
TCGA-A2-A04Q-01A-21W-A050-09	4	6	26	6	9	2	15
TCGA-A2-A04R-01A-41D-A117-09	2	12	45	15	9	8	10
TCGA-A2-A04T-01A-21W-A050-09	7	12	63	7	14	0	16
TCGA-A2-A04U-01A-11D-A10Y-09	1	4	25	5	21	5	4
TCGA-A2-A04V-01A-21W-A050-09	5	3	16	0	14	3	9
TCGA-A2-A04W-01A-31D-A10Y-09	56	86	0	10	13	12	8
TCGA-A2-A04X-01A-21W-A050-09	20	10	8	3	8	0	1
TCGA-A2-A04Y-01A-21W-A050-09	5	8	23	0	10	7	8
TCGA-A2-A0CK-01A-11D-A228-09	5	0	7	6	12	0	1
TCGA-A2-A0CL-01A-11D-A10Y-09	70	74	0	0	20	5	0
TCGA-A2-A0CM-01A-31W-A050-09	21	18	17	8	0	0	20
TCGA-A2-A0CP-01A-11W-A050-09	0	4	84	25	0	5	40
TCGA-A2-A0CQ-01A-21W-A050-09	0	4	11	7	16	2	22
TCGA-A2-A0CR-01A-11D-A228-09	108	83	0	0	10	0	0
TCGA-A2-A0CS-01A-11D-A10Y-09	1	0	16	10	20	1	2
TCGA-A2-A0CT-01A-31W-A071-09	34	12	25	4	39	7	14
TCGA-A2-A0CU-01A-12W-A050-09	5	5	12	10	9	3	21
TCGA-A2-A0CV-01A-31D-A10Y-09	0	2	3	5	10	4	0
TCGA-A2-A0CW-01A-21D-A10Y-09	21	4	22	0	17	5	2
TCGA-A2-A0CX-01A-21W-A019-09	203	99	0	20	16	19	13
TCGA-A2-A0D0-01A-11W-A019-09	4	24	24	15	14	3	13
TCGA-A2-A0D1-01A-11W-A050-09	20	9	29	33	15	5	7
TCGA-A2-A0D2-01A-21W-A050-09	0	27	30	20	4	3	27
TCGA-A2-A0D3-01A-11D-A10Y-09	1	0	3	1	27	2	0
TCGA-A2-A0D4-01A-11W-A019-09	2	5	17	9	6	4	3
TCGA-A2-A0EM-01A-11W-A050-09	3	0	15	13	3	2	14
TCGA-A2-A0EN-01A-13D-A099-09	2	0	9	0	15	5	7
TCGA-A2-A0EO-01A-11W-A050-09	6	0	17	11	8	1	10
TCGA-A2-A0EP-01A-52D-A22X-09	2	7	0	3	1	1	6
TCGA-A2-A0EQ-01A-11W-A050-09	84	175	0	28	12	0	8
TCGA-A2-A0ER-01A-21W-A050-09	1	6	14	13	12	2	1
TCGA-A2-A0ES-01A-11D-A10Y-09	0	1	2	3	4	0	4
TCGA-A2-A0ET-01A-31D-A045-09	3	2	14	7	23	7	6
TCGA-A2-A0EU-01A-22W-A071-09	5	2	1	10	30	3	2
TCGA-A2-A0EV-01A-11W-A050-09	7	2	15	0	18	12	28
TCGA-A2-A0EW-01A-21D-A10Y-09	1	2	2	5	5	3	2
TCGA-A2-A0EX-01A-21W-A050-09	4	1	14	0	7	0	12
TCGA-A2-A0EY-01A-11W-A050-09	160	49	23	1	32	31	16
TCGA-A2-A0ST-01A-12D-A099-09	3	3	4	2	4	0	7
TCGA-A2-A0SU-01A-11D-A099-09	0	3	9	4	9	0	11
TCGA-A2-A0SV-01A-11D-A099-09	0	0	2	9	14	3	15
TCGA-A2-A0SW-01A-11D-A099-09	14	9	6	14	12	2	9
TCGA-A2-A0SX-01A-12D-A099-09	9	2	10	12	7	1	3
TCGA-A2-A0SY-01A-31D-A099-09	62	65	0	0	13	11	12
TCGA-A2-A0T0-01A-22D-A099-09	10	29	90	48	7	12	17
TCGA-A2-A0T1-01A-21D-A099-09	0	0	6	8	8	4	3
TCGA-A2-A0T2-01A-11W-A097-09	5	0	14	11	9	0	0
TCGA-A2-A0T3-01A-21D-A10Y-09	1	1	18	4	14	1	2
TCGA-A2-A0T4-01A-31D-A099-09	3	0	6	10	10	0	6
TCGA-A2-A0T5-01A-21D-A099-09	2	0	3	1	10	0	0
TCGA-A2-A0T6-01A-11D-A099-09	4	0	1	1	18	1	1
TCGA-A2-A0T7-01A-21D-A099-09	3	0	2	1	15	1	0
TCGA-A2-A0YC-01A-11D-A117-09	6	1	11	3	9	0	0
TCGA-A2-A0YD-01A-11D-A10G-09	33	20	2	0	15	17	8
TCGA-A2-A0YE-01A-11D-A10G-09	8	0	12	1	14	2	5
TCGA-A2-A0YF-01A-21D-A10G-09	1	0	19	4	7	7	1
TCGA-A2-A0YG-01A-21D-A10G-09	6	0	16	8	18	4	18
TCGA-A2-A0YH-01A-11D-A10G-09	21	39	9	0	18	5	12
TCGA-A2-A0YI-01A-31D-A10M-09	1	2	8	1	2	1	0
TCGA-A2-A0YJ-01A-11D-A10G-09	0	8	24	14	24	7	11
TCGA-A2-A0YK-01A-22D-A117-09	235	220	0	0	2	12	0
TCGA-A2-A0YL-01A-21D-A10G-09	19	8	5	0	7	0	10
TCGA-A2-A0YM-01A-11D-A10G-09	16	19	16	9	28	8	1
TCGA-A2-A0YT-01A-11D-A10G-09	9	0	12	17	23	15	0
TCGA-A2-A1FV-01A-11D-A13L-09	9	0	1	3	23	0	8
TCGA-A2-A1FW-01A-11D-A13L-09	2	5	20	19	22	8	14
TCGA-A2-A1FX-01A-11D-A13L-09	0	0	8	1	6	7	7
TCGA-A2-A1FZ-01A-51D-A17G-09	1	2	10	10	5	0	2
TCGA-A2-A1G0-01A-11D-A13L-09	5	0	9	0	4	0	7
TCGA-A2-A1G1-01A-21D-A13L-09	3	0	18	3	9	1	7
TCGA-A2-A1G4-01A-11D-A13L-09	6	1	10	2	9	0	5
TCGA-A2-A1G6-01A-11D-A13L-09	0	3	3	4	0	0	0
TCGA-A2-A259-01A-11D-A16D-09	5	0	3	0	7	0	7
TCGA-A2-A25A-01A-12D-A16D-09	35	16	410	3	0	35	0
TCGA-A2-A25B-01A-11D-A167-09	7	3	52	13	11	10	31
TCGA-A2-A25C-01A-11D-A167-09	4	1	16	9	0	5	8
TCGA-A2-A25D-01A-12D-A16D-09	7	5	18	9	9	0	14
TCGA-A2-A25E-01A-11D-A167-09	7	2	27	18	2	3	8
TCGA-A2-A25F-01A-11D-A167-09	0	0	6	0	0	0	1
TCGA-A2-A3KD-01A-12D-A20S-09	2	0	0	0	12	0	7
TCGA-A2-A3XT-01A-11D-A22X-09	4	46	29	21	4	5	13
TCGA-A2-A3XU-01A-12D-A22X-09	1	0	5	7	17	1	2
TCGA-A2-A3XV-01A-21D-A23C-09	0	0	14	9	10	4	12
TCGA-A2-A3XW-01A-11D-A23C-09	3	0	5	0	4	3	0
TCGA-A2-A3XX-01A-21D-A23C-09	4	1	23	8	11	6	7
TCGA-A2-A3XZ-01A-42D-A23C-09	13	14	1	2	14	6	7
TCGA-A2-A3Y0-01A-11D-A23C-09	11	74	65	42	19	4	40
TCGA-A2-A4S1-01A-21D-A25Q-09	4	9	43	22	18	1	1
TCGA-A2-A4S2-01A-12D-A25Q-09	6	0	16	7	8	0	5
TCGA-A2-A4S3-01A-21D-A25Q-09	7	15	29	20	17	8	14
TCGA-A7-A0CD-01A-11W-A019-09	0	0	9	5	21	0	6
TCGA-A7-A0CE-01A-11W-A019-09	11	23	72	17	11	11	29
TCGA-A7-A0CG-01A-11W-A019-09	24	4	6	13	29	5	0
TCGA-A7-A0CJ-01A-21W-A019-09	5	3	31	22	16	3	16
