NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	65.173	90.912	11.255	61.959	0.808	0.687	60000.0
2	63.415	89.496	10.898	60.901	0.812	0.697	50000.0
3	65.998	92.547	11.349	62.77	0.809	0.677	30000.0
4	63.911	89.567	10.887	60.243	0.803	0.707	40000.0
5	64.184	90.669	10.898	60.905	0.816	0.7	30000.0
6	66.774	93.006	11.57	62.848	0.809	0.678	30000.0
7	61.5	86.183	10.445	58.882	0.8	0.717	60000.0
8	65.173	90.014	11.327	61.386	0.8	0.695	40000.0
9	63.291	88.61	10.905	60.316	0.808	0.704	50000.0
10	65.687	91.943	11.243	62.337	0.812	0.682	50000.0
11	63.804	88.688	10.776	59.611	0.799	0.714	70000.0
12	65.658	91.791	11.202	61.972	0.807	0.688	40000.0
13	64.738	90.0	11.15	61.223	0.799	0.696	60000.0
14	64.13	90.027	10.979	61.163	0.805	0.693	90000.0
15	63.585	88.861	10.897	60.298	0.801	0.703	70000.0
16	63.437	89.362	10.781	60.698	0.802	0.7	50000.0
17	64.951	91.176	11.133	61.972	0.806	0.687	90000.0
18	66.498	93.112	11.366	62.605	0.814	0.679	50000.0
19	64.159	89.68	10.964	60.339	0.803	0.708	40000.0
20	65.698	91.598	11.353	62.158	0.809	0.685	40000.0
21	64.364	89.452	11.041	60.851	0.802	0.698	80000.0
22	64.965	90.157	11.357	61.464	0.802	0.695	30000.0
23	64.621	90.179	11.202	61.579	0.803	0.691	40000.0
24	64.074	89.799	10.823	60.995	0.815	0.694	30000.0
25	65.41	91.437	11.16	62.022	0.808	0.686	40000.0
26	62.393	87.53	10.411	59.167	0.813	0.715	50000.0
27	62.782	86.903	10.752	58.795	0.801	0.722	30000.0
28	65.14	90.361	11.225	61.041	0.805	0.698	50000.0
29	64.732	89.727	11.113	60.65	0.802	0.702	90000.0
30	65.257	90.502	11.138	61.209	0.809	0.697	60000.0
31	64.485	89.598	11.065	60.712	0.808	0.701	40000.0
32	65.331	91.818	11.101	61.869	0.811	0.686	50000.0
33	64.594	90.855	11.036	61.608	0.81	0.689	50000.0
34	63.777	89.875	10.78	60.941	0.806	0.696	90000.0
35	64.579	91.174	10.984	61.409	0.812	0.691	40000.0
36	62.975	87.769	10.624	59.469	0.806	0.713	30000.0
37	64.657	89.925	11.026	60.843	0.808	0.702	60000.0
38	62.828	88.489	10.493	59.46	0.807	0.712	60000.0
