Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
TCGA-3C-AAAU-01A-11D-A41F-09	3	1	4	11	9	13	2	3	1
TCGA-3C-AALI-01A-11D-A41F-09	285	362	0	28	0	0	74	8	35
TCGA-3C-AALJ-01A-31D-A41F-09	0	5	4	14	1	18	2	7	5
TCGA-3C-AALK-01A-11D-A41F-09	7	5	7	17	12	0	5	10	3
TCGA-4H-AAAK-01A-12D-A41F-09	0	0	2	9	8	0	7	3	6
TCGA-5L-AAT0-01A-12D-A41F-09	98	52	0	0	0	93	6	8	0
TCGA-5L-AAT1-01A-12D-A41F-09	831	682	0	4	0	313	99	7	0
TCGA-5T-A9QA-01A-11D-A41F-09	2	0	0	20	1	3	0	10	29
TCGA-A1-A0SD-01A-11D-A10Y-09	2	1	11	15	1	5	1	3	1
TCGA-A1-A0SE-01A-11D-A099-09	3	0	0	2	1	17	3	6	3
TCGA-A1-A0SF-01A-11D-A142-09	25	2	0	5	3	20	0	1	0
TCGA-A1-A0SG-01A-11D-A142-09	2	1	6	8	1	2	6	4	0
TCGA-A1-A0SH-01A-11D-A099-09	35	32	0	2	1	54	0	2	4
TCGA-A1-A0SI-01A-11D-A142-09	86	123	0	4	0	35	11	0	0
TCGA-A1-A0SJ-01A-11D-A099-09	4	0	0	11	4	5	0	2	5
TCGA-A1-A0SK-01A-12D-A099-09	1	2	37	17	0	4	3	10	12
TCGA-A1-A0SM-01A-11D-A099-09	0	0	14	7	3	1	8	5	1
TCGA-A1-A0SN-01A-11D-A142-09	6	18	21	14	0	6	8	10	3
TCGA-A1-A0SO-01A-22D-A099-09	14	17	114	19	20	24	13	49	103
TCGA-A1-A0SP-01A-11D-A099-09	1	0	7	13	6	10	0	16	7
TCGA-A1-A0SQ-01A-21D-A142-09	5	2	0	14	5	6	2	1	1
TCGA-A2-A04N-01A-11D-A10Y-09	7	1	8	11	3	0	10	8	6
TCGA-A2-A04P-01A-31D-A128-09	4	17	82	10	14	0	2	15	21
TCGA-A2-A04Q-01A-21W-A050-09	3	3	10	7	5	17	1	10	12
TCGA-A2-A04R-01A-41D-A117-09	2	9	24	8	13	3	7	9	26
TCGA-A2-A04T-01A-21W-A050-09	7	8	53	10	5	0	1	12	23
TCGA-A2-A04U-01A-11D-A10Y-09	0	2	25	15	3	9	4	1	6
TCGA-A2-A04V-01A-21W-A050-09	4	2	10	10	0	10	2	6	6
TCGA-A2-A04W-01A-31D-A10Y-09	46	70	0	10	8	28	12	6	5
TCGA-A2-A04X-01A-21W-A050-09	17	10	8	6	2	0	0	2	5
TCGA-A2-A04Y-01A-21W-A050-09	4	6	3	8	0	8	7	7	18
TCGA-A2-A0CK-01A-11D-A228-09	4	0	0	12	5	3	0	1	6
TCGA-A2-A0CL-01A-11D-A10Y-09	65	70	4	19	2	0	7	2	0
TCGA-A2-A0CM-01A-31W-A050-09	16	15	0	0	6	24	0	13	10
TCGA-A2-A0CP-01A-11W-A050-09	2	1	53	0	21	14	4	29	34
TCGA-A2-A0CQ-01A-21W-A050-09	1	2	25	12	3	0	2	17	0
TCGA-A2-A0CR-01A-11D-A228-09	96	82	0	9	0	0	2	6	6
TCGA-A2-A0CS-01A-11D-A10Y-09	1	0	13	17	8	0	1	3	7
TCGA-A2-A0CT-01A-31W-A071-09	28	14	7	31	3	14	7	14	17
TCGA-A2-A0CU-01A-12W-A050-09	5	4	17	8	7	0	3	17	4
TCGA-A2-A0CV-01A-31D-A10Y-09	0	2	0	9	4	0	4	1	4
TCGA-A2-A0CW-01A-21D-A10Y-09	17	5	24	12	0	0	5	2	6
TCGA-A2-A0CX-01A-21W-A019-09	169	103	10	16	13	8	21	21	9
TCGA-A2-A0D0-01A-11W-A019-09	4	15	45	10	10	0	3	9	1
TCGA-A2-A0D1-01A-11W-A050-09	16	8	40	14	24	0	5	6	5
TCGA-A2-A0D2-01A-21W-A050-09	2	16	47	3	15	3	2	18	5
TCGA-A2-A0D3-01A-11D-A10Y-09	2	0	0	23	0	0	2	2	5
TCGA-A2-A0D4-01A-11W-A019-09	2	4	8	6	8	1	4	4	9
TCGA-A2-A0EM-01A-11W-A050-09	2	0	12	3	10	9	1	9	4
TCGA-A2-A0EN-01A-13D-A099-09	2	0	11	11	0	0	5	6	3
TCGA-A2-A0EO-01A-11W-A050-09	6	0	16	7	8	0	2	9	5
TCGA-A2-A0EP-01A-52D-A22X-09	1	3	0	1	2	11	0	2	0
TCGA-A2-A0EQ-01A-11W-A050-09	68	136	0	11	25	64	0	3	0
TCGA-A2-A0ER-01A-21W-A050-09	0	3	19	9	9	8	1	0	0
TCGA-A2-A0ES-01A-11D-A10Y-09	0	0	1	3	2	5	0	3	0
TCGA-A2-A0ET-01A-31D-A045-09	2	2	0	19	6	10	7	5	11
TCGA-A2-A0EU-01A-22W-A071-09	4	2	6	24	8	3	3	3	0
TCGA-A2-A0EV-01A-11W-A050-09	6	2	12	13	0	13	12	19	5
TCGA-A2-A0EW-01A-21D-A10Y-09	1	2	1	3	5	0	3	2	3
TCGA-A2-A0EX-01A-21W-A050-09	4	1	9	5	0	4	0	8	7
TCGA-A2-A0EY-01A-11W-A050-09	133	60	14	27	0	0	33	22	23
TCGA-A2-A0ST-01A-12D-A099-09	2	2	0	3	2	8	0	3	3
TCGA-A2-A0SU-01A-11D-A099-09	1	2	10	7	3	0	0	9	4
TCGA-A2-A0SV-01A-11D-A099-09	0	0	5	12	7	3	3	13	0
TCGA-A2-A0SW-01A-11D-A099-09	9	6	6	9	9	23	1	3	0
TCGA-A2-A0SX-01A-12D-A099-09	7	1	0	6	10	17	0	0	3
TCGA-A2-A0SY-01A-31D-A099-09	57	63	0	12	0	0	14	17	0
TCGA-A2-A0T0-01A-22D-A099-09	9	19	80	8	37	0	11	13	36
TCGA-A2-A0T1-01A-21D-A099-09	0	0	5	7	7	1	4	3	2
TCGA-A2-A0T2-01A-11W-A097-09	4	0	20	7	7	0	0	0	1
TCGA-A2-A0T3-01A-21D-A10Y-09	2	1	2	13	4	0	2	3	14
TCGA-A2-A0T4-01A-31D-A099-09	3	0	13	8	7	0	0	4	0
TCGA-A2-A0T5-01A-21D-A099-09	2	0	8	6	0	0	0	0	0
TCGA-A2-A0T6-01A-11D-A099-09	4	0	4	15	0	0	1	2	0
TCGA-A2-A0T7-01A-21D-A099-09	2	0	3	13	1	0	1	0	2
TCGA-A2-A0YC-01A-11D-A117-09	5	1	10	7	2	0	0	0	5
TCGA-A2-A0YD-01A-11D-A10G-09	27	19	11	11	0	0	17	9	1
TCGA-A2-A0YE-01A-11D-A10G-09	7	0	0	10	1	7	2	4	11
TCGA-A2-A0YF-01A-21D-A10G-09	0	0	0	5	3	19	5	0	7
TCGA-A2-A0YG-01A-21D-A10G-09	5	0	13	14	6	7	4	14	7
TCGA-A2-A0YH-01A-11D-A10G-09	17	29	5	14	0	16	5	9	9
TCGA-A2-A0YI-01A-31D-A10M-09	0	1	0	1	2	5	1	0	5
TCGA-A2-A0YJ-01A-11D-A10G-09	1	5	32	19	9	0	6	9	7
TCGA-A2-A0YK-01A-22D-A117-09	219	220	0	5	0	1	18	5	1
TCGA-A2-A0YL-01A-21D-A10G-09	16	8	0	5	0	7	0	8	5
TCGA-A2-A0YM-01A-11D-A10G-09	12	15	10	23	7	12	7	1	10
TCGA-A2-A0YT-01A-11D-A10G-09	7	1	12	20	14	0	15	1	6
TCGA-A2-A1FV-01A-11D-A13L-09	8	0	9	18	1	1	0	7	0
TCGA-A2-A1FW-01A-11D-A13L-09	1	3	7	20	16	15	7	10	11
TCGA-A2-A1FX-01A-11D-A13L-09	0	0	2	4	1	12	5	3	2
TCGA-A2-A1FZ-01A-51D-A17G-09	0	0	2	4	8	13	0	0	3
TCGA-A2-A1G0-01A-11D-A13L-09	5	0	6	4	0	0	0	5	5
TCGA-A2-A1G1-01A-21D-A13L-09	2	0	18	6	1	3	1	5	5
TCGA-A2-A1G4-01A-11D-A13L-09	5	1	10	7	1	3	0	4	2
TCGA-A2-A1G6-01A-11D-A13L-09	0	2	5	0	3	0	0	0	0
TCGA-A2-A259-01A-11D-A16D-09	4	0	7	5	0	1	0	5	0
TCGA-A2-A25A-01A-12D-A16D-09	33	24	0	0	22	0	30	0	390
TCGA-A2-A25B-01A-11D-A167-09	6	1	32	8	10	21	8	20	21
TCGA-A2-A25C-01A-11D-A167-09	2	0	0	0	7	26	2	1	5
TCGA-A2-A25D-01A-12D-A16D-09	6	4	5	8	7	12	0	11	9
TCGA-A2-A25E-01A-11D-A167-09	6	2	27	2	13	0	3	6	8
TCGA-A2-A25F-01A-11D-A167-09	0	0	3	0	0	0	0	1	3
TCGA-A2-A3KD-01A-12D-A20S-09	2	0	0	8	0	7	0	4	0
TCGA-A2-A3XT-01A-11D-A22X-09	4	28	47	4	15	6	4	8	6
TCGA-A2-A3XU-01A-12D-A22X-09	1	0	7	13	5	0	1	3	3
TCGA-A2-A3XV-01A-21D-A23C-09	0	0	4	9	8	6	4	10	8
TCGA-A2-A3XW-01A-11D-A23C-09	2	0	4	4	0	0	3	0	2
TCGA-A2-A3XX-01A-21D-A23C-09	4	2	18	9	5	0	6	7	9
TCGA-A2-A3XZ-01A-42D-A23C-09	10	14	1	11	1	5	6	6	3
TCGA-A2-A3Y0-01A-11D-A23C-09	11	49	88	17	32	0	5	31	22
TCGA-A2-A4S1-01A-21D-A25Q-09	4	6	32	16	19	1	1	1	18
TCGA-A2-A4S2-01A-12D-A25Q-09	6	0	9	7	6	0	0	5	9
TCGA-A2-A4S3-01A-21D-A25Q-09	4	9	5	15	15	34	5	7	16
TCGA-A7-A0CD-01A-11W-A019-09	0	0	12	14	3	3	0	6	3
TCGA-A7-A0CE-01A-11W-A019-09	8	13	73	7	12	18	10	16	17
TCGA-A7-A0CG-01A-11W-A019-09	19	6	15	22	10	0	5	3	1
TCGA-A7-A0CJ-01A-21W-A019-09	5	3	17	15	18	0	3	16	19
TCGA-A7-A0D9-01A-31W-A071-09	5	1	3	5	5	7	0	0	1
TCGA-A7-A0DA-01A-31D-A10Y-09	9	11	85	11	3	0	8	13	32
TCGA-A7-A0DB-01A-11D-A272-09	15	10	8	12	4	1	2	0	7
TCGA-A7-A13D-01A-13D-A272-09	5	18	59	10	4	10	4	15	15
TCGA-A7-A13E-01A-11D-A272-09	0	0	8	5	5	16	0	5	3
TCGA-A7-A13F-01A-11D-A12Q-09	1	3	0	13	2	16	7	1	0
TCGA-A7-A13G-01A-11D-A13L-09	9	2	6	5	4	0	0	5	0
TCGA-A7-A26E-01A-11D-A272-09	24	0	6	19	4	0	8	0	6
TCGA-A7-A26F-01A-21D-A167-09	4	1	11	14	0	1	5	7	10
TCGA-A7-A26G-01A-21D-A167-09	10	9	15	5	9	0	1	10	14
TCGA-A7-A26H-01A-11D-A167-09	38	39	0	27	0	32	0	2	7
TCGA-A7-A26I-01A-11D-A167-09	8	2	16	5	3	4	2	5	4
TCGA-A7-A26J-01A-11D-A272-09	1	0	4	5	0	26	0	2	3
TCGA-A7-A2KD-01A-31D-A21Q-09	5	2	8	23	2	12	1	4	1
TCGA-A7-A3RF-01A-11D-A228-09	1	0	15	5	8	1	0	7	3
TCGA-A7-A425-01A-11D-A243-09	0	0	3	10	0	18	0	0	10
TCGA-A7-A4SC-01A-12D-A25Q-09	2	0	0	10	1	10	4	1	10
TCGA-A7-A4SD-01A-11D-A25Q-09	1	5	9	25	12	0	3	7	4
TCGA-A7-A4SE-01A-11D-A25Q-09	17	34	48	2	20	0	0	12	19
TCGA-A7-A56D-01A-11D-A27P-09	62	36	21	27	6	7	15	16	3
TCGA-A7-A5ZW-01A-12D-A29N-09	6	7	0	6	11	0	4	2	3
TCGA-A7-A5ZX-01A-12D-A29N-09	5	0	5	5	1	12	5	4	5
TCGA-A7-A6VV-01A-22D-A33E-09	2	7	0	15	1	16	0	14	10
TCGA-A7-A6VW-01A-21D-A33E-09	5	5	35	10	10	0	2	9	13
TCGA-A7-A6VX-01A-12D-A33E-09	30	14	73	6	7	16	1	23	29
TCGA-A7-A6VY-01A-12D-A33E-09	6	20	39	11	14	20	5	14	12
TCGA-A8-A06O-01A-11W-A019-09	1	2	14	42	3	14	1	5	11
TCGA-A8-A06P-01A-11W-A019-09	11	3	19	9	25	0	3	3	14
TCGA-A8-A06Q-01A-11W-A050-09	141	91	0	14	0	41	16	11	0
TCGA-A8-A06R-01A-11D-A015-09	6	3	12	19	7	11	0	9	2
TCGA-A8-A06T-01A-11W-A019-09	1	2	1	0	13	7	0	8	7
TCGA-A8-A06U-01A-11W-A019-09	5	6	12	17	24	10	0	11	8
TCGA-A8-A06X-01A-21W-A019-09	6	17	114	22	38	6	9	33	70
TCGA-A8-A06Y-01A-21W-A019-09	4	4	6	9	0	0	4	1	15
TCGA-A8-A06Z-01A-11W-A019-09	1	1	38	8	3	12	1	14	21
TCGA-A8-A075-01A-11D-A099-09	12	6	15	8	0	35	0	8	6
TCGA-A8-A076-01A-21W-A019-09	8	2	10	28	0	30	8	2	10
TCGA-A8-A079-01A-21W-A019-09	3	7	20	24	0	9	5	21	21
TCGA-A8-A07B-01A-11W-A019-09	13	15	6	7	10	19	0	10	6
TCGA-A8-A07F-01A-11W-A019-09	2	1	6	14	0	8	0	4	5
TCGA-A8-A07G-01A-11W-A050-09	8	1	18	10	17	5	2	18	17
TCGA-A8-A07I-01A-11W-A019-09	0	5	13	19	3	0	5	5	16
TCGA-A8-A07J-01A-11W-A019-09	7	4	16	0	4	46	4	5	8
TCGA-A8-A07L-01A-11W-A019-09	2	6	35	4	21	12	3	20	22
TCGA-A8-A07O-01A-11W-A019-09	17	1	22	17	0	0	5	3	2
TCGA-A8-A07P-01A-11W-A019-09	8	0	18	21	15	0	4	8	8
TCGA-A8-A07U-01A-11W-A050-09	4	18	11	15	0	36	4	14	20
TCGA-A8-A07W-01A-11W-A019-09	5	13	38	31	44	20	3	13	3
TCGA-A8-A07Z-01A-11W-A019-09	0	0	3	6	9	8	0	2	0
TCGA-A8-A081-01A-11W-A019-09	10	20	5	28	11	68	4	0	0
TCGA-A8-A082-01A-11W-A019-09	2	3	4	11	5	2	0	2	0
TCGA-A8-A083-01A-21W-A019-09	2	0	11	0	7	13	2	0	0
TCGA-A8-A085-01A-11W-A019-09	3	21	34	0	3	0	3	22	14
TCGA-A8-A08B-01A-11W-A019-09	16	2	10	8	0	9	8	15	2
TCGA-A8-A08C-01A-11W-A019-09	2	0	5	0	0	0	0	2	0
TCGA-A8-A08F-01A-11W-A019-09	1	6	43	1	40	24	0	13	20
TCGA-A8-A08G-01A-11W-A019-09	2	3	0	13	14	15	5	1	5
TCGA-A8-A08H-01A-21W-A019-09	99	0	78	0	10	16	0	30	10
TCGA-A8-A08J-01A-11W-A019-09	3	1	1	7	0	28	3	0	2
TCGA-A8-A08L-01A-11W-A019-09	40	79	51	4	8	47	1	20	35
TCGA-A8-A08O-01A-21W-A071-09	1	3	10	5	3	2	5	5	1
TCGA-A8-A08P-01A-11W-A019-09	8	12	27	15	16	1	6	6	1
TCGA-A8-A08R-01A-11W-A050-09	6	54	95	12	27	50	5	27	29
TCGA-A8-A08S-01A-11W-A050-09	5	0	16	24	12	0	4	6	4
TCGA-A8-A08T-01A-21W-A019-09	4	4	13	10	4	0	12	15	12
TCGA-A8-A08X-01A-21W-A019-09	0	3	5	11	18	5	0	8	3
TCGA-A8-A08Z-01A-21W-A019-09	7	0	10	17	8	0	0	4	1
TCGA-A8-A090-01A-11W-A019-09	4	2	1	10	0	19	3	3	7
TCGA-A8-A091-01A-11W-A019-09	8	1	1	11	5	0	0	0	7
TCGA-A8-A092-01A-11W-A019-09	38	17	7	9	9	0	10	6	4
TCGA-A8-A093-01A-11W-A019-09	67	18	17	18	0	0	23	5	1
TCGA-A8-A094-01A-11W-A019-09	80	74	27	7	20	11	7	5	0
TCGA-A8-A095-01A-11W-A019-09	93	70	7	6	7	0	15	0	20
TCGA-A8-A096-01A-11W-A019-09	0	0	15	13	11	7	0	0	0
TCGA-A8-A097-01A-11W-A050-09	3	22	37	5	8	8	5	20	29
TCGA-A8-A099-01A-11W-A019-09	0	3	0	9	2	13	0	5	12
TCGA-A8-A09A-01A-11W-A019-09	20	11	56	6	26	64	0	39	54
TCGA-A8-A09B-01A-11W-A019-09	4	2	17	11	0	0	3	13	6
TCGA-A8-A09C-01A-11W-A019-09	0	0	29	6	5	8	0	12	0
TCGA-A8-A09D-01A-11W-A019-09	9	0	15	3	19	12	0	13	1
TCGA-A8-A09E-01A-11W-A019-09	1	0	29	7	3	30	0	24	6
TCGA-A8-A09G-01A-21W-A019-09	126	162	0	1	7	24	9	3	4
TCGA-A8-A09I-01A-22W-A050-09	31	35	0	34	5	56	5	8	0
TCGA-A8-A09K-01A-11W-A019-09	5	0	6	8	5	22	1	8	0
TCGA-A8-A09M-01A-11W-A019-09	1	8	64	11	11	28	10	21	28
TCGA-A8-A09N-01A-11W-A019-09	24	28	46	16	20	20	5	0	0
TCGA-A8-A09Q-01A-11W-A019-09	4	7	59	47	10	41	13	8	9
