NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	56.737	124.334	10.499	77.474	1.35	0.516	30000.0
2	56.48	124.453	10.423	77.422	1.346	0.517	30000.0
3	56.845	124.33	10.497	77.386	1.349	0.519	20000.0
4	56.707	123.799	10.508	77.07	1.333	0.523	30000.0
5	56.706	124.277	10.466	77.384	1.343	0.52	50000.0
6	56.698	123.864	10.517	77.189	1.342	0.523	40000.0
7	56.854	124.86	10.473	77.534	1.353	0.516	40000.0
8	56.791	124.756	10.478	77.589	1.356	0.512	20000.0
9	56.552	123.687	10.47	77.069	1.332	0.525	40000.0
10	56.793	124.234	10.5	77.427	1.343	0.518	20000.0
11	56.682	124.458	10.403	77.399	1.344	0.518	40000.0
12	56.883	124.589	10.555	77.615	1.352	0.516	20000.0
13	57.208	124.998	10.594	77.737	1.365	0.512	30000.0
14	56.778	124.062	10.54	77.191	1.346	0.521	20000.0
15	57.096	124.48	10.571	77.35	1.346	0.52	20000.0
16	56.686	124.288	10.529	77.389	1.343	0.519	30000.0
17	57.036	124.003	10.54	77.161	1.341	0.522	20000.0
18	56.862	124.593	10.518	77.65	1.351	0.513	30000.0
19	56.486	124.05	10.37	77.301	1.34	0.519	30000.0
20	56.731	124.099	10.453	77.131	1.339	0.522	20000.0
21	56.83	124.21	10.47	77.225	1.343	0.521	20000.0
22	56.926	124.57	10.501	77.336	1.349	0.518	20000.0
23	56.661	124.35	10.563	77.471	1.35	0.519	20000.0
24	56.587	124.226	10.476	77.276	1.348	0.52	20000.0
25	56.813	124.377	10.468	77.541	1.349	0.516	30000.0
26	56.753	123.481	10.565	77.034	1.33	0.527	20000.0
27	56.963	124.211	10.56	77.308	1.343	0.521	20000.0
28	56.641	124.318	10.43	77.492	1.347	0.517	30000.0
29	56.885	124.352	10.497	77.317	1.344	0.522	20000.0
30	56.928	124.54	10.588	77.663	1.349	0.514	30000.0
31	56.845	124.165	10.446	77.349	1.347	0.517	30000.0
32	56.929	124.173	10.625	77.409	1.347	0.519	20000.0
33	56.833	124.377	10.573	77.448	1.348	0.52	20000.0
34	56.655	124.446	10.44	77.568	1.348	0.514	40000.0
35	56.922	124.572	10.559	77.609	1.347	0.516	30000.0
36	56.948	124.315	10.517	77.31	1.341	0.522	40000.0
37	57.024	124.366	10.549	77.491	1.349	0.516	30000.0
38	56.894	124.291	10.547	77.312	1.344	0.519	20000.0
39	56.503	124.247	10.376	77.345	1.345	0.517	20000.0
40	56.848	124.612	10.479	77.449	1.353	0.517	20000.0
41	56.448	124.099	10.414	77.209	1.341	0.522	20000.0
42	56.718	123.868	10.572	77.149	1.341	0.524	40000.0
43	56.674	124.064	10.512	77.312	1.344	0.52	30000.0
44	56.704	124.293	10.538	77.214	1.343	0.521	40000.0
45	56.918	124.813	10.549	77.497	1.357	0.514	30000.0
46	56.735	124.499	10.479	77.554	1.349	0.515	20000.0
47	56.498	123.958	10.444	77.171	1.344	0.519	20000.0
48	57.046	124.724	10.502	77.531	1.352	0.516	30000.0
49	56.623	123.958	10.495	77.343	1.343	0.519	20000.0
50	56.602	124.019	10.418	77.304	1.343	0.519	20000.0
51	56.992	124.169	10.538	77.292	1.343	0.52	30000.0
52	56.642	124.0	10.494	77.218	1.34	0.521	20000.0
53	56.591	124.299	10.456	77.41	1.347	0.519	30000.0
54	56.872	123.962	10.538	77.318	1.346	0.519	50000.0
55	56.806	124.526	10.554	77.579	1.345	0.516	20000.0
56	57.109	124.763	10.543	77.442	1.346	0.517	30000.0
57	56.949	124.755	10.458	77.388	1.351	0.516	40000.0
58	56.832	124.456	10.514	77.354	1.347	0.521	40000.0
59	56.524	123.861	10.474	76.978	1.338	0.525	20000.0
60	56.722	124.398	10.51	77.373	1.342	0.522	40000.0
61	56.487	124.032	10.429	77.264	1.341	0.52	20000.0
62	56.865	124.242	10.587	77.374	1.345	0.52	20000.0
63	56.968	124.586	10.553	77.446	1.35	0.517	40000.0
64	56.643	124.201	10.521	77.539	1.347	0.515	30000.0
65	56.85	124.642	10.491	77.295	1.352	0.517	20000.0
66	57.203	124.777	10.612	77.638	1.355	0.514	30000.0
67	57.094	124.883	10.537	77.626	1.361	0.513	40000.0
68	56.657	124.04	10.534	77.335	1.339	0.52	20000.0
69	56.512	124.18	10.435	77.195	1.35	0.519	20000.0
70	56.669	124.342	10.49	77.349	1.35	0.518	20000.0
71	56.51	124.254	10.503	77.43	1.343	0.518	20000.0
72	56.87	124.505	10.55	77.577	1.35	0.517	20000.0
73	56.73	124.009	10.497	77.332	1.335	0.521	20000.0
74	56.602	124.188	10.444	77.346	1.345	0.518	40000.0
75	56.74	124.079	10.437	77.284	1.338	0.52	20000.0
76	56.852	124.443	10.466	77.257	1.347	0.518	20000.0
77	56.684	124.012	10.471	77.279	1.35	0.518	20000.0
78	56.72	124.347	10.507	77.375	1.35	0.519	20000.0
79	56.984	124.718	10.531	77.529	1.355	0.515	40000.0
80	56.755	124.563	10.501	77.38	1.346	0.517	30000.0
81	56.532	123.988	10.444	77.156	1.341	0.521	20000.0
82	56.787	124.165	10.438	77.272	1.347	0.518	40000.0
83	56.72	124.191	10.565	77.286	1.346	0.521	40000.0
84	56.616	124.324	10.449	77.457	1.344	0.516	20000.0
85	56.873	124.207	10.525	77.421	1.344	0.518	20000.0
86	56.712	124.189	10.581	77.299	1.342	0.522	30000.0
87	56.789	124.175	10.593	77.619	1.342	0.515	20000.0
88	56.786	124.408	10.496	77.464	1.35	0.519	20000.0
89	56.351	123.75	10.427	77.004	1.342	0.522	30000.0
90	57.082	124.724	10.542	77.624	1.358	0.512	20000.0
91	56.693	124.487	10.42	77.344	1.345	0.518	30000.0
92	56.879	123.982	10.539	77.313	1.34	0.519	50000.0
93	56.484	124.015	10.399	77.219	1.34	0.521	40000.0
94	56.977	124.144	10.554	77.324	1.341	0.519	40000.0
95	56.87	124.35	10.584	77.481	1.349	0.519	40000.0
96	57.026	124.743	10.581	77.652	1.351	0.516	40000.0
97	56.785	124.083	10.522	77.272	1.338	0.52	30000.0
98	56.867	124.54	10.53	77.383	1.344	0.52	40000.0
99	56.82	124.502	10.539	77.378	1.34	0.519	20000.0
100	57.012	124.792	10.565	77.732	1.354	0.513	20000.0
