NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	34.376	159.928	7.629	92.704	2.256	0.277	20000.0
2	34.339	159.92	7.647	92.705	2.268	0.276	20000.0
3	34.337	159.95	7.681	92.629	2.263	0.28	20000.0
4	34.506	160.179	7.655	92.697	2.262	0.277	20000.0
5	34.372	160.064	7.7	92.641	2.255	0.281	20000.0
6	34.268	159.566	7.681	92.615	2.259	0.281	20000.0
7	34.388	160.087	7.659	92.583	2.267	0.279	20000.0
8	34.558	160.454	7.715	92.845	2.283	0.273	20000.0
9	34.432	159.741	7.643	92.596	2.257	0.279	20000.0
10	34.355	159.946	7.651	92.604	2.276	0.277	20000.0
11	34.481	159.967	7.666	92.653	2.265	0.277	20000.0
12	34.422	160.479	7.676	92.845	2.279	0.272	40000.0
13	34.306	159.532	7.686	92.58	2.259	0.282	20000.0
14	34.453	160.357	7.709	92.838	2.288	0.272	40000.0
15	34.314	160.027	7.688	92.638	2.267	0.278	30000.0
16	34.466	160.379	7.689	92.773	2.268	0.275	20000.0
17	34.458	160.496	7.657	92.757	2.272	0.275	20000.0
18	34.357	159.897	7.608	92.537	2.257	0.281	20000.0
19	34.202	159.885	7.585	92.525	2.262	0.279	40000.0
20	34.309	159.781	7.61	92.533	2.254	0.281	20000.0
21	34.327	159.687	7.656	92.562	2.261	0.28	20000.0
22	34.396	160.326	7.685	92.736	2.269	0.275	20000.0
23	34.459	160.53	7.648	92.756	2.275	0.275	30000.0
24	34.397	160.1	7.698	92.64	2.271	0.279	40000.0
25	34.494	159.842	7.685	92.596	2.265	0.279	20000.0
26	34.162	159.494	7.621	92.554	2.257	0.28	30000.0
27	34.4	160.136	7.673	92.71	2.268	0.276	30000.0
28	34.464	160.582	7.684	92.779	2.274	0.275	20000.0
29	34.331	160.035	7.617	92.615	2.272	0.278	40000.0
30	34.431	159.933	7.664	92.588	2.263	0.279	20000.0
31	34.38	160.0	7.666	92.707	2.266	0.277	20000.0
32	34.388	159.947	7.597	92.459	2.264	0.281	20000.0
33	34.431	160.329	7.659	92.724	2.277	0.275	30000.0
34	34.298	159.646	7.616	92.554	2.263	0.28	20000.0
35	34.724	160.602	7.743	92.871	2.272	0.274	30000.0
36	34.469	160.031	7.654	92.637	2.267	0.276	20000.0
37	34.386	160.061	7.672	92.698	2.269	0.277	30000.0
38	34.206	159.92	7.63	92.609	2.264	0.28	20000.0
