NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	72.573	121.363	13.927	77.811	1.293	0.5	20000.0
2	71.819	120.635	13.785	77.347	1.276	0.506	30000.0
3	74.666	122.238	14.762	77.251	1.282	0.515	30000.0
4	71.965	121.102	13.808	77.848	1.29	0.496	20000.0
5	72.415	121.184	13.902	77.786	1.288	0.499	20000.0
6	72.403	120.691	13.799	77.48	1.278	0.505	30000.0
7	74.62	122.269	14.778	77.297	1.285	0.513	30000.0
8	73.997	121.806	14.635	77.155	1.278	0.516	40000.0
9	72.607	121.497	13.985	77.795	1.292	0.499	40000.0
10	74.443	122.132	14.68	77.152	1.275	0.517	30000.0
11	74.721	122.148	14.719	77.368	1.278	0.514	20000.0
12	72.925	122.0	14.013	78.128	1.301	0.495	20000.0
13	74.038	121.472	14.589	76.825	1.268	0.522	30000.0
14	74.583	122.317	14.703	77.353	1.286	0.514	20000.0
15	74.262	121.621	14.787	77.033	1.272	0.52	30000.0
16	74.547	122.205	14.812	77.374	1.276	0.514	20000.0
17	72.431	121.524	13.924	77.824	1.29	0.5	20000.0
18	72.782	121.642	14.014	77.926	1.29	0.498	30000.0
19	74.281	121.746	14.763	77.231	1.28	0.514	20000.0
20	72.811	121.759	14.001	77.914	1.299	0.496	20000.0
21	72.105	120.989	13.833	77.641	1.284	0.504	40000.0
22	74.203	121.599	14.637	77.031	1.273	0.517	30000.0
23	72.681	121.707	13.942	77.984	1.298	0.495	30000.0
24	72.269	121.432	13.796	77.962	1.291	0.497	40000.0
25	72.778	121.765	14.003	77.966	1.297	0.498	40000.0
26	72.618	121.682	13.962	77.972	1.3	0.496	30000.0
27	72.698	121.354	13.9	77.762	1.287	0.501	30000.0
28	74.232	122.062	14.615	77.127	1.278	0.515	20000.0
29	72.532	121.406	13.962	77.878	1.291	0.499	20000.0
30	74.501	122.123	14.768	77.192	1.281	0.515	20000.0
31	72.422	121.445	13.827	77.788	1.291	0.498	40000.0
32	72.603	121.461	13.925	77.783	1.29	0.499	40000.0
33	74.111	121.564	14.674	77.14	1.273	0.517	20000.0
34	72.003	120.986	13.854	77.586	1.284	0.504	20000.0
35	72.394	121.366	13.88	77.819	1.295	0.499	20000.0
36	72.669	121.442	13.931	77.878	1.289	0.497	20000.0
37	72.414	121.581	13.916	78.079	1.301	0.492	30000.0
38	74.592	122.096	14.782	77.369	1.278	0.517	20000.0
39	74.38	121.987	14.704	77.066	1.277	0.519	30000.0
40	72.667	121.421	13.916	78.025	1.292	0.496	20000.0
41	72.751	121.396	13.986	77.629	1.29	0.503	20000.0
42	72.55	121.293	13.934	77.844	1.292	0.499	30000.0
43	72.313	121.126	13.895	77.864	1.294	0.498	30000.0
44	72.466	121.792	13.906	77.969	1.296	0.495	30000.0
45	74.256	121.793	14.667	77.206	1.275	0.514	40000.0
46	72.742	121.485	13.927	77.886	1.292	0.499	20000.0
47	72.466	121.464	13.91	77.749	1.29	0.5	20000.0
48	74.55	122.012	14.69	77.318	1.275	0.513	20000.0
49	72.522	121.505	13.899	77.91	1.291	0.498	30000.0
50	72.587	121.522	13.95	77.89	1.296	0.497	40000.0
51	74.391	122.113	14.771	77.308	1.281	0.514	40000.0
52	72.493	121.519	13.924	77.823	1.295	0.499	30000.0
53	72.138	120.985	13.771	77.475	1.285	0.504	30000.0
54	72.438	121.441	13.938	77.853	1.29	0.499	30000.0
55	72.505	121.605	13.883	77.931	1.295	0.496	50000.0
56	72.494	121.179	13.859	77.594	1.286	0.502	40000.0
57	74.532	122.276	14.747	77.143	1.278	0.516	30000.0
58	73.978	121.548	14.557	76.953	1.274	0.521	30000.0
59	72.077	120.923	13.848	77.599	1.284	0.502	20000.0
60	74.645	121.971	14.868	77.242	1.274	0.517	20000.0
61	72.31	121.568	13.85	77.819	1.297	0.498	30000.0
62	74.333	121.922	14.693	77.094	1.277	0.516	30000.0
63	74.378	121.873	14.666	77.138	1.276	0.518	20000.0
64	74.467	122.025	14.687	77.214	1.279	0.516	30000.0
65	72.895	121.494	13.988	78.004	1.293	0.495	20000.0
66	72.353	121.189	13.91	77.66	1.288	0.503	30000.0
67	74.524	122.418	14.707	77.306	1.286	0.51	20000.0
68	74.585	122.465	14.77	77.506	1.284	0.51	30000.0
69	72.679	121.324	14.037	77.822	1.294	0.501	20000.0
70	74.215	122.171	14.574	77.35	1.284	0.513	30000.0
71	74.838	122.196	14.821	77.326	1.284	0.513	20000.0
72	72.811	121.579	14.071	77.963	1.298	0.498	20000.0
73	72.804	121.518	13.952	77.9	1.291	0.498	30000.0
74	72.242	121.177	13.867	77.647	1.285	0.502	30000.0
75	74.467	121.861	14.778	77.229	1.279	0.514	40000.0
76	74.104	121.566	14.641	77.061	1.27	0.518	30000.0
77	74.306	121.653	14.714	77.003	1.273	0.518	20000.0
78	74.228	121.668	14.699	77.127	1.273	0.518	30000.0
79	72.358	121.087	13.875	77.622	1.284	0.504	30000.0
80	72.572	121.505	13.911	77.87	1.289	0.499	20000.0
81	74.62	122.322	14.738	77.299	1.28	0.515	20000.0
82	72.827	121.717	13.998	78.194	1.299	0.492	20000.0
83	74.189	121.894	14.68	77.159	1.277	0.517	20000.0
84	74.584	121.857	14.695	76.937	1.274	0.519	30000.0
85	74.594	122.108	14.74	77.454	1.282	0.513	20000.0
86	74.181	121.942	14.666	77.239	1.285	0.514	30000.0
87	74.351	121.582	14.753	77.099	1.273	0.519	30000.0
88	74.139	121.6	14.542	76.888	1.274	0.521	40000.0
89	72.147	120.9	13.793	77.53	1.282	0.504	30000.0
90	74.342	121.64	14.71	77.028	1.274	0.517	20000.0
91	74.468	121.894	14.813	77.265	1.279	0.515	50000.0
92	74.388	122.289	14.633	77.203	1.279	0.516	20000.0
93	74.136	121.605	14.695	76.978	1.277	0.518	20000.0
94	72.418	121.417	13.878	77.782	1.29	0.502	20000.0
95	74.44	122.03	14.713	77.146	1.283	0.516	50000.0
96	74.647	122.218	14.837	77.371	1.278	0.515	20000.0
97	74.304	121.338	14.676	76.848	1.269	0.52	30000.0
98	72.771	121.677	13.938	77.973	1.292	0.497	20000.0
99	72.22	121.241	13.928	77.709	1.291	0.502	30000.0
100	74.272	122.331	14.677	77.398	1.284	0.512	20000.0
