NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	62.536	126.82	12.205	79.857	1.401	0.476	20000.0
2	64.126	127.503	12.825	79.274	1.385	0.492	20000.0
3	64.425	127.574	12.9	79.276	1.389	0.493	40000.0
4	64.079	127.062	12.797	79.034	1.373	0.497	30000.0
5	62.761	126.854	12.278	79.789	1.395	0.478	30000.0
6	62.654	126.316	12.25	79.581	1.393	0.483	40000.0
7	62.829	127.339	12.249	79.989	1.405	0.473	20000.0
8	62.785	127.354	12.218	79.938	1.409	0.473	20000.0
9	63.905	126.936	12.747	79.036	1.373	0.498	20000.0
10	62.753	126.694	12.26	79.771	1.393	0.479	20000.0
11	62.579	126.834	12.145	79.743	1.395	0.478	20000.0
12	62.708	126.814	12.271	79.865	1.403	0.476	40000.0
13	64.552	128.208	12.924	79.706	1.405	0.485	20000.0
14	62.656	126.65	12.298	79.663	1.399	0.479	20000.0
15	64.337	127.484	12.839	79.15	1.383	0.496	40000.0
16	62.639	126.853	12.255	79.786	1.395	0.478	30000.0
17	62.926	126.794	12.313	79.866	1.394	0.479	20000.0
18	62.898	127.059	12.303	80.056	1.402	0.471	20000.0
19	62.515	126.442	12.121	79.669	1.39	0.48	20000.0
20	64.17	127.395	12.811	79.084	1.38	0.496	40000.0
21	64.175	127.442	12.787	79.186	1.383	0.494	20000.0
22	62.887	127.222	12.236	79.89	1.401	0.476	20000.0
23	62.604	126.728	12.312	79.777	1.401	0.479	20000.0
24	62.529	126.686	12.214	79.731	1.399	0.477	20000.0
25	64.289	127.697	12.852	79.502	1.389	0.489	20000.0
26	64.06	126.662	12.819	78.969	1.37	0.501	20000.0
27	62.857	126.68	12.274	79.708	1.391	0.482	20000.0
28	62.625	126.883	12.212	79.914	1.401	0.476	30000.0
29	62.677	126.759	12.226	79.711	1.394	0.482	30000.0
30	64.414	127.778	12.949	79.517	1.388	0.489	40000.0
31	62.537	126.603	12.165	79.696	1.398	0.478	40000.0
32	62.719	126.692	12.321	79.788	1.396	0.48	20000.0
33	62.711	126.808	12.361	79.878	1.398	0.477	40000.0
34	62.769	126.764	12.233	79.828	1.397	0.475	20000.0
35	64.382	127.764	12.891	79.498	1.386	0.49	40000.0
36	64.315	127.408	12.772	79.123	1.379	0.497	30000.0
37	63.027	126.795	12.339	79.837	1.399	0.477	20000.0
38	62.78	126.854	12.297	79.807	1.396	0.477	30000.0
39	62.308	126.597	12.09	79.634	1.394	0.479	20000.0
40	62.821	127.061	12.23	79.825	1.404	0.477	40000.0
41	64.092	127.357	12.798	79.08	1.38	0.497	40000.0
42	64.133	127.002	12.887	79.042	1.38	0.498	30000.0
43	62.606	126.514	12.247	79.718	1.393	0.48	30000.0
44	62.393	126.801	12.192	79.726	1.394	0.479	20000.0
45	64.384	128.204	12.859	79.512	1.398	0.487	20000.0
46	62.676	126.811	12.246	79.863	1.398	0.475	40000.0
47	62.49	126.536	12.21	79.651	1.395	0.477	20000.0
48	62.89	127.053	12.222	79.818	1.402	0.475	20000.0
49	62.429	126.449	12.197	79.758	1.395	0.477	30000.0
50	62.523	126.463	12.182	79.629	1.393	0.478	20000.0
51	62.948	126.816	12.284	79.774	1.394	0.478	40000.0
52	64.155	127.032	12.794	79.068	1.378	0.496	20000.0
53	63.957	127.333	12.738	79.272	1.386	0.494	20000.0
54	64.178	127.343	12.808	79.347	1.387	0.491	30000.0
55	64.296	127.46	12.87	79.265	1.383	0.492	20000.0
56	62.957	127.16	12.258	79.814	1.398	0.476	20000.0
57	62.779	127.147	12.135	79.738	1.401	0.476	20000.0
58	62.747	126.88	12.243	79.697	1.397	0.481	30000.0
59	64.006	127.099	12.882	79.015	1.38	0.498	40000.0
60	64.151	127.606	12.866	79.298	1.382	0.496	20000.0
61	62.465	126.39	12.185	79.646	1.391	0.479	20000.0
62	64.172	127.438	12.882	79.3	1.385	0.493	40000.0
63	62.911	126.947	12.336	79.791	1.399	0.477	20000.0
64	62.405	126.384	12.218	79.704	1.395	0.478	30000.0
65	64.308	127.839	12.797	79.24	1.392	0.491	30000.0
66	64.645	127.856	12.967	79.499	1.394	0.489	40000.0
67	64.37	127.886	12.868	79.476	1.401	0.488	20000.0
68	64.134	127.223	12.883	79.278	1.379	0.494	30000.0
69	63.99	127.703	12.761	79.249	1.393	0.491	30000.0
70	62.632	126.862	12.26	79.695	1.402	0.478	20000.0
71	62.463	126.804	12.192	79.762	1.395	0.479	30000.0
72	62.77	126.98	12.286	79.879	1.402	0.478	40000.0
73	64.239	127.127	12.835	79.165	1.373	0.495	40000.0
74	64.334	127.253	12.886	79.2	1.382	0.495	20000.0
75	64.252	127.219	12.815	79.18	1.377	0.494	40000.0
76	62.804	127.07	12.224	79.774	1.399	0.475	20000.0
77	62.633	126.683	12.205	79.757	1.401	0.477	20000.0
78	64.308	127.767	12.922	79.477	1.392	0.49	30000.0
79	62.9	127.119	12.335	79.96	1.406	0.474	20000.0
80	64.141	127.785	12.805	79.324	1.387	0.491	30000.0
81	62.6	126.642	12.194	79.634	1.392	0.481	20000.0
82	64.443	127.423	12.884	79.207	1.388	0.492	20000.0
83	64.213	127.368	12.897	79.252	1.386	0.495	20000.0
84	62.629	126.797	12.232	79.887	1.398	0.475	20000.0
85	62.899	126.73	12.294	79.791	1.395	0.478	20000.0
86	64.08	127.554	12.886	79.262	1.384	0.495	40000.0
87	64.29	127.419	12.961	79.392	1.381	0.49	20000.0
88	62.812	126.971	12.286	79.833	1.402	0.479	20000.0
89	62.377	126.464	12.19	79.523	1.397	0.48	30000.0
90	62.954	127.235	12.261	79.936	1.41	0.473	20000.0
91	62.591	126.699	12.192	79.717	1.394	0.479	20000.0
92	62.73	126.533	12.233	79.649	1.392	0.481	20000.0
93	62.406	126.447	12.163	79.583	1.39	0.48	30000.0
94	64.275	127.242	12.878	79.223	1.382	0.494	30000.0
95	64.019	127.341	12.829	79.246	1.386	0.494	20000.0
96	62.972	127.278	12.347	80.065	1.402	0.475	40000.0
97	62.786	126.658	12.259	79.773	1.39	0.478	30000.0
98	62.847	127.075	12.276	79.75	1.395	0.48	20000.0
99	62.67	126.854	12.207	79.687	1.392	0.479	20000.0
100	64.458	127.728	12.935	79.572	1.393	0.488	30000.0
