Samples	SBS96A	SBS96B
TCGA-3C-AAAU-01A-11D-A41F-09	27	3
TCGA-3C-AALI-01A-11D-A41F-09	21	526
TCGA-3C-AALJ-01A-31D-A41F-09	36	6
TCGA-3C-AALK-01A-11D-A41F-09	43	11
TCGA-4H-AAAK-01A-12D-A41F-09	27	0
TCGA-5L-AAT0-01A-12D-A41F-09	15	174
TCGA-5L-AAT1-01A-12D-A41F-09	0	1377
TCGA-5T-A9QA-01A-11D-A41F-09	45	1
TCGA-A1-A0SD-01A-11D-A10Y-09	31	2
TCGA-A1-A0SE-01A-11D-A099-09	22	7
TCGA-A1-A0SF-01A-11D-A142-09	14	34
TCGA-A1-A0SG-01A-11D-A142-09	19	3
TCGA-A1-A0SH-01A-11D-A099-09	20	85
TCGA-A1-A0SI-01A-11D-A142-09	0	204
TCGA-A1-A0SJ-01A-11D-A099-09	17	3
TCGA-A1-A0SK-01A-12D-A099-09	63	4
TCGA-A1-A0SM-01A-11D-A099-09	28	1
TCGA-A1-A0SN-01A-11D-A142-09	49	20
TCGA-A1-A0SO-01A-22D-A099-09	255	48
TCGA-A1-A0SP-01A-11D-A099-09	42	4
TCGA-A1-A0SQ-01A-21D-A142-09	24	5
TCGA-A2-A04N-01A-11D-A10Y-09	35	9
TCGA-A2-A04P-01A-31D-A128-09	115	21
TCGA-A2-A04Q-01A-21W-A050-09	45	11
TCGA-A2-A04R-01A-41D-A117-09	67	16
TCGA-A2-A04T-01A-21W-A050-09	71	18
TCGA-A2-A04U-01A-11D-A10Y-09	47	4
TCGA-A2-A04V-01A-21W-A050-09	31	7
TCGA-A2-A04W-01A-31D-A10Y-09	47	108
TCGA-A2-A04X-01A-21W-A050-09	17	18
TCGA-A2-A04Y-01A-21W-A050-09	38	17
TCGA-A2-A0CK-01A-11D-A228-09	23	3
TCGA-A2-A0CL-01A-11D-A10Y-09	24	114
TCGA-A2-A0CM-01A-31W-A050-09	26	39
TCGA-A2-A0CP-01A-11W-A050-09	112	9
TCGA-A2-A0CQ-01A-21W-A050-09	46	3
TCGA-A2-A0CR-01A-11D-A228-09	0	155
TCGA-A2-A0CS-01A-11D-A10Y-09	39	0
TCGA-A2-A0CT-01A-31W-A071-09	75	35
TCGA-A2-A0CU-01A-12W-A050-09	42	8
TCGA-A2-A0CV-01A-31D-A10Y-09	19	0
TCGA-A2-A0CW-01A-21D-A10Y-09	31	19
TCGA-A2-A0CX-01A-21W-A019-09	53	246
TCGA-A2-A0D0-01A-11W-A019-09	65	12
TCGA-A2-A0D1-01A-11W-A050-09	69	23
TCGA-A2-A0D2-01A-21W-A050-09	69	18
TCGA-A2-A0D3-01A-11D-A10Y-09	28	0
TCGA-A2-A0D4-01A-11W-A019-09	30	6
TCGA-A2-A0EM-01A-11W-A050-09	39	2
TCGA-A2-A0EN-01A-13D-A099-09	28	2
TCGA-A2-A0EO-01A-11W-A050-09	36	6
TCGA-A2-A0EP-01A-52D-A22X-09	8	7
TCGA-A2-A0EQ-01A-11W-A050-09	35	213
TCGA-A2-A0ER-01A-21W-A050-09	37	2
TCGA-A2-A0ES-01A-11D-A10Y-09	12	0
TCGA-A2-A0ET-01A-31D-A045-09	44	5
TCGA-A2-A0EU-01A-22W-A071-09	40	2
TCGA-A2-A0EV-01A-11W-A050-09	56	12
TCGA-A2-A0EW-01A-21D-A10Y-09	16	1
TCGA-A2-A0EX-01A-21W-A050-09	23	6
TCGA-A2-A0EY-01A-11W-A050-09	75	179
TCGA-A2-A0ST-01A-12D-A099-09	14	5
TCGA-A2-A0SU-01A-11D-A099-09	25	1
TCGA-A2-A0SV-01A-11D-A099-09	38	0
TCGA-A2-A0SW-01A-11D-A099-09	37	20
TCGA-A2-A0SX-01A-12D-A099-09	30	9
TCGA-A2-A0SY-01A-31D-A099-09	25	105
TCGA-A2-A0T0-01A-22D-A099-09	142	32
TCGA-A2-A0T1-01A-21D-A099-09	23	0
TCGA-A2-A0T2-01A-11W-A097-09	22	4
TCGA-A2-A0T3-01A-21D-A10Y-09	31	2
TCGA-A2-A0T4-01A-31D-A099-09	27	0
TCGA-A2-A0T5-01A-21D-A099-09	7	1
TCGA-A2-A0T6-01A-11D-A099-09	18	2
TCGA-A2-A0T7-01A-21D-A099-09	20	1
TCGA-A2-A0YC-01A-11D-A117-09	18	6
TCGA-A2-A0YD-01A-11D-A10G-09	29	36
TCGA-A2-A0YE-01A-11D-A10G-09	27	3
TCGA-A2-A0YF-01A-21D-A10G-09	28	1
TCGA-A2-A0YG-01A-21D-A10G-09	55	7
TCGA-A2-A0YH-01A-11D-A10G-09	44	45
TCGA-A2-A0YI-01A-31D-A10M-09	11	3
TCGA-A2-A0YJ-01A-11D-A10G-09	73	1
TCGA-A2-A0YK-01A-22D-A117-09	0	390
TCGA-A2-A0YL-01A-21D-A10G-09	11	22
TCGA-A2-A0YM-01A-11D-A10G-09	54	15
TCGA-A2-A0YT-01A-11D-A10G-09	55	8
TCGA-A2-A1FV-01A-11D-A13L-09	31	4
TCGA-A2-A1FW-01A-11D-A13L-09	68	4
TCGA-A2-A1FX-01A-11D-A13L-09	23	3
TCGA-A2-A1FZ-01A-51D-A17G-09	23	1
TCGA-A2-A1G0-01A-11D-A13L-09	15	6
TCGA-A2-A1G1-01A-21D-A13L-09	29	4
