NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	80.742	118.443	15.811	75.823	1.206	0.536	40000.0
2	80.077	118.032	15.668	75.739	1.204	0.538	20000.0
3	80.486	118.637	15.659	76.028	1.216	0.53	20000.0
4	80.932	118.978	15.817	76.146	1.213	0.53	30000.0
5	80.234	118.086	15.652	75.807	1.203	0.536	20000.0
6	78.455	117.74	14.904	76.499	1.217	0.519	20000.0
7	78.428	117.943	14.941	76.622	1.221	0.517	40000.0
8	79.872	118.364	15.552	75.574	1.207	0.539	30000.0
9	78.323	118.09	14.841	76.573	1.225	0.517	30000.0
10	80.127	117.998	15.701	75.654	1.199	0.537	20000.0
11	80.887	118.773	15.732	75.989	1.211	0.533	20000.0
12	80.337	118.734	15.668	76.105	1.217	0.528	20000.0
13	80.164	118.09	15.653	75.597	1.2	0.541	20000.0
14	78.118	117.967	14.884	76.584	1.222	0.514	20000.0
15	78.597	118.06	14.936	76.734	1.216	0.515	20000.0
16	78.426	117.929	14.902	76.698	1.22	0.515	20000.0
17	78.873	118.764	14.945	76.933	1.237	0.51	20000.0
18	78.668	118.167	15.005	76.658	1.224	0.516	30000.0
19	80.29	118.444	15.739	75.863	1.206	0.537	40000.0
20	78.418	117.601	14.877	76.386	1.213	0.521	30000.0
21	80.777	118.327	15.823	75.801	1.205	0.536	20000.0
22	78.51	117.777	14.871	76.375	1.212	0.519	20000.0
23	78.234	117.786	14.869	76.578	1.221	0.514	40000.0
24	77.978	117.696	14.729	76.433	1.215	0.517	40000.0
25	80.606	118.415	15.845	75.865	1.205	0.537	20000.0
26	80.555	118.436	15.763	75.791	1.209	0.535	30000.0
27	80.795	118.589	15.776	76.026	1.21	0.531	30000.0
28	78.755	118.209	14.956	76.802	1.222	0.513	40000.0
29	80.808	118.776	15.826	76.2	1.215	0.53	20000.0
30	78.407	117.972	14.939	76.472	1.222	0.518	40000.0
31	78.538	118.087	14.971	76.756	1.223	0.514	30000.0
32	80.889	118.87	15.817	76.206	1.216	0.53	30000.0
33	80.81	119.157	15.726	76.159	1.222	0.527	40000.0
34	78.378	117.862	14.918	76.53	1.222	0.517	30000.0
35	80.575	118.429	15.856	75.899	1.209	0.535	20000.0
36	80.613	118.631	15.785	76.023	1.212	0.532	20000.0
37	78.604	118.359	14.88	76.691	1.228	0.515	30000.0
38	77.998	117.402	14.789	76.285	1.21	0.521	20000.0
39	80.566	118.514	15.78	75.999	1.208	0.533	20000.0
40	80.371	118.636	15.725	75.967	1.21	0.532	60000.0
41	80.794	118.835	15.735	75.994	1.214	0.533	30000.0
42	78.478	118.536	14.903	76.745	1.228	0.514	30000.0
43	80.596	118.308	15.738	75.781	1.205	0.536	30000.0
44	80.644	118.871	15.793	76.206	1.218	0.528	30000.0
45	78.248	117.786	14.845	76.488	1.217	0.518	20000.0
46	78.436	117.733	14.831	76.492	1.218	0.515	20000.0
47	80.388	118.374	15.71	75.837	1.207	0.536	30000.0
48	78.561	117.856	14.898	76.568	1.217	0.516	30000.0
49	80.425	118.484	15.744	75.814	1.209	0.534	30000.0
50	80.821	118.241	15.78	75.845	1.205	0.536	20000.0
51	80.59	118.426	15.746	75.856	1.208	0.534	50000.0
52	80.347	118.323	15.726	75.892	1.207	0.533	30000.0
53	80.519	118.76	15.735	76.09	1.216	0.528	30000.0
54	78.813	118.208	14.987	76.715	1.223	0.515	20000.0
55	78.53	117.638	15.036	76.294	1.214	0.522	30000.0
56	80.798	118.886	15.8	76.124	1.216	0.531	20000.0
57	80.525	118.381	15.757	76.002	1.212	0.531	20000.0
58	80.502	118.56	15.898	75.973	1.208	0.535	30000.0
59	80.621	118.672	15.743	75.977	1.212	0.533	30000.0
60	78.589	118.049	14.941	76.708	1.221	0.516	20000.0
61	78.573	118.114	14.98	76.569	1.228	0.516	30000.0
62	78.275	118.05	14.844	76.525	1.218	0.516	40000.0
63	78.364	118.098	14.904	76.677	1.223	0.516	20000.0
64	80.135	117.71	15.645	75.616	1.194	0.541	30000.0
65	78.652	118.131	15.012	76.578	1.225	0.516	30000.0
66	78.504	117.938	14.883	76.499	1.219	0.519	20000.0
67	80.337	118.212	15.676	75.705	1.203	0.537	30000.0
68	78.412	118.031	14.813	76.59	1.219	0.516	20000.0
69	78.707	118.025	14.969	76.588	1.227	0.516	30000.0
70	78.684	118.115	14.967	76.686	1.221	0.515	40000.0
71	80.503	118.531	15.78	76.023	1.214	0.53	30000.0
72	80.542	118.197	15.703	75.793	1.206	0.535	30000.0
73	80.613	118.473	15.76	76.083	1.211	0.534	20000.0
74	78.35	117.959	14.798	76.621	1.217	0.517	30000.0
75	80.681	118.695	15.833	75.931	1.214	0.533	20000.0
76	78.461	117.888	14.831	76.625	1.221	0.514	30000.0
77	79.005	118.533	15.121	76.944	1.229	0.512	30000.0
78	78.207	117.942	14.848	76.488	1.221	0.518	30000.0
79	80.551	118.389	15.751	76.001	1.208	0.531	20000.0
80	80.884	118.846	15.804	76.133	1.214	0.53	40000.0
81	80.536	118.665	15.677	76.011	1.211	0.533	30000.0
82	80.533	118.477	15.76	75.954	1.213	0.535	20000.0
83	80.879	118.682	15.854	76.075	1.21	0.533	30000.0
84	78.282	117.8	14.833	76.456	1.216	0.519	20000.0
85	78.517	117.961	14.927	76.511	1.221	0.519	20000.0
86	78.239	117.886	14.82	76.567	1.221	0.515	30000.0
87	80.664	118.426	15.779	75.92	1.206	0.535	30000.0
88	78.372	118.021	14.917	76.547	1.225	0.516	20000.0
89	80.691	118.701	15.85	76.121	1.21	0.53	20000.0
90	78.359	118.069	14.897	76.488	1.223	0.517	20000.0
91	80.89	118.566	15.832	76.008	1.206	0.533	30000.0
92	78.357	117.437	14.967	76.29	1.207	0.524	20000.0
93	79.015	118.314	15.076	76.765	1.229	0.515	40000.0
94	80.703	118.541	15.726	75.87	1.209	0.533	20000.0
95	80.404	118.493	15.687	75.795	1.213	0.534	40000.0
96	78.398	117.58	14.942	76.368	1.211	0.52	20000.0
97	78.563	117.994	14.933	76.594	1.221	0.517	20000.0
98	80.754	119.026	15.736	76.035	1.213	0.531	20000.0
99	80.654	118.239	15.771	75.657	1.2	0.54	30000.0
100	80.666	118.606	15.776	75.92	1.21	0.533	40000.0
