NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	110.281	121.57	22.213	84.472	1.272	0.441	40000.0
2	110.045	121.96	22.195	84.696	1.283	0.437	20000.0
3	109.783	121.182	22.2	84.479	1.27	0.441	40000.0
4	110.031	121.653	22.258	84.654	1.279	0.438	20000.0
5	110.088	121.39	22.151	84.446	1.269	0.442	20000.0
6	110.049	121.662	22.248	84.599	1.282	0.438	30000.0
7	110.49	121.575	22.224	84.489	1.279	0.44	20000.0
8	110.159	121.517	22.162	84.541	1.275	0.439	20000.0
9	109.884	121.304	22.193	84.454	1.27	0.442	20000.0
10	110.254	121.403	22.333	84.702	1.271	0.44	20000.0
11	110.254	121.688	22.16	84.543	1.279	0.438	20000.0
12	110.039	121.584	22.033	84.631	1.27	0.438	20000.0
13	109.852	121.707	22.22	84.595	1.284	0.437	30000.0
14	110.183	121.519	22.228	84.598	1.274	0.439	30000.0
15	110.246	121.663	22.256	84.711	1.278	0.437	30000.0
16	109.893	121.404	22.115	84.491	1.273	0.439	20000.0
17	109.988	121.67	22.178	84.621	1.28	0.439	30000.0
18	110.186	121.782	22.253	84.506	1.283	0.44	30000.0
19	110.229	121.436	22.223	84.515	1.275	0.441	20000.0
20	110.233	121.603	22.339	84.67	1.277	0.439	30000.0
21	109.903	121.538	22.236	84.538	1.274	0.442	20000.0
22	110.55	121.976	22.3	84.712	1.28	0.437	20000.0
23	110.176	121.777	22.257	84.567	1.281	0.439	20000.0
24	109.662	121.009	22.077	84.136	1.273	0.446	30000.0
25	109.821	121.585	22.145	84.571	1.279	0.437	20000.0
26	109.999	121.331	22.133	84.49	1.271	0.441	20000.0
27	110.056	121.489	22.104	84.439	1.273	0.44	20000.0
28	110.139	121.578	22.218	84.602	1.276	0.438	30000.0
29	109.984	121.427	22.311	84.496	1.276	0.442	20000.0
30	109.545	121.359	22.103	84.4	1.279	0.441	30000.0
31	110.137	121.368	22.238	84.37	1.274	0.442	30000.0
32	110.161	121.753	22.222	84.69	1.275	0.438	20000.0
33	109.601	121.477	22.062	84.396	1.271	0.442	20000.0
34	110.393	121.769	22.273	84.769	1.28	0.436	30000.0
35	110.583	122.075	22.365	84.974	1.288	0.434	30000.0
36	110.366	122.054	22.234	84.834	1.287	0.434	20000.0
37	109.953	121.11	22.181	84.331	1.27	0.442	30000.0
38	109.893	121.234	22.112	84.394	1.273	0.441	30000.0
39	110.133	121.241	22.286	84.478	1.274	0.441	40000.0
40	109.803	121.616	22.189	84.736	1.277	0.437	20000.0
41	110.169	121.868	22.263	84.718	1.281	0.438	20000.0
42	110.064	122.172	22.224	84.781	1.287	0.434	30000.0
43	110.299	121.608	22.232	84.613	1.276	0.438	20000.0
44	109.747	121.241	22.144	84.346	1.274	0.443	50000.0
45	110.617	121.9	22.249	84.693	1.279	0.437	20000.0
46	110.203	121.271	22.305	84.428	1.27	0.442	20000.0
47	110.147	121.85	22.272	84.753	1.283	0.436	20000.0
48	110.087	121.482	22.181	84.389	1.272	0.442	40000.0
49	110.038	121.358	22.094	84.402	1.274	0.441	20000.0
50	109.889	121.366	22.215	84.37	1.271	0.443	30000.0
51	109.706	121.304	22.173	84.494	1.277	0.44	40000.0
52	109.912	121.74	22.19	84.59	1.277	0.44	20000.0
53	110.14	121.425	22.238	84.574	1.275	0.441	20000.0
54	109.915	121.4	22.136	84.496	1.274	0.441	20000.0
55	110.067	121.398	22.147	84.452	1.278	0.44	30000.0
56	110.135	121.774	22.199	84.51	1.28	0.438	20000.0
57	110.192	121.564	22.321	84.688	1.278	0.438	30000.0
58	110.3	121.561	22.233	84.55	1.278	0.438	20000.0
59	110.079	121.611	22.346	84.769	1.274	0.439	20000.0
60	110.101	121.379	22.211	84.403	1.275	0.441	20000.0
61	110.133	121.983	22.157	84.665	1.28	0.437	30000.0
62	110.199	121.603	22.234	84.529	1.273	0.441	20000.0
63	110.179	121.916	22.182	84.769	1.281	0.436	20000.0
64	110.071	121.555	22.182	84.405	1.277	0.442	30000.0
65	110.12	121.577	22.259	84.707	1.281	0.438	20000.0
66	110.044	121.456	22.23	84.574	1.273	0.44	30000.0
67	110.436	121.796	22.296	84.652	1.279	0.438	20000.0
68	110.409	121.739	22.284	84.73	1.279	0.438	20000.0
69	109.667	121.7	22.061	84.612	1.278	0.437	20000.0
70	109.965	121.442	22.205	84.508	1.276	0.439	30000.0
71	109.967	121.251	22.189	84.067	1.269	0.448	20000.0
72	110.402	121.899	22.294	84.757	1.288	0.436	50000.0
73	109.971	121.407	22.256	84.622	1.277	0.438	20000.0
74	109.907	121.633	22.163	84.573	1.28	0.439	20000.0
75	109.97	121.763	22.139	84.501	1.285	0.438	20000.0
76	110.284	121.555	22.288	84.793	1.278	0.437	30000.0
77	110.254	121.97	22.231	84.681	1.281	0.437	20000.0
78	110.115	121.365	22.263	84.404	1.269	0.443	40000.0
79	109.796	121.475	22.132	84.593	1.273	0.44	20000.0
80	109.852	121.232	22.108	84.316	1.273	0.442	30000.0
81	110.186	121.741	22.167	84.569	1.284	0.438	30000.0
82	109.848	121.311	22.128	84.339	1.273	0.443	20000.0
83	109.875	121.273	22.224	84.287	1.275	0.442	20000.0
84	110.309	121.663	22.273	84.568	1.277	0.44	20000.0
85	110.136	121.472	22.344	84.565	1.279	0.44	40000.0
86	109.62	121.263	22.12	84.444	1.276	0.44	30000.0
87	109.897	121.362	22.176	84.499	1.272	0.441	20000.0
88	109.841	121.541	22.086	84.391	1.274	0.442	20000.0
89	109.88	121.252	22.267	84.531	1.277	0.441	30000.0
90	110.249	121.444	22.187	84.42	1.273	0.442	20000.0
91	110.138	121.624	22.216	84.636	1.277	0.438	20000.0
92	110.025	121.444	22.263	84.336	1.276	0.444	20000.0
93	109.805	121.53	22.091	84.381	1.272	0.441	20000.0
94	109.974	121.689	22.229	84.639	1.281	0.437	20000.0
95	110.306	121.628	22.321	84.811	1.283	0.435	20000.0
96	110.224	121.699	22.269	84.513	1.282	0.44	20000.0
97	109.883	121.18	22.181	84.266	1.268	0.445	20000.0
98	110.06	121.644	22.178	84.561	1.281	0.438	20000.0
99	109.826	121.287	22.211	84.409	1.276	0.443	20000.0
100	110.319	121.672	22.29	84.689	1.278	0.437	40000.0
