Samples	SBS96A	SBS96B	SBS96C
TCGA-3C-AAAU-01A-11D-A41F-09	34	5	5
TCGA-3C-AALI-01A-11D-A41F-09	50	604	82
TCGA-3C-AALJ-01A-31D-A41F-09	40	6	3
TCGA-3C-AALK-01A-11D-A41F-09	45	10	5
TCGA-4H-AAAK-01A-12D-A41F-09	26	0	6
TCGA-5L-AAT0-01A-12D-A41F-09	31	188	23
TCGA-5L-AAT1-01A-12D-A41F-09	32	1615	150
TCGA-5T-A9QA-01A-11D-A41F-09	55	3	0
TCGA-A1-A0SD-01A-11D-A10Y-09	30	2	3
TCGA-A1-A0SE-01A-11D-A099-09	23	6	4
TCGA-A1-A0SF-01A-11D-A142-09	15	31	3
TCGA-A1-A0SG-01A-11D-A142-09	19	3	7
TCGA-A1-A0SH-01A-11D-A099-09	35	81	5
TCGA-A1-A0SI-01A-11D-A142-09	10	223	9
TCGA-A1-A0SJ-01A-11D-A099-09	24	4	0
TCGA-A1-A0SK-01A-12D-A099-09	66	5	7
TCGA-A1-A0SM-01A-11D-A099-09	28	0	10
TCGA-A1-A0SN-01A-11D-A142-09	44	22	11
TCGA-A1-A0SO-01A-22D-A099-09	275	54	20
TCGA-A1-A0SP-01A-11D-A099-09	53	4	0
TCGA-A1-A0SQ-01A-21D-A142-09	25	3	2
TCGA-A2-A04N-01A-11D-A10Y-09	27	7	11
TCGA-A2-A04P-01A-31D-A128-09	121	28	3
TCGA-A2-A04Q-01A-21W-A050-09	47	10	4
TCGA-A2-A04R-01A-41D-A117-09	67	10	11
TCGA-A2-A04T-01A-21W-A050-09	89	18	1
TCGA-A2-A04U-01A-11D-A10Y-09	49	2	8
TCGA-A2-A04V-01A-21W-A050-09	33	6	5
TCGA-A2-A04W-01A-31D-A10Y-09	41	116	9
TCGA-A2-A04X-01A-21W-A050-09	21	26	0
TCGA-A2-A04Y-01A-21W-A050-09	31	12	11
TCGA-A2-A0CK-01A-11D-A228-09	23	4	1
TCGA-A2-A0CL-01A-11D-A10Y-09	34	119	9
TCGA-A2-A0CM-01A-31W-A050-09	38	40	0
TCGA-A2-A0CP-01A-11W-A050-09	125	11	8
TCGA-A2-A0CQ-01A-21W-A050-09	51	4	4
TCGA-A2-A0CR-01A-11D-A228-09	18	157	5
TCGA-A2-A0CS-01A-11D-A10Y-09	41	0	3
TCGA-A2-A0CT-01A-31W-A071-09	76	39	9
TCGA-A2-A0CU-01A-12W-A050-09	41	10	5
TCGA-A2-A0CV-01A-31D-A10Y-09	19	1	4
TCGA-A2-A0CW-01A-21D-A10Y-09	36	25	8
TCGA-A2-A0CX-01A-21W-A019-09	52	263	33
TCGA-A2-A0D0-01A-11W-A019-09	66	20	5
TCGA-A2-A0D1-01A-11W-A050-09	71	26	10
TCGA-A2-A0D2-01A-21W-A050-09	73	24	1
TCGA-A2-A0D3-01A-11D-A10Y-09	22	1	4
TCGA-A2-A0D4-01A-11W-A019-09	32	6	5
TCGA-A2-A0EM-01A-11W-A050-09	36	5	4
TCGA-A2-A0EN-01A-13D-A099-09	28	2	6
TCGA-A2-A0EO-01A-11W-A050-09	41	7	1
TCGA-A2-A0EP-01A-52D-A22X-09	10	7	0
TCGA-A2-A0EQ-01A-11W-A050-09	76	205	0
TCGA-A2-A0ER-01A-21W-A050-09	39	3	3
TCGA-A2-A0ES-01A-11D-A10Y-09	13	1	0
TCGA-A2-A0ET-01A-31D-A045-09	44	5	9
TCGA-A2-A0EU-01A-22W-A071-09	36	4	5
TCGA-A2-A0EV-01A-11W-A050-09	49	12	16
TCGA-A2-A0EW-01A-21D-A10Y-09	15	2	3
TCGA-A2-A0EX-01A-21W-A050-09	30	5	0
TCGA-A2-A0EY-01A-11W-A050-09	67	184	39
TCGA-A2-A0ST-01A-12D-A099-09	16	5	1
TCGA-A2-A0SU-01A-11D-A099-09	30	3	0
TCGA-A2-A0SV-01A-11D-A099-09	34	0	5
TCGA-A2-A0SW-01A-11D-A099-09	37	18	4
TCGA-A2-A0SX-01A-12D-A099-09	28	10	2
TCGA-A2-A0SY-01A-31D-A099-09	27	109	15
TCGA-A2-A0T0-01A-22D-A099-09	136	36	15
TCGA-A2-A0T1-01A-21D-A099-09	24	0	5
TCGA-A2-A0T2-01A-11W-A097-09	31	5	0
TCGA-A2-A0T3-01A-21D-A10Y-09	33	3	3
TCGA-A2-A0T4-01A-31D-A099-09	31	3	0
TCGA-A2-A0T5-01A-21D-A099-09	14	1	1
TCGA-A2-A0T6-01A-11D-A099-09	22	2	2
TCGA-A2-A0T7-01A-21D-A099-09	19	1	2
TCGA-A2-A0YC-01A-11D-A117-09	21	6	1
TCGA-A2-A0YD-01A-11D-A10G-09	24	45	21
TCGA-A2-A0YE-01A-11D-A10G-09	28	7	4
TCGA-A2-A0YF-01A-21D-A10G-09	25	2	7
TCGA-A2-A0YG-01A-21D-A10G-09	56	7	7
TCGA-A2-A0YH-01A-11D-A10G-09	48	45	8
TCGA-A2-A0YI-01A-31D-A10M-09	10	2	2
TCGA-A2-A0YJ-01A-11D-A10G-09	69	5	9
TCGA-A2-A0YK-01A-22D-A117-09	3	417	12
TCGA-A2-A0YL-01A-21D-A10G-09	21	25	0
TCGA-A2-A0YM-01A-11D-A10G-09	56	24	9
TCGA-A2-A0YT-01A-11D-A10G-09	46	7	14
TCGA-A2-A1FV-01A-11D-A13L-09	31	7	2
TCGA-A2-A1FW-01A-11D-A13L-09	69	5	8
TCGA-A2-A1FX-01A-11D-A13L-09	19	1	7
TCGA-A2-A1FZ-01A-51D-A17G-09	26	3	0
TCGA-A2-A1G0-01A-11D-A13L-09	17	4	1
TCGA-A2-A1G1-01A-21D-A13L-09	34	3	2
TCGA-A2-A1G4-01A-11D-A13L-09	24	6	1
TCGA-A2-A1G6-01A-11D-A13L-09	8	0	0
TCGA-A2-A259-01A-11D-A16D-09	16	5	0
TCGA-A2-A25A-01A-12D-A16D-09	290	116	59
TCGA-A2-A25B-01A-11D-A167-09	89	13	12
TCGA-A2-A25C-01A-11D-A167-09	28	7	6
TCGA-A2-A25D-01A-12D-A16D-09	39	13	1
TCGA-A2-A25E-01A-11D-A167-09	49	11	5
TCGA-A2-A25F-01A-11D-A167-09	6	0	0
TCGA-A2-A3KD-01A-12D-A20S-09	19	1	0
TCGA-A2-A3XT-01A-11D-A22X-09	73	39	4
TCGA-A2-A3XU-01A-12D-A22X-09	27	1	2
TCGA-A2-A3XV-01A-21D-A23C-09	38	1	6
TCGA-A2-A3XW-01A-11D-A23C-09	9	0	4
TCGA-A2-A3XX-01A-21D-A23C-09	39	6	9
TCGA-A2-A3XZ-01A-42D-A23C-09	29	19	7
TCGA-A2-A3Y0-01A-11D-A23C-09	158	64	2
TCGA-A2-A4S1-01A-21D-A25Q-09	74	10	3
TCGA-A2-A4S2-01A-12D-A25Q-09	32	7	0
TCGA-A2-A4S3-01A-21D-A25Q-09	71	18	8
TCGA-A7-A0CD-01A-11W-A019-09	38	0	2
TCGA-A7-A0CE-01A-11W-A019-09	117	34	12
TCGA-A7-A0CG-01A-11W-A019-09	45	18	9
TCGA-A7-A0CJ-01A-21W-A019-09	72	9	7
TCGA-A7-A0D9-01A-31W-A071-09	15	8	1
TCGA-A7-A0DA-01A-31D-A10Y-09	113	27	10
TCGA-A7-A0DB-01A-11D-A272-09	31	19	4
TCGA-A7-A13D-01A-13D-A272-09	91	31	7
TCGA-A7-A13E-01A-11D-A272-09	34	4	2
TCGA-A7-A13F-01A-11D-A12Q-09	24	4	9
TCGA-A7-A13G-01A-11D-A13L-09	18	11	0
TCGA-A7-A26E-01A-11D-A272-09	30	22	8
TCGA-A7-A26F-01A-21D-A167-09	34	6	7
TCGA-A7-A26G-01A-21D-A167-09	43	21	2
TCGA-A7-A26H-01A-11D-A167-09	60	70	6
TCGA-A7-A26I-01A-11D-A167-09	32	13	2
TCGA-A7-A26J-01A-11D-A272-09	33	5	1
TCGA-A7-A2KD-01A-31D-A21Q-09	43	7	4
TCGA-A7-A3RF-01A-11D-A228-09	35	2	0
TCGA-A7-A425-01A-11D-A243-09	36	2	0
TCGA-A7-A4SC-01A-12D-A25Q-09	25	3	6
TCGA-A7-A4SD-01A-11D-A25Q-09	51	4	6
TCGA-A7-A4SE-01A-11D-A25Q-09	73	57	0
TCGA-A7-A56D-01A-11D-A27P-09	75	85	23
TCGA-A7-A5ZW-01A-12D-A29N-09	19	10	5
TCGA-A7-A5ZX-01A-12D-A29N-09	21	7	9
TCGA-A7-A6VV-01A-22D-A33E-09	44	12	3
TCGA-A7-A6VW-01A-21D-A33E-09	64	10	5
TCGA-A7-A6VX-01A-12D-A33E-09	117	65	4
TCGA-A7-A6VY-01A-12D-A33E-09	83	36	10
TCGA-A8-A06O-01A-11W-A019-09	78	3	5
