NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	25.033	154.735	5.9	87.866	2.033	0.374	20000.0
2	23.963	153.651	5.53	87.646	2.072	0.383	30000.0
3	23.771	153.355	5.51	87.501	2.083	0.381	20000.0
4	24.343	154.609	5.669	87.814	2.061	0.375	50000.0
5	23.598	152.733	5.384	87.095	2.074	0.388	30000.0
6	23.457	152.499	5.397	86.744	2.083	0.394	30000.0
7	23.667	153.652	5.426	87.198	2.105	0.383	40000.0
8	23.669	153.044	5.451	87.083	2.069	0.391	20000.0
9	23.421	152.279	5.344	86.646	2.08	0.393	20000.0
10	24.484	154.199	5.728	87.576	2.044	0.375	20000.0
11	23.746	153.342	5.497	87.311	2.071	0.387	40000.0
12	24.815	154.095	5.854	87.381	2.019	0.38	30000.0
13	23.803	154.097	5.518	87.41	2.099	0.383	20000.0
14	23.594	153.208	5.411	87.341	2.076	0.384	40000.0
15	24.967	154.077	5.84	87.382	2.036	0.379	20000.0
16	23.996	153.775	5.547	87.61	2.066	0.38	40000.0
17	24.458	153.748	5.697	87.425	2.045	0.383	20000.0
18	25.005	154.541	5.881	87.372	2.02	0.38	20000.0
19	23.731	152.969	5.522	87.365	2.065	0.387	20000.0
20	24.925	154.082	5.879	87.182	2.023	0.385	40000.0
21	23.777	153.354	5.493	87.262	2.081	0.38	20000.0
22	24.649	153.778	5.769	87.806	2.049	0.377	30000.0
23	23.646	152.832	5.431	87.201	2.084	0.386	30000.0
24	24.36	153.32	5.731	87.184	2.047	0.381	40000.0
25	23.573	152.788	5.426	86.929	2.08	0.391	40000.0
26	24.452	153.918	5.7	87.647	2.042	0.381	20000.0
27	24.926	154.51	5.862	87.46	2.035	0.378	30000.0
28	23.598	153.458	5.449	87.448	2.091	0.381	20000.0
29	24.475	153.728	5.766	87.447	2.056	0.378	20000.0
30	23.558	152.531	5.43	86.716	2.083	0.391	20000.0
31	23.474	152.426	5.413	86.721	2.076	0.394	30000.0
32	24.587	153.961	5.723	87.318	2.046	0.376	20000.0
33	23.622	153.004	5.427	86.975	2.084	0.389	30000.0
34	24.976	153.956	5.888	87.096	2.014	0.386	20000.0
35	24.637	153.768	5.775	87.405	2.07	0.371	20000.0
36	24.944	154.139	5.857	87.173	2.038	0.381	20000.0
37	23.695	153.338	5.46	87.3	2.089	0.384	20000.0
38	23.513	152.862	5.372	87.014	2.091	0.386	20000.0
39	24.492	154.024	5.737	87.558	2.053	0.381	40000.0
40	23.807	153.456	5.486	87.501	2.064	0.381	20000.0
41	23.809	153.624	5.482	87.317	2.085	0.384	20000.0
42	24.953	154.634	5.883	87.369	2.047	0.379	40000.0
43	23.619	153.027	5.443	86.986	2.076	0.388	30000.0
44	23.695	153.294	5.459	87.257	2.071	0.39	20000.0
45	23.717	153.026	5.471	87.118	2.07	0.392	20000.0
46	23.768	153.398	5.461	87.347	2.082	0.383	30000.0
47	23.876	153.09	5.584	87.543	2.047	0.384	20000.0
48	23.635	153.88	5.396	87.344	2.094	0.384	30000.0
49	23.644	153.234	5.403	87.089	2.083	0.388	40000.0
50	24.859	154.421	5.854	87.317	2.044	0.381	20000.0
51	24.478	154.04	5.765	87.529	2.053	0.373	30000.0
52	24.451	154.24	5.685	87.638	2.053	0.375	30000.0
53	23.829	152.972	5.53	87.678	2.068	0.381	30000.0
54	23.698	153.238	5.447	87.2	2.08	0.383	20000.0
55	23.749	153.145	5.452	87.202	2.074	0.385	30000.0
56	24.105	153.916	5.62	87.967	2.07	0.374	40000.0
57	24.203	153.827	5.682	88.043	2.071	0.369	20000.0
58	23.615	152.876	5.419	86.96	2.071	0.387	20000.0
59	24.984	154.139	5.868	87.365	2.023	0.384	20000.0
60	23.592	152.877	5.438	87.113	2.072	0.389	40000.0
61	23.639	153.52	5.431	87.127	2.111	0.386	20000.0
62	23.539	153.037	5.403	86.868	2.095	0.386	20000.0
63	23.897	153.767	5.545	87.633	2.077	0.378	20000.0
64	23.745	153.376	5.454	87.084	2.082	0.389	20000.0
65	23.69	153.015	5.423	87.241	2.069	0.389	40000.0
66	23.627	152.784	5.442	87.123	2.068	0.39	40000.0
67	23.803	154.266	5.506	87.519	2.102	0.377	20000.0
68	24.447	154.05	5.734	87.53	2.06	0.382	20000.0
69	23.591	152.988	5.416	86.989	2.076	0.393	40000.0
70	24.526	154.55	5.724	87.627	2.049	0.369	30000.0
71	24.382	152.915	5.686	87.062	2.033	0.382	20000.0
72	24.701	154.95	5.783	87.754	2.061	0.368	20000.0
73	23.691	153.587	5.448	87.36	2.102	0.383	40000.0
74	23.508	152.533	5.433	86.808	2.083	0.39	20000.0
75	23.581	153.129	5.407	87.11	2.094	0.384	20000.0
76	23.522	152.288	5.444	86.891	2.063	0.394	50000.0
77	23.486	152.776	5.363	86.862	2.065	0.39	20000.0
78	25.038	154.951	5.902	87.922	2.052	0.371	20000.0
79	23.575	152.777	5.458	86.969	2.075	0.389	30000.0
80	24.174	153.564	5.631	87.96	2.057	0.376	20000.0
81	24.848	154.073	5.83	87.273	2.026	0.381	40000.0
82	24.423	153.538	5.722	87.254	2.049	0.377	30000.0
83	24.328	153.866	5.71	87.651	2.064	0.374	40000.0
84	23.605	152.863	5.442	87.226	2.072	0.388	30000.0
85	23.681	152.724	5.434	87.031	2.07	0.39	20000.0
86	23.658	153.442	5.41	87.114	2.091	0.386	30000.0
87	23.904	153.813	5.473	87.463	2.079	0.383	20000.0
88	24.04	152.877	5.608	87.664	2.05	0.382	40000.0
89	24.013	153.771	5.618	87.735	2.08	0.381	20000.0
90	23.559	152.79	5.427	86.968	2.085	0.391	20000.0
91	23.68	152.373	5.455	86.656	2.061	0.399	20000.0
92	24.952	154.6	5.867	87.487	2.045	0.378	40000.0
93	24.496	153.936	5.747	87.928	2.044	0.375	20000.0
94	24.0	152.926	5.583	87.396	2.05	0.39	20000.0
95	24.913	154.512	5.904	87.529	2.029	0.378	30000.0
96	24.938	153.133	5.849	87.197	2.026	0.386	20000.0
97	23.765	153.304	5.456	87.182	2.082	0.385	30000.0
98	23.742	152.963	5.493	87.187	2.059	0.389	20000.0
99	23.545	153.181	5.433	87.206	2.091	0.382	20000.0
100	23.638	152.574	5.457	87.095	2.043	0.39	30000.0
