NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	29.041	162.229	6.718	92.876	2.388	0.277	20000.0
2	29.232	162.715	6.711	92.866	2.382	0.279	30000.0
3	29.076	162.56	6.767	93.003	2.398	0.275	30000.0
4	29.248	162.994	6.781	93.095	2.391	0.275	20000.0
5	29.018	162.327	6.677	92.826	2.378	0.279	20000.0
6	29.045	162.239	6.744	92.806	2.391	0.28	30000.0
7	29.197	162.576	6.749	92.864	2.399	0.277	20000.0
8	29.048	162.442	6.741	92.901	2.383	0.279	20000.0
9	29.098	161.994	6.663	92.7	2.378	0.281	20000.0
10	29.092	162.367	6.736	92.969	2.388	0.278	40000.0
11	29.164	162.328	6.785	92.871	2.385	0.28	30000.0
12	29.04	162.156	6.708	92.768	2.37	0.281	20000.0
13	29.219	163.011	6.767	92.964	2.4	0.275	20000.0
14	29.092	162.591	6.699	92.923	2.378	0.277	20000.0
15	29.098	162.607	6.719	92.924	2.395	0.277	30000.0
16	29.154	162.547	6.708	92.89	2.39	0.279	30000.0
17	29.174	162.264	6.757	92.93	2.374	0.278	20000.0
18	29.098	162.171	6.737	92.771	2.382	0.282	20000.0
19	29.138	162.373	6.762	92.939	2.382	0.278	20000.0
20	29.172	162.643	6.757	92.94	2.386	0.278	20000.0
21	29.209	162.589	6.748	92.981	2.398	0.276	20000.0
22	29.155	162.949	6.747	93.138	2.397	0.272	20000.0
23	29.153	162.426	6.726	92.923	2.395	0.276	20000.0
24	29.127	162.325	6.766	92.887	2.387	0.28	20000.0
25	29.187	162.515	6.722	92.933	2.385	0.276	40000.0
26	29.196	162.868	6.73	93.056	2.381	0.276	20000.0
27	29.182	162.733	6.729	93.073	2.397	0.273	20000.0
28	29.158	162.812	6.74	93.021	2.397	0.273	20000.0
29	29.319	162.788	6.786	93.053	2.395	0.275	20000.0
30	29.16	162.436	6.761	92.971	2.389	0.277	30000.0
31	29.11	162.346	6.727	92.818	2.389	0.28	20000.0
32	29.364	163.212	6.755	92.947	2.387	0.276	20000.0
33	29.198	162.426	6.757	92.926	2.387	0.278	40000.0
34	29.154	162.08	6.773	92.863	2.368	0.282	20000.0
35	29.321	162.909	6.794	93.15	2.416	0.271	20000.0
36	29.205	163.075	6.72	93.067	2.4	0.272	30000.0
37	29.222	162.865	6.744	92.983	2.397	0.274	20000.0
38	29.21	162.505	6.716	92.982	2.39	0.275	40000.0
39	29.231	162.973	6.756	92.985	2.4	0.276	50000.0
40	29.167	162.33	6.703	92.797	2.37	0.281	30000.0
41	29.15	162.556	6.74	92.893	2.387	0.278	20000.0
42	29.323	163.13	6.751	93.024	2.403	0.273	20000.0
43	29.074	162.381	6.723	92.796	2.376	0.28	20000.0
