NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	9.342	171.632	2.872	93.012	2.63	0.292	30000.0
2	9.422	172.508	2.889	93.352	2.644	0.287	20000.0
3	9.433	171.595	2.928	92.754	2.583	0.302	20000.0
4	9.401	171.92	2.874	92.832	2.578	0.299	40000.0
5	9.478	171.714	2.901	92.774	2.56	0.303	20000.0
6	9.426	171.512	2.905	92.645	2.572	0.298	20000.0
7	9.543	172.748	2.904	92.995	2.59	0.293	30000.0
8	9.486	172.047	2.915	92.952	2.607	0.292	20000.0
9	9.45	171.809	2.903	92.862	2.577	0.295	20000.0
10	9.384	172.006	2.896	92.617	2.579	0.302	20000.0
11	9.419	171.432	2.892	92.692	2.58	0.296	40000.0
12	9.416	171.601	2.879	92.748	2.608	0.295	20000.0
13	9.298	172.238	2.859	92.898	2.703	0.288	20000.0
14	9.319	170.18	2.857	92.783	2.676	0.303	40000.0
15	9.472	171.302	2.906	92.589	2.578	0.305	20000.0
16	9.467	171.257	2.895	92.762	2.578	0.298	30000.0
17	9.454	171.182	2.917	92.649	2.567	0.302	20000.0
18	9.552	172.186	2.939	92.856	2.566	0.298	30000.0
19	9.346	171.317	2.87	92.759	2.634	0.293	30000.0
20	9.402	171.188	2.898	92.543	2.559	0.307	30000.0
21	9.425	171.592	2.883	92.647	2.573	0.3	30000.0
22	9.466	171.89	2.89	92.823	2.581	0.296	20000.0
23	9.484	172.056	2.9	92.796	2.579	0.298	20000.0
24	9.327	170.8	2.875	92.422	2.651	0.298	20000.0
25	9.409	172.568	2.885	93.004	2.637	0.291	40000.0
26	9.312	172.876	2.844	93.066	2.661	0.286	40000.0
27	9.454	171.357	2.924	92.719	2.599	0.295	30000.0
28	9.407	172.966	2.844	93.187	2.655	0.288	30000.0
29	9.33	171.927	2.866	92.903	2.648	0.293	30000.0
30	9.495	171.248	2.903	92.736	2.572	0.303	20000.0
31	9.504	173.067	2.902	93.137	2.633	0.29	30000.0
32	9.405	171.803	2.927	92.867	2.592	0.292	40000.0
33	9.247	170.598	2.818	92.4	2.729	0.295	20000.0
34	9.375	171.602	2.876	92.869	2.589	0.294	20000.0
35	9.569	172.624	2.934	92.985	2.601	0.293	20000.0
36	9.519	172.114	2.938	92.888	2.596	0.299	20000.0
37	9.422	171.576	2.872	92.542	2.556	0.306	30000.0
38	9.495	172.08	2.93	92.845	2.574	0.296	20000.0
39	9.51	172.086	2.919	92.919	2.591	0.297	20000.0
40	9.343	172.031	2.86	92.861	2.635	0.295	30000.0
41	9.36	170.835	2.889	92.471	2.572	0.308	20000.0
42	9.23	171.105	2.86	92.602	2.662	0.295	20000.0
43	9.368	171.439	2.862	92.983	2.592	0.296	40000.0
44	9.379	171.355	2.885	92.598	2.571	0.298	20000.0
45	9.388	171.727	2.895	92.744	2.593	0.295	20000.0
46	9.425	171.534	2.913	92.604	2.588	0.302	20000.0
47	9.459	171.811	2.927	92.724	2.587	0.302	20000.0
48	9.452	171.962	2.89	92.681	2.586	0.298	20000.0
49	9.384	170.957	2.857	93.263	2.672	0.291	20000.0
50	9.47	171.833	2.914	92.634	2.585	0.3	50000.0
51	9.358	171.034	2.883	92.511	2.56	0.308	30000.0
52	9.429	172.288	2.899	93.119	2.611	0.291	20000.0
53	9.309	170.937	2.871	92.665	2.603	0.3	30000.0
54	9.437	171.859	2.892	92.965	2.613	0.296	20000.0
55	9.409	170.653	2.887	92.488	2.557	0.308	40000.0
56	9.476	172.705	2.923	93.04	2.615	0.29	20000.0
57	9.416	170.647	2.881	92.325	2.561	0.312	20000.0
58	9.371	171.805	2.871	92.868	2.632	0.292	20000.0
59	9.47	171.726	2.894	92.685	2.569	0.3	20000.0
60	9.485	172.067	2.93	92.919	2.598	0.293	40000.0
61	9.433	172.302	2.894	92.666	2.597	0.298	30000.0
62	9.432	171.46	2.905	92.66	2.596	0.3	30000.0
63	9.413	171.769	2.896	92.709	2.577	0.303	30000.0
64	9.381	171.306	2.889	92.65	2.585	0.302	30000.0
65	9.478	171.119	2.895	92.513	2.569	0.301	20000.0
66	9.35	171.229	2.873	92.544	2.577	0.306	20000.0
67	9.327	171.679	2.904	92.524	2.586	0.299	20000.0
68	9.453	171.922	2.904	92.823	2.589	0.297	20000.0
69	9.425	171.206	2.907	92.629	2.566	0.305	30000.0
70	9.476	171.681	2.923	92.733	2.571	0.299	30000.0
71	9.344	170.515	2.876	92.414	2.557	0.303	30000.0
72	9.385	171.106	2.893	92.59	2.561	0.306	20000.0
73	9.28	171.368	2.862	92.523	2.63	0.3	30000.0
74	9.417	171.561	2.878	92.587	2.57	0.305	40000.0
75	9.478	172.424	2.89	93.042	2.6	0.287	20000.0
