Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-3C-AAAU-01A-11D-A41F-09	4.51E-02	3.02E-02	4.23E-02	4.90E-02
TCGA-3C-AALI-01A-11D-A41F-09	3.01E-01	4.30E-01	2.76E-01	1.48E-01
TCGA-3C-AALJ-01A-31D-A41F-09	7.26E-02	1.03E-01	1.06E-01	9.03E-02
TCGA-3C-AALK-01A-11D-A41F-09	7.18E-02	5.12E-02	5.43E-02	8.05E-02
TCGA-4H-AAAK-01A-12D-A41F-09	4.23E-02	3.68E-02	4.69E-02	4.56E-02
TCGA-5L-AAT0-01A-12D-A41F-09	1.31E-01	1.49E-01	1.15E-01	9.01E-02
TCGA-5L-AAT1-01A-12D-A41F-09	4.43E-01	5.52E-01	4.35E-01	3.42E-01
TCGA-5T-A9QA-01A-11D-A41F-09	9.33E-02	9.08E-02	9.08E-02	9.98E-02
TCGA-A1-A0SE-01A-11D-A099-09	1.41E-02	3.27E-02	4.23E-02	2.88E-02
TCGA-A1-A0SF-01A-11D-A142-09	4.69E-02	4.29E-02	4.51E-02	3.68E-02
TCGA-A1-A0SH-01A-11D-A099-09	1.26E-01	1.55E-01	1.39E-01	1.00E-01
TCGA-A1-A0SI-01A-11D-A142-09	7.29E-02	1.22E-01	1.36E-01	1.10E-01
TCGA-A1-A0SK-01A-12D-A099-09	7.69E-02	8.22E-02	7.84E-02	6.74E-02
TCGA-A1-A0SN-01A-11D-A142-09	7.85E-02	6.37E-02	8.15E-02	8.03E-02
TCGA-A1-A0SO-01A-22D-A099-09	1.98E-01	1.88E-01	1.82E-01	1.78E-01
TCGA-A1-A0SP-01A-11D-A099-09	4.51E-02	3.49E-02	4.46E-02	4.65E-02
TCGA-A1-A0SQ-01A-21D-A142-09	4.51E-02	3.02E-02	4.23E-02	4.90E-02
TCGA-A2-A04Q-01A-21W-A050-09	4.82E-02	3.68E-02	4.16E-02	4.41E-02
TCGA-A2-A04R-01A-41D-A117-09	7.95E-02	5.26E-02	8.69E-02	6.84E-02
TCGA-A2-A04T-01A-21W-A050-09	6.28E-02	6.61E-02	8.44E-02	4.98E-02
TCGA-A2-A04U-01A-11D-A10Y-09	1.05E-01	1.07E-01	8.33E-02	9.14E-02
TCGA-A2-A04W-01A-31D-A10Y-09	5.95E-02	8.16E-02	7.84E-02	6.21E-02
TCGA-A2-A04X-01A-21W-A050-09	5.01E-02	3.49E-02	3.59E-02	4.35E-02
TCGA-A2-A04Y-01A-21W-A050-09	1.14E-01	1.10E-01	8.03E-02	9.37E-02
TCGA-A2-A0CK-01A-11D-A228-09	5.01E-02	3.49E-02	3.59E-02	4.35E-02
TCGA-A2-A0CL-01A-11D-A10Y-09	4.51E-02	3.02E-02	4.23E-02	4.90E-02
TCGA-A2-A0CM-01A-31W-A050-09	7.91E-02	7.28E-02	7.94E-02	7.09E-02
TCGA-A2-A0CP-01A-11W-A050-09	8.17E-02	7.58E-02	7.26E-02	6.93E-02
TCGA-A2-A0CQ-01A-21W-A050-09	4.94E-02	3.14E-02	3.94E-02	4.56E-02
TCGA-A2-A0CR-01A-11D-A228-09	8.70E-02	1.26E-01	1.21E-01	7.43E-02
TCGA-A2-A0CT-01A-31W-A071-09	7.90E-02	8.98E-02	6.74E-02	1.02E-01
TCGA-A2-A0CU-01A-12W-A050-09	1.09E-01	9.02E-02	8.77E-02	1.06E-01
TCGA-A2-A0CX-01A-21W-A019-09	5.18E-02	1.12E-01	7.26E-02	9.57E-02
TCGA-A2-A0D0-01A-11W-A019-09	4.46E-02	4.16E-02	4.35E-02	4.41E-02
TCGA-A2-A0D1-01A-11W-A050-09	8.20E-02	8.65E-02	5.43E-02	8.84E-02
TCGA-A2-A0D2-01A-21W-A050-09	5.79E-02	7.02E-02	7.20E-02	6.59E-02
TCGA-A2-A0EM-01A-11W-A050-09	4.51E-02	3.68E-02	4.46E-02	4.56E-02
TCGA-A2-A0EO-01A-11W-A050-09	7.71E-02	6.96E-02	7.45E-02	7.81E-02
