NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	31.853	145.858	6.672	84.68	1.875	0.414	30000.0
2	31.832	145.876	6.66	84.76	1.864	0.415	40000.0
3	31.817	146.142	6.643	84.785	1.881	0.41	30000.0
4	31.866	145.54	6.663	84.45	1.864	0.418	30000.0
5	31.994	146.451	6.725	84.962	1.88	0.407	30000.0
6	31.995	146.074	6.682	84.745	1.876	0.41	20000.0
7	31.776	146.022	6.664	84.627	1.881	0.414	40000.0
8	32.066	146.268	6.725	84.863	1.886	0.41	30000.0
9	31.803	146.273	6.619	84.74	1.872	0.409	40000.0
10	31.741	145.86	6.6	84.517	1.863	0.41	30000.0
11	31.839	145.798	6.687	84.793	1.873	0.413	20000.0
12	32.021	146.235	6.681	84.857	1.871	0.408	20000.0
13	31.753	145.59	6.605	84.559	1.864	0.415	30000.0
14	31.857	146.345	6.629	84.861	1.87	0.409	20000.0
15	31.857	146.108	6.625	84.808	1.872	0.408	20000.0
16	31.999	146.335	6.656	85.103	1.873	0.401	40000.0
17	31.671	145.296	6.589	84.353	1.855	0.416	30000.0
18	32.18	146.23	6.758	84.991	1.868	0.409	20000.0
19	31.967	146.54	6.673	84.961	1.875	0.406	20000.0
20	31.854	146.031	6.609	84.625	1.868	0.409	20000.0
21	31.879	145.916	6.696	84.845	1.875	0.409	20000.0
22	31.81	145.174	6.675	84.379	1.857	0.417	20000.0
23	31.733	145.706	6.618	84.633	1.871	0.413	30000.0
24	31.773	146.129	6.605	84.971	1.875	0.406	20000.0
25	31.743	145.557	6.62	84.647	1.867	0.414	30000.0
26	31.837	146.321	6.613	84.783	1.885	0.406	20000.0
27	31.964	146.028	6.695	84.64	1.861	0.415	30000.0
28	31.976	146.036	6.7	84.691	1.871	0.411	20000.0
29	31.738	146.012	6.632	84.718	1.87	0.411	20000.0
30	31.857	145.609	6.688	84.574	1.86	0.417	20000.0
31	32.043	146.395	6.748	85.033	1.89	0.403	30000.0
32	31.586	145.577	6.599	84.522	1.857	0.414	40000.0
33	31.812	145.748	6.683	84.672	1.852	0.411	50000.0
34	31.823	145.708	6.656	84.566	1.875	0.41	20000.0
35	31.863	145.761	6.626	84.786	1.863	0.409	40000.0
36	31.941	145.93	6.7	84.697	1.864	0.412	30000.0
37	32.144	146.429	6.708	84.906	1.876	0.406	40000.0
38	32.068	146.862	6.736	85.286	1.894	0.402	30000.0
39	31.809	145.719	6.707	84.565	1.868	0.414	30000.0
40	31.807	145.24	6.669	84.412	1.859	0.419	20000.0
41	31.937	145.917	6.653	84.663	1.863	0.412	20000.0
42	32.08	146.54	6.728	85.217	1.885	0.403	30000.0
43	31.889	145.735	6.644	84.847	1.876	0.409	20000.0
44	31.911	145.886	6.687	84.774	1.857	0.414	20000.0
45	31.766	145.621	6.611	84.511	1.87	0.412	20000.0
46	31.933	146.534	6.665	85.117	1.881	0.403	30000.0
47	31.709	145.694	6.623	84.594	1.876	0.41	30000.0
48	31.82	145.949	6.676	84.743	1.877	0.409	20000.0
49	32.163	146.75	6.722	84.908	1.879	0.408	20000.0
50	31.834	146.162	6.629	84.723	1.868	0.412	20000.0
51	31.907	145.983	6.616	84.873	1.863	0.411	20000.0
52	31.89	146.31	6.699	84.746	1.879	0.411	40000.0
53	31.877	146.225	6.696	84.689	1.88	0.414	20000.0
54	31.948	145.761	6.688	84.713	1.87	0.411	20000.0
55	31.979	145.867	6.675	84.614	1.866	0.412	20000.0
56	31.58	145.415	6.613	84.418	1.865	0.414	40000.0
57	31.825	145.77	6.634	84.569	1.873	0.412	20000.0
58	31.938	146.129	6.685	84.727	1.868	0.413	30000.0
59	34.394	147.98	7.479	85.444	1.843	0.398	30000.0
60	32.03	146.513	6.655	84.895	1.878	0.405	20000.0
61	34.303	147.204	7.484	85.245	1.835	0.4	30000.0
62	31.976	146.257	6.653	85.028	1.877	0.403	20000.0
63	31.707	145.956	6.615	84.687	1.866	0.413	20000.0
64	31.858	146.179	6.633	84.696	1.878	0.408	40000.0
65	31.825	145.612	6.693	84.617	1.867	0.415	40000.0
66	31.857	146.067	6.619	84.765	1.868	0.408	20000.0
67	31.896	145.988	6.689	84.717	1.88	0.41	20000.0
68	31.874	145.93	6.681	84.726	1.877	0.41	40000.0
69	31.973	145.918	6.688	84.828	1.875	0.407	40000.0
70	32.209	146.479	6.748	84.992	1.874	0.405	20000.0
71	32.044	146.473	6.74	84.976	1.881	0.409	20000.0
72	31.828	145.989	6.646	84.731	1.871	0.412	30000.0
73	31.747	145.813	6.635	84.538	1.868	0.415	30000.0
74	31.726	145.452	6.675	84.486	1.859	0.418	30000.0
75	31.852	145.807	6.601	84.639	1.865	0.413	20000.0
76	31.922	146.57	6.706	85.065	1.891	0.403	30000.0
77	31.845	145.79	6.65	84.44	1.871	0.415	20000.0
78	31.834	146.125	6.658	84.873	1.873	0.41	40000.0
79	31.749	145.665	6.637	84.598	1.859	0.416	30000.0
80	31.959	145.913	6.71	84.84	1.864	0.411	30000.0
81	31.918	146.004	6.66	84.846	1.873	0.408	30000.0
82	32.118	146.707	6.73	84.878	1.869	0.409	30000.0
83	31.802	146.05	6.621	84.808	1.87	0.409	50000.0
84	32.038	146.122	6.72	85.263	1.874	0.402	30000.0
85	31.692	145.79	6.615	84.661	1.87	0.409	20000.0
86	34.25	147.521	7.502	85.215	1.834	0.402	50000.0
87	31.936	146.243	6.671	84.971	1.877	0.409	20000.0
88	32.038	146.607	6.722	85.122	1.889	0.404	30000.0
89	31.795	145.813	6.649	84.716	1.875	0.411	20000.0
90	31.968	146.364	6.631	84.717	1.872	0.41	20000.0
91	31.987	146.518	6.705	84.976	1.889	0.402	20000.0
92	32.012	145.713	6.736	84.738	1.876	0.414	20000.0
93	31.735	145.473	6.659	84.532	1.853	0.415	20000.0
94	31.817	146.278	6.636	84.672	1.874	0.409	20000.0
95	32.072	145.875	6.746	84.907	1.877	0.408	20000.0
96	31.861	145.673	6.648	84.501	1.867	0.416	30000.0
97	31.894	145.642	6.695	84.658	1.862	0.415	30000.0
98	31.9	145.881	6.626	84.821	1.877	0.405	20000.0
99	31.814	145.032	6.687	84.368	1.868	0.42	30000.0
100	34.08	147.919	7.482	85.451	1.847	0.4	30000.0
