NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	21.741	161.451	5.21	89.806	2.343	0.322	30000.0
2	21.895	161.743	5.213	89.904	2.317	0.326	20000.0
3	21.889	161.757	5.253	90.063	2.325	0.32	20000.0
4	22.171	161.873	5.305	89.999	2.304	0.328	40000.0
5	22.175	162.192	5.307	89.841	2.312	0.331	30000.0
6	21.878	162.042	5.249	90.04	2.346	0.319	20000.0
7	22.124	162.13	5.327	89.967	2.309	0.326	20000.0
8	21.677	160.693	5.16	89.843	2.303	0.327	20000.0
9	21.734	161.561	5.18	89.991	2.322	0.322	30000.0
10	22.026	162.195	5.283	90.241	2.331	0.319	20000.0
11	22.215	162.268	5.342	90.104	2.302	0.325	30000.0
12	21.874	161.441	5.197	89.924	2.329	0.323	30000.0
13	22.212	162.089	5.329	90.045	2.325	0.326	20000.0
14	21.819	162.277	5.249	90.215	2.34	0.316	20000.0
15	22.144	162.55	5.335	90.239	2.315	0.323	20000.0
16	22.253	162.472	5.363	90.132	2.326	0.325	20000.0
17	22.145	162.387	5.303	90.048	2.314	0.326	20000.0
18	21.921	161.846	5.244	90.031	2.33	0.318	30000.0
19	21.972	162.686	5.264	90.316	2.365	0.311	30000.0
20	21.815	161.545	5.19	90.013	2.322	0.322	20000.0
21	21.915	162.402	5.233	90.197	2.353	0.315	30000.0
22	21.818	161.181	5.221	89.984	2.318	0.323	30000.0
23	21.865	161.407	5.233	89.996	2.318	0.324	30000.0
24	22.199	162.781	5.358	90.237	2.323	0.322	20000.0
25	21.995	162.139	5.241	90.121	2.332	0.321	40000.0
26	22.321	162.684	5.342	90.065	2.319	0.324	30000.0
27	21.776	161.115	5.209	89.821	2.309	0.328	20000.0
28	21.847	161.524	5.183	89.836	2.332	0.324	50000.0
29	21.892	161.391	5.225	89.835	2.328	0.322	40000.0
30	22.377	162.921	5.358	90.293	2.332	0.319	20000.0
31	22.176	162.424	5.325	90.07	2.315	0.327	20000.0
32	22.052	161.798	5.289	89.869	2.304	0.324	40000.0
33	22.045	161.776	5.282	90.079	2.319	0.323	20000.0
34	21.754	161.398	5.227	89.913	2.318	0.326	30000.0
35	21.954	161.946	5.229	90.037	2.328	0.321	30000.0
36	21.819	161.72	5.196	89.979	2.329	0.321	20000.0
37	22.128	162.297	5.317	90.049	2.312	0.326	20000.0
38	22.191	162.364	5.308	90.111	2.328	0.321	30000.0
39	21.755	161.09	5.168	90.027	2.301	0.326	20000.0
40	21.828	161.756	5.206	90.174	2.333	0.317	40000.0
41	22.144	161.969	5.318	89.979	2.303	0.33	20000.0
42	22.225	162.34	5.325	90.083	2.319	0.322	40000.0
43	22.237	162.322	5.354	90.106	2.292	0.329	40000.0
44	22.213	161.857	5.325	89.991	2.309	0.33	40000.0
45	21.801	161.387	5.22	89.983	2.327	0.323	20000.0
46	22.155	162.271	5.326	90.053	2.311	0.328	20000.0
47	21.874	161.492	5.21	90.075	2.325	0.319	30000.0
48	21.834	161.69	5.226	90.109	2.337	0.319	40000.0
49	22.079	161.233	5.342	89.757	2.293	0.337	20000.0
50	22.304	162.692	5.385	90.284	2.315	0.323	20000.0
51	22.162	162.103	5.284	89.935	2.289	0.328	20000.0
52	22.324	162.38	5.353	90.178	2.32	0.323	40000.0
53	21.883	161.69	5.245	90.028	2.331	0.317	40000.0
54	21.901	161.578	5.221	89.918	2.32	0.326	30000.0
55	21.887	161.843	5.217	90.058	2.337	0.319	30000.0
56	21.838	161.642	5.177	89.988	2.339	0.322	20000.0
57	22.292	162.783	5.37	90.186	2.327	0.322	30000.0
58	22.216	162.094	5.368	89.977	2.313	0.328	30000.0
59	22.481	162.955	5.402	90.334	2.322	0.322	20000.0
60	21.972	162.133	5.271	90.153	2.344	0.318	30000.0
61	21.835	161.85	5.229	90.109	2.331	0.321	30000.0
62	22.274	162.35	5.354	90.178	2.314	0.322	20000.0
63	22.312	162.245	5.334	90.192	2.31	0.325	30000.0
64	21.765	161.303	5.229	89.819	2.311	0.327	20000.0
65	22.25	162.719	5.338	90.168	2.332	0.321	30000.0
66	22.073	162.051	5.322	89.889	2.308	0.329	30000.0
67	21.853	161.775	5.22	90.052	2.337	0.315	20000.0
68	22.262	162.351	5.357	90.234	2.319	0.322	40000.0
69	22.207	162.45	5.326	90.067	2.323	0.324	20000.0
70	21.894	161.949	5.24	90.14	2.342	0.319	20000.0
71	22.334	162.859	5.385	90.293	2.332	0.32	20000.0
72	21.864	161.716	5.212	89.939	2.326	0.323	20000.0
73	22.308	163.085	5.369	90.389	2.336	0.316	50000.0
74	21.852	161.514	5.234	89.96	2.33	0.321	20000.0
75	22.155	162.245	5.342	90.061	2.311	0.325	30000.0
76	21.749	161.647	5.181	89.899	2.334	0.319	30000.0
77	21.84	161.213	5.23	89.883	2.321	0.324	40000.0
78	22.252	162.07	5.357	89.992	2.291	0.328	20000.0
79	21.908	161.575	5.267	89.999	2.321	0.324	20000.0
80	22.001	161.826	5.244	90.145	2.349	0.318	40000.0
81	21.815	161.483	5.27	90.05	2.323	0.322	20000.0
82	22.156	162.028	5.321	89.91	2.304	0.328	40000.0
83	22.422	163.188	5.403	90.435	2.339	0.317	20000.0
84	22.263	162.159	5.377	90.028	2.307	0.327	20000.0
85	22.251	162.096	5.342	90.081	2.294	0.328	20000.0
86	22.193	162.382	5.338	90.136	2.313	0.324	20000.0
87	21.799	162.326	5.221	90.151	2.349	0.317	30000.0
88	21.861	161.977	5.216	90.146	2.333	0.317	20000.0
89	21.918	161.817	5.221	90.035	2.33	0.318	20000.0
90	21.909	161.993	5.238	90.135	2.348	0.32	30000.0
91	21.811	161.56	5.235	89.963	2.323	0.327	40000.0
92	22.091	162.12	5.305	89.889	2.302	0.33	20000.0
93	21.877	161.94	5.242	90.262	2.336	0.314	20000.0
94	22.363	163.102	5.406	90.341	2.337	0.317	20000.0
95	22.329	162.416	5.385	90.013	2.326	0.326	30000.0
96	21.752	162.05	5.211	90.203	2.351	0.312	20000.0
97	21.821	162.005	5.216	90.218	2.351	0.314	30000.0
98	22.434	162.786	5.343	90.179	2.309	0.323	40000.0
99	22.265	162.687	5.334	90.187	2.311	0.325	20000.0
100	21.727	161.386	5.181	89.844	2.343	0.32	30000.0
