NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	16.749	160.58	4.269	89.215	2.187	0.364	20000.0
2	16.162	159.071	4.101	88.587	2.203	0.365	30000.0
3	16.56	159.413	4.275	88.831	2.195	0.372	50000.0
4	16.21	158.456	4.151	88.625	2.176	0.369	20000.0
5	16.596	158.817	4.252	88.712	2.153	0.367	20000.0
6	16.542	159.692	4.231	88.955	2.176	0.367	20000.0
7	16.347	158.355	4.197	88.575	2.162	0.371	30000.0
8	16.123	157.82	4.138	88.334	2.164	0.379	20000.0
9	16.149	159.041	4.117	88.489	2.19	0.371	20000.0
10	16.409	159.078	4.174	88.938	2.181	0.373	20000.0
11	16.222	158.203	4.161	88.244	2.173	0.385	30000.0
12	16.294	159.471	4.183	89.032	2.185	0.367	30000.0
13	16.303	159.794	4.155	88.752	2.178	0.367	30000.0
14	16.786	159.706	4.331	88.881	2.183	0.359	30000.0
15	16.187	158.054	4.135	88.314	2.183	0.382	20000.0
16	16.57	158.936	4.284	88.824	2.175	0.375	30000.0
17	16.153	159.059	4.107	88.636	2.199	0.373	30000.0
18	16.308	160.145	4.177	89.011	2.19	0.361	20000.0
19	16.264	159.713	4.147	89.022	2.201	0.364	30000.0
20	16.236	159.907	4.15	88.629	2.221	0.362	30000.0
21	16.765	160.023	4.297	88.941	2.171	0.362	20000.0
22	16.176	159.976	4.106	88.844	2.203	0.363	20000.0
23	16.613	159.124	4.255	88.761	2.159	0.363	40000.0
24	16.417	158.067	4.185	88.647	2.149	0.374	30000.0
25	16.267	159.462	4.136	88.966	2.179	0.363	20000.0
26	16.105	158.209	4.129	88.187	2.166	0.377	40000.0
27	16.283	160.165	4.166	89.045	2.218	0.358	50000.0
28	16.365	158.391	4.184	88.629	2.206	0.369	40000.0
29	16.454	159.433	4.181	89.038	2.181	0.368	30000.0
30	16.749	159.509	4.274	88.917	2.158	0.375	30000.0
31	16.263	158.886	4.142	88.81	2.176	0.372	20000.0
32	16.561	157.61	4.229	88.148	2.235	0.37	20000.0
33	16.201	159.57	4.136	88.565	2.219	0.368	30000.0
34	16.896	160.515	4.356	89.043	2.177	0.367	30000.0
35	16.581	159.918	4.266	88.997	2.182	0.366	20000.0
36	16.819	160.066	4.338	89.083	2.168	0.356	40000.0
37	16.253	159.409	4.175	88.736	2.203	0.364	50000.0
38	16.296	157.784	4.164	88.367	2.273	0.368	30000.0
39	16.241	158.47	4.141	88.784	2.186	0.366	20000.0
40	16.379	160.023	4.183	88.945	2.195	0.36	20000.0
