NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	79.448	106.062	13.794	69.481	1.011	0.599	50000.0
2	78.996	105.971	13.717	69.265	1.011	0.599	40000.0
3	79.618	106.609	13.776	69.579	1.017	0.595	20000.0
4	79.508	106.005	13.799	69.277	1.011	0.599	40000.0
5	79.395	106.144	13.815	69.355	1.016	0.601	30000.0
6	79.729	106.858	13.795	69.812	1.023	0.591	20000.0
7	79.053	106.165	13.643	69.254	1.015	0.597	40000.0
8	79.966	107.376	13.839	70.119	1.028	0.59	20000.0
9	79.546	106.134	13.877	69.252	1.011	0.599	30000.0
10	79.903	106.337	13.889	69.641	1.016	0.595	60000.0
11	79.582	105.898	13.874	69.136	1.008	0.602	20000.0
12	79.412	106.32	13.804	69.571	1.017	0.595	30000.0
13	79.553	106.553	13.753	69.493	1.018	0.595	50000.0
14	79.758	106.535	13.901	69.585	1.016	0.597	20000.0
15	79.381	106.451	13.827	69.563	1.02	0.594	30000.0
16	79.28	106.192	13.788	69.448	1.015	0.598	20000.0
17	79.544	106.023	13.753	68.999	1.01	0.603	20000.0
18	79.528	106.56	13.825	69.544	1.018	0.597	30000.0
19	79.5	106.456	13.828	69.394	1.018	0.598	20000.0
20	79.629	106.516	13.762	69.656	1.02	0.592	20000.0
21	80.153	107.394	13.842	70.211	1.033	0.583	20000.0
22	79.504	106.29	13.787	69.431	1.018	0.596	40000.0
23	79.99	106.898	13.918	69.67	1.022	0.595	30000.0
24	79.402	106.385	13.748	69.559	1.016	0.594	40000.0
25	79.245	106.245	13.682	69.445	1.013	0.599	20000.0
26	79.93	106.821	13.872	69.736	1.024	0.594	40000.0
27	79.383	106.931	13.734	69.757	1.023	0.593	20000.0
28	79.356	106.241	13.769	69.295	1.014	0.601	30000.0
29	79.233	106.251	13.659	69.46	1.014	0.597	60000.0
30	79.563	106.054	13.831	69.248	1.012	0.602	20000.0
31	79.764	106.246	13.897	69.685	1.013	0.595	20000.0
32	79.147	106.061	13.667	69.463	1.016	0.597	30000.0
33	79.591	106.521	13.831	69.645	1.021	0.595	20000.0
34	79.349	106.251	13.833	69.434	1.016	0.598	40000.0
35	79.965	107.306	13.914	70.345	1.03	0.583	30000.0
36	79.195	106.35	13.655	69.695	1.015	0.593	20000.0
37	80.7	106.456	13.83	69.872	1.027	0.6	20000.0
38	79.471	106.505	13.827	69.687	1.017	0.593	20000.0
39	79.53	106.367	13.866	69.544	1.017	0.596	50000.0
40	79.605	106.424	13.859	69.333	1.015	0.6	20000.0
41	79.743	106.507	13.861	69.682	1.016	0.596	20000.0
42	79.043	105.814	13.723	69.184	1.01	0.6	20000.0
43	79.694	106.441	13.816	69.497	1.018	0.597	40000.0
44	79.044	105.889	13.687	69.103	1.009	0.602	30000.0
45	79.791	106.889	13.972	69.768	1.023	0.593	30000.0
46	79.509	106.548	13.743	69.478	1.015	0.596	30000.0
47	79.515	106.351	13.759	69.436	1.017	0.597	20000.0
48	79.636	106.47	13.796	69.601	1.014	0.596	20000.0
49	79.732	106.325	13.877	69.648	1.015	0.594	40000.0
50	79.546	106.173	13.838	69.397	1.015	0.599	20000.0
51	79.545	106.239	13.759	69.406	1.018	0.598	20000.0
52	79.393	106.461	13.723	69.411	1.018	0.597	20000.0
53	79.594	106.188	13.855	69.238	1.013	0.601	30000.0
54	79.127	105.951	13.701	69.153	1.012	0.601	20000.0
55	79.297	106.59	13.685	69.656	1.022	0.593	20000.0
56	79.465	106.573	13.743	69.697	1.017	0.592	30000.0
57	79.393	106.406	13.701	69.575	1.018	0.594	20000.0
58	79.713	106.897	13.869	69.84	1.022	0.595	30000.0
59	79.118	105.971	13.782	69.242	1.012	0.601	20000.0
60	79.402	106.358	13.715	69.427	1.017	0.596	60000.0
61	79.42	106.385	13.753	69.529	1.022	0.595	20000.0
62	79.257	106.08	13.751	69.419	1.012	0.599	40000.0
63	78.84	105.966	13.653	69.329	1.009	0.599	30000.0
64	79.211	106.254	13.741	69.341	1.014	0.6	20000.0
65	79.445	105.875	13.828	69.288	1.009	0.599	20000.0
66	79.431	105.931	13.727	69.188	1.008	0.598	30000.0
67	79.221	106.262	13.754	69.606	1.018	0.595	20000.0
68	79.631	106.502	13.753	69.385	1.017	0.598	20000.0
69	79.552	106.595	13.943	69.556	1.018	0.598	30000.0
70	79.6	106.414	13.763	69.478	1.017	0.597	40000.0
71	79.128	105.874	13.66	69.174	1.008	0.602	30000.0
72	78.995	105.646	13.78	69.152	1.01	0.602	40000.0
73	79.164	106.302	13.698	69.385	1.01	0.598	30000.0
74	79.25	106.568	13.735	69.623	1.02	0.595	30000.0
75	79.185	106.079	13.77	69.281	1.011	0.6	50000.0
76	79.533	106.021	13.788	69.269	1.011	0.6	30000.0
77	79.247	106.156	13.736	69.339	1.014	0.6	30000.0
78	79.825	106.606	13.828	69.585	1.015	0.595	40000.0
79	79.281	106.13	13.767	69.319	1.018	0.598	40000.0
80	79.377	106.137	13.846	69.44	1.01	0.598	30000.0
81	79.59	106.371	13.86	69.586	1.015	0.596	50000.0
82	78.966	106.033	13.621	69.244	1.014	0.6	20000.0
83	79.455	106.245	13.749	69.427	1.011	0.598	20000.0
84	79.214	106.471	13.715	69.466	1.016	0.599	30000.0
85	78.858	106.322	13.591	69.382	1.02	0.597	30000.0
86	79.605	106.455	13.88	69.434	1.02	0.597	20000.0
87	79.04	105.73	13.608	68.866	1.007	0.604	30000.0
88	79.48	106.428	13.782	69.48	1.015	0.598	30000.0
89	79.719	106.344	13.846	69.473	1.019	0.595	30000.0
90	79.912	106.435	14.031	69.625	1.017	0.596	30000.0
91	79.841	106.399	13.857	69.489	1.019	0.597	20000.0
92	79.296	106.485	13.758	69.53	1.018	0.595	30000.0
