NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	5.628	177.245	2.014	94.244	2.828	0.267	20000.0
2	5.711	178.702	2.04	94.941	2.882	0.248	30000.0
3	5.777	177.021	2.041	94.74	2.854	0.266	30000.0
4	5.567	176.279	1.999	94.252	2.838	0.274	30000.0
5	5.686	177.109	2.014	94.57	2.804	0.27	30000.0
6	5.793	177.114	2.066	94.934	2.878	0.254	20000.0
7	5.688	177.845	2.015	94.739	2.839	0.261	20000.0
8	5.637	176.94	2.026	94.414	2.788	0.269	20000.0
9	5.669	178.091	2.051	94.847	2.817	0.253	30000.0
10	5.602	177.625	2.019	94.769	2.873	0.26	20000.0
11	5.692	177.167	2.025	94.997	2.867	0.262	20000.0
12	5.644	177.398	2.009	94.62	2.829	0.267	20000.0
13	5.606	176.293	2.01	94.344	2.808	0.272	20000.0
14	5.916	176.825	2.066	95.144	2.838	0.265	20000.0
15	5.608	176.962	2.014	94.407	2.817	0.269	20000.0
16	5.685	178.076	2.007	94.76	2.869	0.262	20000.0
17	5.788	176.75	2.032	94.895	2.84	0.265	20000.0
18	5.687	175.975	2.025	94.71	2.852	0.265	20000.0
19	5.604	177.262	2.01	94.452	2.843	0.264	20000.0
20	5.639	176.879	2.041	94.452	2.814	0.267	20000.0
21	5.616	176.195	2.014	94.582	2.891	0.267	20000.0
22	5.682	178.281	2.027	94.744	2.832	0.258	30000.0
23	5.647	177.606	2.019	94.623	2.86	0.266	40000.0
24	5.644	177.122	2.001	94.417	2.795	0.271	30000.0
25	5.637	176.725	2.035	94.422	2.812	0.275	30000.0
26	5.667	176.586	2.034	94.388	2.782	0.275	20000.0
27	5.66	175.561	1.998	94.377	2.859	0.272	20000.0
28	5.702	177.138	2.067	94.447	2.817	0.269	40000.0
29	5.673	177.796	1.991	94.634	2.811	0.259	30000.0
30	5.719	177.888	2.04	94.552	2.837	0.267	30000.0
31	5.716	177.832	2.048	94.514	2.839	0.265	20000.0
32	5.64	177.112	2.004	94.465	2.822	0.269	30000.0
33	5.59	176.79	2.012	94.273	2.761	0.272	30000.0
34	5.719	178.115	2.035	94.83	2.845	0.255	40000.0
35	5.625	177.136	2.014	94.471	2.807	0.267	30000.0
36	5.63	176.279	2.004	94.182	2.781	0.274	40000.0
37	5.672	177.582	2.019	94.526	2.824	0.267	20000.0
38	5.621	176.955	2.018	94.377	2.809	0.27	30000.0
39	5.654	178.435	2.019	94.786	2.828	0.25	20000.0
40	5.686	177.832	2.026	94.558	2.812	0.264	30000.0
41	5.778	177.033	2.021	94.839	2.884	0.261	20000.0
