NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	15.807	154.626	4.171	87.534	1.986	0.402	20000.0
2	15.731	155.394	4.15	87.835	2.0	0.4	30000.0
3	15.71	154.77	4.147	87.227	1.995	0.416	30000.0
4	15.422	155.374	4.038	87.735	2.038	0.412	30000.0
5	15.168	154.647	3.969	87.274	2.04	0.406	30000.0
6	15.383	155.511	4.021	87.429	2.029	0.409	30000.0
7	15.272	152.917	4.036	86.939	1.989	0.419	30000.0
8	15.354	154.172	4.003	87.121	2.015	0.417	20000.0
9	15.366	154.981	3.975	87.474	2.023	0.418	30000.0
10	15.281	153.244	3.997	86.956	2.032	0.406	30000.0
11	15.359	153.373	4.039	87.077	2.016	0.413	20000.0
12	15.602	155.516	4.135	88.139	1.986	0.396	30000.0
13	15.305	152.818	3.999	86.915	1.987	0.427	20000.0
14	15.583	156.774	4.058	88.231	2.042	0.395	20000.0
15	15.529	155.91	4.043	88.228	2.022	0.396	30000.0
16	15.345	153.622	4.0	87.512	2.028	0.407	40000.0
17	15.444	154.887	4.044	87.337	2.033	0.411	30000.0
18	15.367	155.198	4.016	87.561	2.035	0.413	30000.0
19	15.405	153.996	4.038	87.605	2.002	0.401	20000.0
20	15.355	153.866	3.998	87.071	2.008	0.416	40000.0
21	15.64	156.216	4.122	88.146	2.03	0.398	20000.0
22	15.329	154.135	3.981	87.141	2.017	0.413	20000.0
23	15.192	152.957	3.992	87.19	2.016	0.406	30000.0
24	15.342	156.154	4.023	87.893	2.057	0.397	20000.0
25	15.333	153.15	4.01	87.04	1.988	0.429	60000.0
26	15.453	155.048	4.1	87.404	2.027	0.412	30000.0
27	15.408	155.113	4.029	87.811	2.011	0.401	20000.0
28	15.41	152.953	4.027	86.951	1.99	0.42	40000.0
29	15.38	154.627	4.061	87.42	2.037	0.404	20000.0
30	15.43	155.079	4.053	87.448	2.016	0.414	30000.0
31	15.508	154.142	4.061	87.651	2.001	0.415	30000.0
32	15.273	154.88	3.992	87.273	2.014	0.415	30000.0
33	15.529	155.248	4.075	87.644	2.019	0.403	30000.0
34	15.315	154.82	4.019	87.359	2.008	0.403	30000.0
35	15.397	155.17	4.052	87.576	2.016	0.409	30000.0
36	15.528	154.482	4.094	87.676	2.015	0.41	20000.0
37	15.439	155.049	4.024	87.51	2.013	0.415	50000.0
38	15.25	153.924	3.984	87.015	2.007	0.414	50000.0
39	15.357	155.48	4.039	87.686	2.029	0.407	30000.0
40	15.407	155.025	4.022	87.642	2.017	0.403	20000.0
41	15.394	154.993	4.0	87.601	2.016	0.418	40000.0
42	15.917	157.166	4.203	88.445	2.004	0.386	20000.0
43	15.805	156.711	4.167	88.319	2.035	0.394	30000.0
44	15.524	154.627	4.118	87.635	1.993	0.405	30000.0
45	15.536	155.74	4.101	87.799	2.017	0.405	20000.0
46	15.307	154.445	3.985	87.348	2.001	0.42	50000.0
47	15.395	154.957	4.021	87.535	2.01	0.399	20000.0
48	15.355	154.449	4.019	87.828	2.023	0.409	30000.0
49	15.139	154.686	3.94	87.037	2.031	0.411	30000.0
50	15.3	152.594	4.035	87.079	2.022	0.411	20000.0
51	15.304	154.694	4.033	87.236	2.015	0.416	20000.0
52	15.249	153.371	4.014	87.116	1.99	0.422	20000.0
53	15.355	153.938	4.034	87.587	2.018	0.4	30000.0
54	15.462	155.358	4.038	88.2	2.083	0.4	20000.0
55	15.233	154.204	4.013	87.381	2.033	0.401	20000.0
56	15.354	155.967	4.015	87.597	2.038	0.403	50000.0
57	15.436	154.791	3.993	87.534	2.018	0.406	20000.0
58	15.335	153.672	4.016	87.698	2.011	0.402	20000.0
59	15.365	154.42	4.051	87.372	2.02	0.412	30000.0
60	15.416	155.4	4.036	87.734	2.032	0.409	50000.0
61	15.422	153.403	4.042	86.718	2.021	0.42	50000.0
62	15.345	154.215	4.008	87.166	2.011	0.417	20000.0
63	15.259	153.525	4.022	86.903	2.005	0.419	20000.0
64	15.339	153.769	3.983	87.553	2.006	0.409	20000.0
65	15.601	155.028	4.127	87.644	2.0	0.404	40000.0
66	15.33	154.318	3.989	87.689	2.004	0.398	20000.0
67	15.337	154.913	4.022	87.701	2.053	0.4	20000.0
68	15.33	155.49	4.006	87.53	2.03	0.407	40000.0
69	15.371	155.066	4.031	87.331	2.024	0.404	30000.0
70	15.517	154.716	4.091	87.736	2.005	0.407	20000.0
71	15.624	152.263	4.122	87.246	1.985	0.418	20000.0
72	15.512	153.65	4.104	87.199	1.972	0.409	20000.0
73	15.39	154.92	4.029	87.521	2.036	0.411	30000.0
74	15.409	155.24	4.07	87.669	2.021	0.41	20000.0
75	15.359	152.652	4.044	86.715	2.018	0.42	20000.0
76	15.274	153.896	3.971	86.991	2.007	0.417	20000.0
77	15.495	154.499	4.058	87.201	2.013	0.414	30000.0
78	15.499	153.967	4.093	87.373	2.012	0.41	20000.0
79	15.576	154.057	4.061	87.575	2.058	0.389	20000.0
80	15.161	152.728	3.974	86.965	2.002	0.41	20000.0
81	15.471	155.453	4.037	87.5	2.022	0.409	40000.0
82	15.435	154.962	4.063	87.204	2.009	0.407	20000.0
83	15.387	154.601	4.015	87.284	2.043	0.403	20000.0
84	15.196	152.778	4.033	86.952	1.99	0.413	20000.0
85	15.278	154.08	3.971	87.009	2.0	0.417	30000.0
86	15.457	154.831	4.045	87.692	2.025	0.409	40000.0
87	15.55	155.322	4.065	87.993	2.017	0.404	40000.0
88	15.575	154.964	4.146	87.592	2.013	0.403	30000.0
89	15.28	153.171	4.0	86.826	2.004	0.418	20000.0
90	15.393	154.049	4.072	87.431	2.013	0.401	30000.0
91	15.439	154.854	4.084	87.615	2.017	0.408	20000.0
92	15.216	154.929	3.978	87.422	2.024	0.406	20000.0
93	15.181	154.076	3.971	87.226	2.016	0.406	50000.0
94	15.557	155.513	4.051	87.945	2.019	0.404	20000.0
95	15.219	154.361	4.009	86.894	2.006	0.421	20000.0
96	15.599	155.438	4.11	88.004	2.043	0.401	20000.0
97	15.513	154.752	4.113	87.383	1.983	0.407	20000.0
98	15.349	154.652	4.011	87.701	2.008	0.416	50000.0
99	15.235	154.446	3.97	87.458	2.027	0.402	30000.0
100	15.477	155.868	4.05	87.897	2.028	0.402	20000.0
101	15.455	155.308	4.027	87.922	2.042	0.4	20000.0
102	15.426	155.607	4.042	87.564	2.023	0.403	40000.0
103	15.424	154.235	4.083	87.323	1.999	0.418	20000.0
104	15.394	153.572	4.059	87.429	2.005	0.408	20000.0
105	15.181	152.984	3.972	86.636	2.012	0.418	20000.0
106	15.637	154.246	4.141	87.211	2.03	0.408	20000.0
107	15.306	156.048	4.014	87.541	2.061	0.406	30000.0
108	15.364	154.232	4.014	87.365	2.009	0.41	20000.0
109	15.534	154.359	4.083	87.481	2.036	0.406	20000.0
