NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	7.612	177.346	2.477	94.49	2.901	0.257	20000.0
2	7.614	177.505	2.501	94.648	2.93	0.254	30000.0
3	7.565	177.745	2.471	94.431	2.928	0.254	20000.0
4	7.651	177.799	2.496	94.678	2.916	0.255	20000.0
5	7.698	178.101	2.56	94.889	2.938	0.249	40000.0
6	7.584	177.122	2.478	94.5	2.9	0.259	20000.0
7	7.649	177.572	2.494	94.69	2.925	0.257	20000.0
8	7.657	177.797	2.489	94.641	2.927	0.255	40000.0
9	7.668	178.015	2.515	94.754	2.951	0.252	20000.0
10	7.659	177.512	2.496	94.614	2.918	0.258	20000.0
11	7.598	177.056	2.482	94.663	2.928	0.256	40000.0
12	7.625	177.972	2.5	94.633	2.945	0.254	30000.0
13	7.648	177.769	2.487	94.756	2.936	0.251	40000.0
14	7.646	177.536	2.485	94.47	2.924	0.257	40000.0
15	7.605	177.437	2.483	94.549	2.91	0.255	40000.0
16	7.654	178.076	2.511	94.736	2.919	0.252	20000.0
17	7.588	177.606	2.513	94.561	2.938	0.253	20000.0
18	7.641	177.854	2.488	94.686	2.932	0.252	20000.0
19	7.648	177.451	2.493	94.649	2.914	0.253	40000.0
20	7.592	177.68	2.494	94.559	2.939	0.252	30000.0
21	7.62	177.895	2.502	94.62	2.943	0.252	20000.0
22	7.611	177.282	2.489	94.448	2.9	0.261	20000.0
23	7.576	177.077	2.488	94.341	2.92	0.257	30000.0
24	7.614	177.121	2.505	94.473	2.921	0.256	20000.0
25	7.639	177.808	2.486	94.704	2.935	0.249	20000.0
26	7.659	177.41	2.493	94.536	2.931	0.254	20000.0
27	7.637	177.57	2.48	94.539	2.943	0.256	30000.0
28	7.623	177.595	2.494	94.592	2.953	0.253	20000.0
29	7.635	177.691	2.507	94.656	2.952	0.254	20000.0
30	7.624	177.694	2.484	94.64	2.938	0.253	30000.0
31	7.611	177.093	2.495	94.368	2.922	0.261	20000.0
32	7.631	177.738	2.493	94.81	2.95	0.254	20000.0
33	7.637	177.567	2.493	94.549	2.924	0.255	20000.0
34	7.556	176.966	2.48	94.387	2.894	0.262	40000.0
35	7.671	177.818	2.51	94.761	2.933	0.253	30000.0
36	7.585	176.917	2.472	94.396	2.879	0.261	30000.0
37	7.803	178.869	2.524	95.067	2.949	0.246	20000.0
38	7.666	178.031	2.523	94.99	2.946	0.246	20000.0
39	7.659	177.62	2.519	94.733	2.941	0.256	30000.0
40	7.627	177.46	2.522	94.705	2.919	0.254	30000.0
