NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	13.033	128.669	3.815	77.924	1.533	0.555	20000.0
2	12.92	128.342	3.826	78.125	1.547	0.553	30000.0
3	12.737	125.901	3.747	76.773	1.517	0.571	40000.0
4	13.096	130.745	3.877	79.312	1.591	0.537	20000.0
5	12.787	126.588	3.798	77.686	1.495	0.56	20000.0
6	12.765	124.585	3.701	77.19	1.579	0.56	20000.0
7	12.587	124.442	3.696	76.665	1.519	0.574	40000.0
8	12.624	125.17	3.771	76.858	1.521	0.567	20000.0
9	12.993	126.532	3.819	77.361	1.492	0.564	20000.0
10	12.598	125.168	3.737	77.105	1.529	0.565	30000.0
11	12.485	123.309	3.636	75.622	1.525	0.578	20000.0
12	12.741	125.136	3.784	77.113	1.521	0.569	20000.0
13	13.272	130.439	3.961	79.876	1.535	0.54	30000.0
14	12.953	128.509	3.818	78.559	1.527	0.551	20000.0
15	13.132	128.957	3.937	78.897	1.545	0.55	40000.0
16	12.679	123.562	3.762	76.283	1.587	0.573	20000.0
17	12.688	125.724	3.721	77.468	1.584	0.548	30000.0
18	12.348	121.714	3.631	75.278	1.487	0.586	20000.0
19	12.436	124.522	3.669	76.63	1.557	0.561	30000.0
20	12.679	125.512	3.729	76.042	1.526	0.577	20000.0
21	12.712	124.987	3.763	76.634	1.515	0.572	20000.0
22	12.758	123.469	3.755	75.838	1.498	0.577	40000.0
23	13.053	125.795	3.842	77.453	1.516	0.566	30000.0
24	13.192	128.191	3.923	78.815	1.561	0.544	40000.0
25	12.739	123.154	3.745	78.087	1.557	0.567	20000.0
26	12.67	124.908	3.764	77.438	1.566	0.559	30000.0
27	13.277	130.627	3.953	80.166	1.565	0.528	20000.0
28	12.512	122.516	3.638	75.406	1.54	0.586	30000.0
29	12.531	123.102	3.735	76.039	1.529	0.573	30000.0
30	12.557	125.161	3.7	76.525	1.519	0.573	20000.0
31	12.381	122.204	3.678	75.447	1.499	0.583	40000.0
32	12.635	123.511	3.758	77.04	1.579	0.567	30000.0
33	12.92	125.893	3.82	77.146	1.5	0.568	20000.0
34	12.653	123.589	3.754	76.211	1.51	0.573	30000.0
35	12.541	122.554	3.651	75.263	1.522	0.584	30000.0
36	12.702	124.335	3.727	76.452	1.53	0.568	40000.0
37	12.382	122.41	3.682	75.578	1.551	0.575	30000.0
38	12.969	127.825	3.848	78.238	1.517	0.556	20000.0
39	13.021	127.642	3.821	77.706	1.538	0.558	20000.0
40	13.397	129.667	3.962	79.445	1.57	0.539	20000.0
41	12.852	126.478	3.758	77.661	1.535	0.556	40000.0
42	12.504	123.81	3.658	75.941	1.552	0.58	40000.0
43	12.776	125.515	3.766	77.59	1.559	0.557	20000.0
44	12.656	123.453	3.703	75.591	1.534	0.582	20000.0
45	13.431	130.635	4.011	80.319	1.535	0.526	20000.0
46	12.992	126.551	3.826	77.661	1.52	0.564	40000.0
47	12.615	125.114	3.792	76.846	1.535	0.568	30000.0
48	12.545	124.655	3.663	76.633	1.568	0.572	40000.0
49	12.764	126.255	3.775	77.271	1.55	0.564	20000.0
50	13.209	131.888	3.885	79.7	1.607	0.529	40000.0
51	12.889	127.677	3.814	78.932	1.609	0.549	40000.0
52	12.946	128.02	3.888	79.055	1.532	0.543	20000.0
53	13.002	127.474	3.832	77.909	1.537	0.557	40000.0
54	12.455	123.115	3.702	76.42	1.511	0.576	20000.0
55	12.537	124.344	3.696	76.437	1.518	0.57	20000.0
56	12.954	127.553	3.749	78.224	1.58	0.545	20000.0
57	12.949	125.541	3.788	77.361	1.516	0.564	30000.0
58	12.572	124.513	3.712	75.741	1.51	0.577	30000.0
59	12.812	124.737	3.837	77.019	1.528	0.567	20000.0
60	12.664	126.308	3.767	77.075	1.529	0.569	30000.0
61	13.296	129.588	3.917	79.021	1.536	0.549	20000.0
62	13.157	126.976	3.87	78.092	1.536	0.563	30000.0
63	12.484	122.555	3.684	75.78	1.507	0.579	20000.0
64	12.748	125.053	3.766	77.278	1.519	0.564	20000.0
65	13.2	128.002	3.923	78.412	1.549	0.547	40000.0
66	12.743	125.789	3.792	77.264	1.545	0.566	20000.0
67	13.295	127.359	3.915	78.177	1.534	0.56	30000.0
