NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	9.183	147.803	3.065	86.417	1.996	0.445	20000.0
2	9.052	146.406	2.943	85.582	1.993	0.454	20000.0
3	8.902	146.986	2.927	85.188	1.947	0.456	30000.0
4	9.134	149.213	3.031	86.036	2.04	0.433	20000.0
5	9.076	145.518	3.024	85.497	2.052	0.461	20000.0
6	9.088	145.071	2.989	86.019	2.012	0.456	20000.0
7	9.082	147.568	2.987	85.685	2.054	0.444	20000.0
8	8.968	148.053	2.94	85.52	1.988	0.445	40000.0
9	8.953	143.194	2.934	84.402	2.024	0.473	20000.0
10	8.87	143.077	2.965	84.555	1.975	0.474	30000.0
11	9.016	143.792	2.971	85.105	1.963	0.472	20000.0
12	9.065	147.063	3.04	86.172	2.04	0.445	20000.0
13	9.177	145.331	3.02	85.984	2.018	0.454	20000.0
14	8.993	147.609	2.963	85.868	1.986	0.444	30000.0
15	9.024	145.84	2.985	85.353	1.99	0.455	20000.0
16	8.957	147.041	2.935	85.376	1.973	0.442	40000.0
17	9.327	149.628	3.038	86.989	2.031	0.429	20000.0
18	8.965	147.554	2.94	85.554	2.026	0.441	40000.0
19	9.052	147.89	2.958	85.659	1.988	0.443	20000.0
20	9.017	148.523	2.947	85.924	2.009	0.439	40000.0
21	9.112	148.581	3.032	85.976	1.991	0.435	30000.0
22	9.117	146.027	3.022	86.36	2.01	0.452	40000.0
23	9.211	150.855	3.059	87.124	2.02	0.426	30000.0
24	8.971	146.753	2.919	85.079	1.985	0.455	30000.0
25	9.111	148.995	3.028	86.378	2.041	0.431	60000.0
26	8.938	145.475	2.956	85.149	1.931	0.458	30000.0
27	9.245	149.225	3.017	86.472	2.008	0.441	40000.0
28	9.298	149.868	3.02	86.425	2.001	0.432	20000.0
29	9.077	144.358	2.979	85.189	1.965	0.466	20000.0
30	8.987	146.534	2.966	85.923	2.016	0.449	40000.0
31	8.959	144.486	2.967	85.505	2.031	0.464	20000.0
32	9.021	147.99	2.919	85.652	1.989	0.449	20000.0
33	8.956	146.943	2.943	85.67	1.97	0.449	20000.0
34	8.841	145.378	2.941	85.134	1.942	0.457	20000.0
35	9.334	150.141	3.033	86.545	2.056	0.423	20000.0
36	8.902	147.042	2.963	85.342	1.995	0.445	30000.0
37	9.018	147.081	2.953	85.533	2.029	0.454	40000.0
