Samples	SBS96A	SBS96B	SBS96C
TCGA-2F-A9KO-01A-11D-A38G-08	590	28	66
TCGA-2F-A9KP-01A-11D-A38G-08	55	78	27
TCGA-2F-A9KQ-01A-11D-A38G-08	12	58	6
TCGA-2F-A9KR-01A-11D-A38G-08	146	34	102
TCGA-2F-A9KT-01A-11D-A38G-08	303	40	71
TCGA-2F-A9KW-01A-11D-A38G-08	29	85	24
TCGA-4Z-AA7M-01A-11D-A391-08	443	112	75
TCGA-4Z-AA7N-01A-11D-A391-08	13	8	3
TCGA-4Z-AA7O-01A-31D-A391-08	100	111	33
TCGA-4Z-AA7Q-01A-11D-A391-08	216	78	0
TCGA-4Z-AA7R-01A-11D-A391-08	296	52	87
TCGA-4Z-AA7S-01A-11D-A391-08	0	64	6
TCGA-4Z-AA7W-01A-11D-A391-08	648	17	1
TCGA-4Z-AA7Y-01A-11D-A391-08	251	14	84
TCGA-4Z-AA80-01A-11D-A391-08	263	128	108
TCGA-4Z-AA81-01A-11D-A391-08	156	27	74
TCGA-4Z-AA82-01A-11D-A391-08	41	82	6
TCGA-4Z-AA83-01A-11D-A391-08	33	62	11
TCGA-4Z-AA84-01A-11D-A391-08	183	74	404
TCGA-4Z-AA86-01A-11D-A391-08	208	23	36
TCGA-4Z-AA87-01A-11D-A391-08	151	106	31
TCGA-4Z-AA89-01A-11D-A391-08	112	34	12
TCGA-5N-A9KI-01A-31D-A42E-08	70	82	61
TCGA-5N-A9KM-01A-11D-A42E-08	30	240	0
TCGA-BL-A0C8-01A-11D-A271-08	55	112	8
TCGA-BL-A13I-01A-11D-A271-08	64	84	0
TCGA-BL-A13J-01A-11D-A271-08	64	67	0
TCGA-BL-A3JM-01A-12D-A21A-08	102	125	25
TCGA-BL-A5ZZ-01A-31D-A30E-08	58	122	19
TCGA-BT-A0S7-01A-11D-A10S-08	0	45	0
TCGA-BT-A0YX-01A-11D-A10S-08	668	0	113
TCGA-BT-A20J-01A-11D-A14W-08	382	29	154
TCGA-BT-A20N-01A-11D-A14W-08	126	189	0
TCGA-BT-A20O-01A-21D-A14W-08	93	108	12
TCGA-BT-A20P-01A-11D-A14W-08	62	40	0
TCGA-BT-A20Q-01A-11D-A14W-08	53	26	30
TCGA-BT-A20R-01A-12D-A16O-08	207	31	81
TCGA-BT-A20T-01A-11D-A14W-08	220	3	108
TCGA-BT-A20U-01A-11D-A14W-08	75	15	16
TCGA-BT-A20V-01A-11D-A14W-08	24	86	17
TCGA-BT-A20W-01A-21D-A14W-08	24	59	0
TCGA-BT-A20X-01A-11D-A16O-08	16	66	2
TCGA-BT-A2LA-01A-11D-A18F-08	52	147	13
TCGA-BT-A2LB-01A-11D-A18F-08	230	169	386
TCGA-BT-A2LD-01A-12D-A20D-08	13	100	9
TCGA-BT-A3PH-01A-11D-A21Z-08	532	30	0
TCGA-BT-A3PJ-01A-21D-A21Z-08	312	92	235
TCGA-BT-A3PK-01A-21D-A21Z-08	166	270	0
TCGA-BT-A42B-01A-32D-A23M-08	8	71	0
TCGA-BT-A42C-01A-11D-A23M-08	217	191	37
TCGA-BT-A42E-01A-11D-A23U-08	141	55	3
TCGA-BT-A42F-01A-11D-A23U-08	168	0	29
TCGA-C4-A0EZ-01A-21D-A10S-08	62	154	29
TCGA-C4-A0F0-01A-12D-A10S-08	22	93	0
