Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA-2F-A9KO-01A-11D-A38G-08	445	161	41	25	12
TCGA-2F-A9KP-01A-11D-A38G-08	43	38	15	53	11
TCGA-2F-A9KQ-01A-11D-A38G-08	8	11	16	36	5
TCGA-2F-A9KR-01A-11D-A38G-08	99	99	27	27	30
TCGA-2F-A9KT-01A-11D-A38G-08	227	112	21	37	17
TCGA-2F-A9KW-01A-11D-A38G-08	18	28	43	37	12
TCGA-4Z-AA7M-01A-11D-A391-08	323	160	78	66	3
TCGA-4Z-AA7N-01A-11D-A391-08	7	9	1	7	0
TCGA-4Z-AA7O-01A-31D-A391-08	76	48	48	55	17
TCGA-4Z-AA7Q-01A-11D-A391-08	177	24	50	35	8
TCGA-4Z-AA7R-01A-11D-A391-08	216	121	47	30	21
TCGA-4Z-AA7S-01A-11D-A391-08	0	5	0	55	10
TCGA-4Z-AA7W-01A-11D-A391-08	468	132	62	4	0
TCGA-4Z-AA7Y-01A-11D-A391-08	170	119	40	15	5
TCGA-4Z-AA80-01A-11D-A391-08	203	113	65	61	57
TCGA-4Z-AA81-01A-11D-A391-08	109	91	14	29	14
TCGA-4Z-AA82-01A-11D-A391-08	25	26	35	43	0
TCGA-4Z-AA83-01A-11D-A391-08	25	23	14	41	3
TCGA-4Z-AA84-01A-11D-A391-08	15	382	209	42	13
TCGA-4Z-AA86-01A-11D-A391-08	155	62	26	12	12
TCGA-4Z-AA87-01A-11D-A391-08	123	61	21	70	13
TCGA-4Z-AA89-01A-11D-A391-08	89	38	3	28	0
TCGA-5N-A9KI-01A-31D-A42E-08	40	66	53	39	15
TCGA-5N-A9KM-01A-11D-A42E-08	7	26	194	43	0
TCGA-BL-A0C8-01A-11D-A271-08	53	18	17	71	16
TCGA-BL-A13I-01A-11D-A271-08	49	11	59	24	5
TCGA-BL-A13J-01A-11D-A271-08	39	10	79	3	0
TCGA-BL-A3JM-01A-12D-A21A-08	69	54	69	56	4
TCGA-BL-A5ZZ-01A-31D-A30E-08	33	48	54	64	0
TCGA-BT-A0S7-01A-11D-A10S-08	0	0	31	9	5
TCGA-BT-A0YX-01A-11D-A10S-08	509	238	0	34	0
TCGA-BT-A20J-01A-11D-A14W-08	281	189	0	61	34
TCGA-BT-A20N-01A-11D-A14W-08	87	20	164	33	11
TCGA-BT-A20O-01A-21D-A14W-08	56	38	94	25	0
TCGA-BT-A20P-01A-11D-A14W-08	62	0	3	26	11
TCGA-BT-A20Q-01A-11D-A14W-08	45	26	0	19	19
TCGA-BT-A20R-01A-12D-A16O-08	160	84	0	41	34
TCGA-BT-A20T-01A-11D-A14W-08	142	132	34	16	7
TCGA-BT-A20U-01A-11D-A14W-08	60	25	2	13	6
TCGA-BT-A20V-01A-11D-A14W-08	24	14	11	56	22
TCGA-BT-A20W-01A-21D-A14W-08	24	3	20	29	7
TCGA-BT-A20X-01A-11D-A16O-08	12	2	49	11	10
TCGA-BT-A2LA-01A-11D-A18F-08	41	40	0	130	1
TCGA-BT-A2LB-01A-11D-A18F-08	58	355	298	41	33
TCGA-BT-A2LD-01A-12D-A20D-08	8	19	15	73	7
TCGA-BT-A3PH-01A-11D-A21Z-08	411	103	8	40	0
TCGA-BT-A3PJ-01A-21D-A21Z-08	169	242	166	33	29
TCGA-BT-A3PK-01A-21D-A21Z-08	97	42	264	29	4
TCGA-BT-A42B-01A-32D-A23M-08	4	11	7	57	0
TCGA-BT-A42C-01A-11D-A23M-08	148	64	166	38	29
TCGA-BT-A42E-01A-11D-A23U-08	114	31	21	29	4
TCGA-BT-A42F-01A-11D-A23U-08	113	60	23	1	0
TCGA-C4-A0EZ-01A-21D-A10S-08	45	44	60	80	16
TCGA-C4-A0F0-01A-12D-A10S-08	15	8	55	37	0
TCGA-C4-A0F1-01A-11D-A10S-08	71	59	11	48	20
TCGA-C4-A0F6-01A-11D-A10S-08	132	38	0	62	13
TCGA-C4-A0F7-01A-11D-A10S-08	7	13	3	68	6
TCGA-CF-A1HR-01A-11D-A13W-08	170	89	20	27	9
TCGA-CF-A1HS-01A-11D-A13W-08	196	0	74	19	11
TCGA-CF-A27C-01A-11D-A16O-08	104	42	15	21	0
TCGA-CF-A3MF-01A-12D-A21A-08	0	4	0	21	0
TCGA-CF-A3MG-01A-11D-A20D-08	84	39	9	38	0
TCGA-CF-A3MH-01A-11D-A20D-08	12	2	9	27	2
TCGA-CF-A3MI-01A-11D-A20D-08	28	10	0	40	7
TCGA-CF-A47S-01A-11D-A23U-08	0	5	4	19	2
TCGA-CF-A47T-01A-11D-A23U-08	1	7	7	11	6
TCGA-CF-A47V-01A-11D-A23U-08	40	17	46	24	3
TCGA-CF-A47W-01A-11D-A23U-08	0	4	14	14	4
TCGA-CF-A47X-01A-31D-A23U-08	208	118	15	51	8
TCGA-CF-A47Y-01A-11D-A23U-08	31	2	33	10	4
TCGA-CF-A5U8-01A-11D-A289-08	2	4	37	24	5
TCGA-CF-A5UA-01A-11D-A289-08	22	0	0	61	11
TCGA-CF-A7I0-01A-22D-A34U-08	13	17	19	17	2
TCGA-CF-A8HX-01A-11D-A364-08	22	30	8	14	7
TCGA-CF-A8HY-01A-11D-A364-08	22	0	36	30	7
