Samples	SBS1	SBS2	SBS4	SBS5	SBS10a	SBS10b	SBS13	SBS26	SBS84
TCGA-2F-A9KO-01A-11D-A38G-08	23	221	0	58	0	55	327	0	0
TCGA-2F-A9KP-01A-11D-A38G-08	24	32	0	59	0	16	29	0	0
TCGA-2F-A9KQ-01A-11D-A38G-08	17	9	0	44	0	0	6	0	0
TCGA-2F-A9KR-01A-11D-A38G-08	24	93	0	40	0	46	79	0	0
TCGA-2F-A9KT-01A-11D-A38G-08	25	135	0	40	0	41	173	0	0
TCGA-2F-A9KW-01A-11D-A38G-08	22	24	31	48	0	0	13	0	0
TCGA-4Z-AA7M-01A-11D-A391-08	52	195	0	143	0	0	240	0	0
TCGA-4Z-AA7N-01A-11D-A391-08	3	10	0	5	0	0	6	0	0
TCGA-4Z-AA7O-01A-31D-A391-08	24	48	0	88	0	27	57	0	0
TCGA-4Z-AA7Q-01A-11D-A391-08	26	65	0	64	0	0	139	0	0
TCGA-4Z-AA7R-01A-11D-A391-08	19	134	0	71	0	50	161	0	0
TCGA-4Z-AA7S-01A-11D-A391-08	33	0	0	37	0	0	0	0	0
TCGA-4Z-AA7W-01A-11D-A391-08	22	221	0	76	0	0	347	0	0
TCGA-4Z-AA7Y-01A-11D-A391-08	17	129	0	77	0	0	126	0	0
TCGA-4Z-AA80-01A-11D-A391-08	37	119	0	104	0	86	153	0	0
TCGA-4Z-AA81-01A-11D-A391-08	20	106	0	0	0	33	98	0	0
TCGA-4Z-AA82-01A-11D-A391-08	28	28	0	35	0	0	21	0	17
TCGA-4Z-AA83-01A-11D-A391-08	25	25	0	36	0	0	20	0	0
TCGA-4Z-AA84-01A-11D-A391-08	34	272	0	288	0	67	0	0	0
TCGA-4Z-AA86-01A-11D-A391-08	13	81	0	36	0	23	114	0	0
TCGA-4Z-AA87-01A-11D-A391-08	40	75	0	81	0	0	92	0	0
TCGA-4Z-AA89-01A-11D-A391-08	19	49	0	24	0	0	66	0	0
TCGA-5N-A9KI-01A-31D-A42E-08	19	55	0	83	0	24	32	0	0
TCGA-5N-A9KM-01A-11D-A42E-08	13	0	0	257	0	0	0	0	0
TCGA-BL-A0C8-01A-11D-A271-08	32	20	0	67	0	19	37	0	0
TCGA-BL-A13I-01A-11D-A271-08	13	19	0	79	0	0	37	0	0
TCGA-BL-A13J-01A-11D-A271-08	2	18	36	46	0	0	29	0	0
TCGA-BL-A3JM-01A-12D-A21A-08	31	58	0	108	0	0	55	0	0
TCGA-BL-A5ZZ-01A-31D-A30E-08	31	44	0	98	0	0	26	0	0
TCGA-BT-A0S7-01A-11D-A10S-08	5	0	0	40	0	0	0	0	0
TCGA-BT-A0YX-01A-11D-A10S-08	32	290	0	9	0	77	373	0	0
TCGA-BT-A20J-01A-11D-A14W-08	42	194	0	39	0	80	210	0	0
TCGA-BT-A20N-01A-11D-A14W-08	22	40	92	97	0	0	64	0	0
TCGA-BT-A20O-01A-21D-A14W-08	16	43	0	111	0	0	43	0	0
TCGA-BT-A20P-01A-11D-A14W-08	14	6	0	17	0	14	51	0	0
TCGA-BT-A20Q-01A-11D-A14W-08	14	25	0	11	0	26	33	0	0
TCGA-BT-A20R-01A-12D-A16O-08	31	96	0	8	0	60	124	0	0
TCGA-BT-A20T-01A-11D-A14W-08	14	125	0	52	0	35	105	0	0
TCGA-BT-A20U-01A-11D-A14W-08	7	30	0	9	0	16	44	0	0
TCGA-BT-A20V-01A-11D-A14W-08	28	13	0	48	0	19	19	0	0
TCGA-BT-A20W-01A-21D-A14W-08	16	7	0	32	0	9	19	0	0
TCGA-BT-A20X-01A-11D-A16O-08	7	4	0	64	0	0	9	0	0
TCGA-BT-A2LA-01A-11D-A18F-08	73	41	0	64	0	0	34	0	0
TCGA-BT-A2LB-01A-11D-A18F-08	31	249	0	377	0	81	47	0	0
TCGA-BT-A2LD-01A-12D-A20D-08	36	15	0	65	0	0	6	0	0
TCGA-BT-A3PH-01A-11D-A21Z-08	39	180	0	44	0	0	299	0	0
TCGA-BT-A3PJ-01A-21D-A21Z-08	31	212	0	192	0	70	134	0	0
TCGA-BT-A3PK-01A-21D-A21Z-08	18	53	0	293	0	0	72	0	0
TCGA-BT-A42B-01A-32D-A23M-08	27	9	0	43	0	0	0	0	0
TCGA-BT-A42C-01A-11D-A23M-08	29	83	0	221	0	0	112	0	0
TCGA-BT-A42E-01A-11D-A23U-08	21	47	0	50	0	0	81	0	0
TCGA-BT-A42F-01A-11D-A23U-08	7	72	0	36	0	0	82	0	0
TCGA-C4-A0EZ-01A-21D-A10S-08	35	37	0	114	0	25	34	0	0
TCGA-C4-A0F0-01A-12D-A10S-08	19	9	0	76	0	0	11	0	0
TCGA-C4-A0F1-01A-11D-A10S-08	30	56	0	36	0	32	55	0	0
TCGA-C4-A0F6-01A-11D-A10S-08	29	53	0	48	0	23	92	0	0
TCGA-C4-A0F7-01A-11D-A10S-08	34	10	0	48	0	0	5	0	0
TCGA-CF-A1HR-01A-11D-A13W-08	17	97	0	50	0	31	120	0	0
TCGA-CF-A1HS-01A-11D-A13W-08	14	38	0	96	0	0	152	0	0
TCGA-CF-A27C-01A-11D-A16O-08	13	57	0	34	0	0	78	0	0
TCGA-CF-A3MF-01A-12D-A21A-08	12	3	0	10	0	0	0	0	0
TCGA-CF-A3MG-01A-11D-A20D-08	19	46	0	44	0	0	61	0	0
TCGA-CF-A3MH-01A-11D-A20D-08	13	4	0	26	0	0	9	0	0
TCGA-CF-A3MI-01A-11D-A20D-08	26	16	0	22	0	0	21	0	0
TCGA-CF-A47S-01A-11D-A23U-08	11	3	0	16	0	0	0	0	0
TCGA-CF-A47T-01A-11D-A23U-08	8	4	0	14	0	6	0	0	0
TCGA-CF-A47V-01A-11D-A23U-08	13	22	0	65	0	0	30	0	0
TCGA-CF-A47W-01A-11D-A23U-08	8	0	0	28	0	0	0	0	0
TCGA-CF-A47X-01A-31D-A23U-08	29	127	0	60	0	34	150	0	0
TCGA-CF-A47Y-01A-11D-A23U-08	6	9	0	41	0	0	24	0	0
TCGA-CF-A5U8-01A-11D-A289-08	8	0	0	64	0	0	0	0	0
TCGA-CF-A5UA-01A-11D-A289-08	32	5	0	40	0	0	17	0	0
TCGA-CF-A7I0-01A-22D-A34U-08	10	17	0	30	0	0	11	0	0
