NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	127.95	72.896	25.959	50.569	0.585	0.783	20000.0
2	127.119	72.671	25.581	50.286	0.58	0.788	20000.0
3	129.282	73.377	26.209	50.778	0.583	0.785	30000.0
4	127.813	72.942	25.931	50.428	0.581	0.787	20000.0
5	128.48	73.216	25.789	50.691	0.586	0.782	20000.0
6	128.606	72.815	26.014	50.129	0.578	0.789	30000.0
7	127.657	72.815	25.696	50.199	0.579	0.787	30000.0
8	128.748	72.898	25.959	50.344	0.578	0.789	30000.0
9	128.438	72.911	26.036	50.565	0.579	0.785	20000.0
10	126.933	72.639	25.734	50.3	0.578	0.788	30000.0
11	128.702	73.241	25.816	50.439	0.584	0.786	30000.0
12	127.42	72.889	25.694	50.499	0.581	0.784	20000.0
13	128.187	73.146	26.082	50.674	0.584	0.784	50000.0
14	128.745	73.026	26.201	50.776	0.58	0.783	20000.0
15	128.697	73.103	26.042	50.482	0.579	0.787	30000.0
16	126.995	72.588	25.831	50.265	0.578	0.786	30000.0
17	128.009	72.988	25.895	50.446	0.583	0.787	20000.0
18	128.135	72.667	25.956	50.285	0.578	0.787	20000.0
19	128.689	73.194	26.076	50.805	0.582	0.782	30000.0
20	127.238	72.486	25.811	50.193	0.577	0.79	40000.0
21	128.7	73.016	26.139	50.546	0.581	0.787	30000.0
22	128.178	73.307	26.028	50.898	0.585	0.783	20000.0
23	127.384	72.705	25.743	50.326	0.58	0.789	20000.0
24	128.076	72.558	25.973	50.371	0.574	0.789	30000.0
25	128.399	73.048	25.841	50.779	0.583	0.782	20000.0
26	127.097	72.365	25.646	50.222	0.573	0.789	30000.0
27	127.336	72.574	25.868	50.449	0.58	0.786	30000.0
28	127.526	73.184	25.734	50.527	0.584	0.785	30000.0
29	127.865	73.254	25.832	50.705	0.585	0.782	20000.0
30	128.084	72.66	25.81	50.438	0.581	0.785	20000.0
31	127.865	73.09	25.945	50.779	0.584	0.783	20000.0
32	127.768	73.128	25.746	50.757	0.58	0.784	30000.0
33	128.685	72.882	25.904	50.455	0.58	0.787	40000.0
